NOPD_Item,Type_,TypeText,Priority,InitialType,InitialTypeText,InitialPriority,MapX,MapY,TimeCreate,TimeDispatch,TimeArrive,TimeClosed,Disposition,DispositionText,SelfInitiated,Beat,BLOCK_ADDRESS,Zip,PoliceDistrict,Location,CrimeType,Description,Latitude,Longitude
A3257414,55,AGGRAVATED CRIMINAL DAMAGE,1B,103D,DOMESTIC DISTURBANCE,2B,3679532,536129,2014-01-26 12:01:43,01/26/2014 12:02:38 PM,01/26/2014 12:03:36 PM,01/26/2014 02:35:49 PM,RTF,REPORT TO FOLLOW,N,1J01,020XX Saint Philip St,70116.0,1,"(29.96822881, -90.07412251)",VIOLENT CRIME,AGGRAVATED CRIMINAL DAMAGE,29.96822881,-90.07412251
A3412314,55,AGGRAVATED CRIMINAL DAMAGE,1B,55,AGGRAVATED CRIMINAL DAMAGE,1B,3677535,535703,2014-01-27 17:12:42,01/27/2014 06:03:22 PM,01/27/2014 05:12:42 PM,01/27/2014 07:26:18 PM,RTF,REPORT TO FOLLOW,Y,1I01,006XX N Tonti St,70119.0,1,"(29.96711877, -90.08044513)",VIOLENT CRIME,AGGRAVATED CRIMINAL DAMAGE,29.96711877,-90.08044513
B0316514,55,AGGRAVATED CRIMINAL DAMAGE,1B,94,DISCHARGING FIREARM,2B,3686525,545622,2014-02-03 17:25:47,02/03/2014 05:28:28 PM,02/03/2014 05:38:47 PM,02/03/2014 08:57:24 PM,RTF,REPORT TO FOLLOW,N,3Y02,034XX Clematis St,70122.0,3,"(29.99411830, -90.05170355)",VIOLENT CRIME,AGGRAVATED CRIMINAL DAMAGE,29.99411830,-90.05170355
B0616714,55,AGGRAVATED CRIMINAL DAMAGE,1B,94,DISCHARGING FIREARM,2B,3683741,546136,2014-02-05 20:57:42,02/05/2014 08:58:10 PM,02/05/2014 09:01:05 PM,02/06/2014 01:02:53 AM,RTF,REPORT TO FOLLOW,N,3X02,036XX Frenchmen St,70122.0,3,"(29.99561857, -90.06048083)",VIOLENT CRIME,AGGRAVATED CRIMINAL DAMAGE,29.99561857,-90.06048083
B1127714,55,AGGRAVATED CRIMINAL DAMAGE,1B,34S,AGGRAVATED BATTERY BY SHOOTING,2B,3692645,550217,2014-02-09 18:00:44,02/09/2014 06:01:10 PM,02/09/2014 06:05:34 PM,02/09/2014 09:16:55 PM,RTF,REPORT TO FOLLOW,N,3U02,049XX Chef Menteur Hwy,70126.0,3,"(30.00656516, -90.03220644)",VIOLENT CRIME,AGGRAVATED CRIMINAL DAMAGE,30.00656516,-90.03220644
B1257514,55,AGGRAVATED CRIMINAL DAMAGE,1B,55,AGGRAVATED CRIMINAL DAMAGE,1B,3679229,546881,2014-02-10 18:07:55,02/10/2014 08:13:11 PM,02/10/2014 08:21:44 PM,02/10/2014 11:49:23 PM,RTF,REPORT TO FOLLOW,N,3M02,039XX Hamburg St,70122.0,3,"(29.99780332, -90.07470712)",VIOLENT CRIME,AGGRAVATED CRIMINAL DAMAGE,29.99780332,-90.07470712
B1265714,55,AGGRAVATED CRIMINAL DAMAGE,1B,37,AGGRAVATED ASSAULT,2A,3721960,570050,2014-02-10 19:16:27,02/10/2014 07:17:53 PM,02/10/2014 07:34:30 PM,02/10/2014 10:51:09 PM,RTF,REPORT TO FOLLOW,N,7L05,Little Woods Exit & I10 E,70129.0,7,"(30.06014948, -89.93883185)",VIOLENT CRIME,AGGRAVATED CRIMINAL DAMAGE,30.06014948,-89.93883185
B1428214,55,AGGRAVATED CRIMINAL DAMAGE,1B,37,AGGRAVATED ASSAULT,2A,3675670,528206,2014-02-12 03:29:43,02/12/2014 03:30:43 AM,02/12/2014 03:34:28 AM,02/12/2014 06:11:07 AM,RTF,REPORT TO FOLLOW,N,6J03,028XX Thalia St,70113.0,6,"(29.94656101, -90.08659026)",VIOLENT CRIME,AGGRAVATED CRIMINAL DAMAGE,29.94656101,-90.08659026
B1569014,55,AGGRAVATED CRIMINAL DAMAGE,1B,56,SIMPLE CRIMINAL DAMAGE,1D,3683747,546090,2014-02-13 07:59:20,02/13/2014 08:36:59 AM,02/13/2014 08:48:59 AM,02/13/2014 09:32:03 AM,RTF,REPORT TO FOLLOW,N,3X02,036XX Frenchmen St,70122.0,3,"(29.99549114, -90.06046126)",VIOLENT CRIME,AGGRAVATED CRIMINAL DAMAGE,29.99549114,-90.06046126
B2046014,55,AGGRAVATED CRIMINAL DAMAGE,1B,94,DISCHARGING FIREARM,2B,3683207,531970,2014-02-16 16:58:36,,02/16/2014 05:01:01 PM,02/16/2014 06:55:35 PM,RTF,REPORT TO FOLLOW,N,8B02,007XX Decatur St,70116.0,8,"(29.95668334, -90.06266263)",VIOLENT CRIME,AGGRAVATED CRIMINAL DAMAGE,29.95668334,-90.06266263
B2061514,55,AGGRAVATED CRIMINAL DAMAGE,1B,94,DISCHARGING FIREARM,2B,3673689,530505,2014-02-16 19:08:24,02/16/2014 07:09:28 PM,02/16/2014 07:11:45 PM,02/16/2014 10:21:11 PM,RTF,REPORT TO FOLLOW,N,6M03,011XX S Tonti St,70125.0,6,"(29.95294232, -90.09276891)",VIOLENT CRIME,AGGRAVATED CRIMINAL DAMAGE,29.95294232,-90.09276891
B2450514,55,AGGRAVATED CRIMINAL DAMAGE,1B,94,DISCHARGING FIREARM,2B,3686994,554233,2014-02-19 19:02:58,02/19/2014 07:03:45 PM,02/19/2014 07:15:19 PM,02/19/2014 09:16:31 PM,RTF,REPORT TO FOLLOW,N,3R04,026XX Prentiss Ave,70122.0,3,"(30.01778096, -90.04991795)",VIOLENT CRIME,AGGRAVATED CRIMINAL DAMAGE,30.01778096,-90.04991795
B3008814,55,AGGRAVATED CRIMINAL DAMAGE,1B,94,DISCHARGING FIREARM,2B,3686626,540198,2014-02-23 19:03:47,02/23/2014 07:07:26 PM,02/23/2014 07:12:53 PM,02/23/2014 10:03:12 PM,RTF,REPORT TO FOLLOW,N,5L02,024XX N Galvez St,70117.0,5,"(29.97920163, -90.05157588)",VIOLENT CRIME,AGGRAVATED CRIMINAL DAMAGE,29.97920163,-90.05157588
C0613614,55,AGGRAVATED CRIMINAL DAMAGE,1B,94,DISCHARGING FIREARM,2B,3681490,532278,2014-03-05 01:19:06,03/05/2014 01:19:56 AM,03/05/2014 01:32:15 AM,03/05/2014 06:26:27 AM,RTF,REPORT TO FOLLOW,N,8D03,009XX Saint Louis St,70112.0,8,"(29.95758027, -90.06807255)",VIOLENT CRIME,AGGRAVATED CRIMINAL DAMAGE,29.95758027,-90.06807255
C1228014,55,AGGRAVATED CRIMINAL DAMAGE,1B,55,AGGRAVATED CRIMINAL DAMAGE,1B,3705337,558614,2014-03-10 07:32:33,03/10/2014 08:10:14 AM,03/10/2014 08:14:44 AM,03/10/2014 12:37:47 PM,RTF,REPORT TO FOLLOW,N,7R02,084XX S I-10 Service Rd,70127.0,7,"(30.02925039, -89.99179991)",VIOLENT CRIME,AGGRAVATED CRIMINAL DAMAGE,30.02925039,-89.99179991
C2319014,55,AGGRAVATED CRIMINAL DAMAGE,1B,94,DISCHARGING FIREARM,2B,3677561,525488,2014-03-18 16:10:31,03/18/2014 04:14:43 PM,03/18/2014 04:52:59 PM,03/18/2014 10:30:13 PM,RTF,REPORT TO FOLLOW,N,6G01,Felicity St & Oretha Castle Haley Blvd,70113.0,6,"(29.93903103, -90.08071340)",VIOLENT CRIME,AGGRAVATED CRIMINAL DAMAGE,29.93903103,-90.08071340
C2501514,55,AGGRAVATED CRIMINAL DAMAGE,1B,94,DISCHARGING FIREARM,2B,3703328,561969,2014-03-20 00:17:09,03/20/2014 12:19:40 AM,03/20/2014 12:28:01 AM,03/20/2014 03:55:27 AM,RTF,REPORT TO FOLLOW,N,7O06,083XX Lomond Rd,70127.0,7,"(30.03853840, -89.99802524)",VIOLENT CRIME,AGGRAVATED CRIMINAL DAMAGE,30.03853840,-89.99802524
C3134114,55,AGGRAVATED CRIMINAL DAMAGE,1B,55,AGGRAVATED CRIMINAL DAMAGE,1B,3702731,561511,2014-03-24 16:09:56,03/24/2014 11:57:57 PM,03/25/2014 12:15:20 AM,03/25/2014 01:19:54 AM,RTF,REPORT TO FOLLOW,N,7O06,081XX Lomond Rd,70126.0,7,"(30.03729875, -89.99992706)",VIOLENT CRIME,AGGRAVATED CRIMINAL DAMAGE,30.03729875,-89.99992706
C4078014,55,AGGRAVATED CRIMINAL DAMAGE,1B,55,AGGRAVATED CRIMINAL DAMAGE,1B,3689349,554207,2014-03-31 17:28:52,03/31/2014 05:29:13 PM,03/31/2014 05:30:51 PM,03/31/2014 06:36:22 PM,RTF,REPORT TO FOLLOW,N,3V01,Press Dr & Prentiss Ave,70126.0,3,"(30.01763852, -90.04247594)",VIOLENT CRIME,AGGRAVATED CRIMINAL DAMAGE,30.01763852,-90.04247594
D0804814,55,AGGRAVATED CRIMINAL DAMAGE,1B,55,AGGRAVATED CRIMINAL DAMAGE,1B,3715448,565644,2014-04-06 22:38:28,04/06/2014 10:50:16 PM,04/06/2014 11:25:01 PM,04/07/2014 12:53:36 AM,RTF,REPORT TO FOLLOW,N,7I11,121XX N I-10 Service Rd,70128.0,7,"(30.04825109, -89.95958404)",VIOLENT CRIME,AGGRAVATED CRIMINAL DAMAGE,30.04825109,-89.95958404
D0928614,55,AGGRAVATED CRIMINAL DAMAGE,1B,21,COMPLAINT OTHER,1H,3681292,521699,2014-04-07 21:37:24,04/07/2014 09:44:27 PM,04/07/2014 09:37:24 PM,04/07/2014 11:03:49 PM,RTF,REPORT TO FOLLOW,Y,6B02,018XX Saint Thomas St,70130.0,6,"(29.92849930, -90.06906857)",VIOLENT CRIME,AGGRAVATED CRIMINAL DAMAGE,29.92849930,-90.06906857
D1060814,55,AGGRAVATED CRIMINAL DAMAGE,1B,103,DISTURBANCE (OTHER),2A,3706620,561425,2014-04-08 19:49:02,04/08/2014 07:51:38 PM,04/08/2014 07:55:11 PM,04/08/2014 11:18:24 PM,RTF,REPORT TO FOLLOW,N,7O10,071XX Bundy Rd,70127.0,7,"(30.03693918, -89.98764060)",VIOLENT CRIME,AGGRAVATED CRIMINAL DAMAGE,30.03693918,-89.98764060
D1903314,55,AGGRAVATED CRIMINAL DAMAGE,1A,55,AGGRAVATED CRIMINAL DAMAGE,1A,3721928,552549,2014-04-14 21:24:48,04/15/2014 02:04:11 AM,04/15/2014 02:04:14 AM,04/15/2014 02:27:47 AM,RTF,REPORT TO FOLLOW,N,7M01,I-510 N & Old Gentilly Rd,70129.0,7,"(30.01202792, -89.93960518)",VIOLENT CRIME,AGGRAVATED CRIMINAL DAMAGE,30.01202792,-89.93960518
D2325714,55,AGGRAVATED CRIMINAL DAMAGE,1B,94,DISCHARGING FIREARM,2B,3678222,537326,2014-04-17 23:12:55,04/17/2014 11:15:33 PM,04/17/2014 11:54:19 PM,04/18/2014 02:22:30 AM,RTF,REPORT TO FOLLOW,N,1J04,025XX Saint Philip St,70119.0,1,"(29.97156178, -90.07821730)",VIOLENT CRIME,AGGRAVATED CRIMINAL DAMAGE,29.97156178,-90.07821730
D2572414,55,AGGRAVATED CRIMINAL DAMAGE,1B,37,AGGRAVATED ASSAULT,2A,3719649,574016,2014-04-19 20:15:49,04/19/2014 08:17:40 PM,04/19/2014 08:24:40 PM,04/19/2014 10:44:03 PM,RTF,REPORT TO FOLLOW,N,7K04,078XX Bass St,70128.0,7,"(30.07113039, -89.94598423)",VIOLENT CRIME,AGGRAVATED CRIMINAL DAMAGE,30.07113039,-89.94598423
D2670514,55,AGGRAVATED CRIMINAL DAMAGE,1B,94,DISCHARGING FIREARM,2B,3692812,535870,2014-04-20 17:01:44,04/20/2014 05:03:09 PM,04/20/2014 05:06:06 PM,04/20/2014 11:24:21 PM,RTF,REPORT TO FOLLOW,N,5D03,013XX Lesseps St,70117.0,5,"(29.96711050, -90.03219329)",VIOLENT CRIME,AGGRAVATED CRIMINAL DAMAGE,29.96711050,-90.03219329
D2714314,55,AGGRAVATED CRIMINAL DAMAGE,1B,55,AGGRAVATED CRIMINAL DAMAGE,1B,3666623,533430,2014-04-20 23:32:35,04/20/2014 11:47:26 PM,04/21/2014 12:00:33 AM,04/21/2014 01:02:12 AM,RTF,REPORT TO FOLLOW,N,2T03,S Carrollton Ave & Earhart Blvd,70118.0,2,"(29.96119106, -90.11498136)",VIOLENT CRIME,AGGRAVATED CRIMINAL DAMAGE,29.96119106,-90.11498136
D2757914,55,AGGRAVATED CRIMINAL DAMAGE,1B,107,SUSPICIOUS PERSON,2A,3684045,538096,2014-04-21 09:10:49,04/21/2014 09:13:39 AM,04/21/2014 10:02:08 AM,04/21/2014 03:56:24 PM,RTF,REPORT TO FOLLOW,N,5A04,016XX Touro St,70116.0,5,"(29.97350119, -90.05980086)",VIOLENT CRIME,AGGRAVATED CRIMINAL DAMAGE,29.97350119,-90.05980086
D2843214,55,AGGRAVATED CRIMINAL DAMAGE,1B,94,DISCHARGING FIREARM,2B,3688503,524779,2014-04-21 21:25:09,04/21/2014 09:26:29 PM,04/21/2014 09:33:51 PM,04/22/2014 01:26:57 AM,RTF,REPORT TO FOLLOW,N,4A05,019XX Bodenger Blvd,70114.0,4,"(29.93674706, -90.04619643)",VIOLENT CRIME,AGGRAVATED CRIMINAL DAMAGE,29.93674706,-90.04619643
D2963714,55,AGGRAVATED CRIMINAL DAMAGE,1B,55,AGGRAVATED CRIMINAL DAMAGE,1B,3696012,518285,2014-04-22 19:01:13,04/22/2014 11:15:19 PM,04/22/2014 11:23:08 PM,04/23/2014 12:48:17 AM,RTF,REPORT TO FOLLOW,N,4C02,037XX Garden Oaks Dr,70114.0,4,"(29.91865788, -90.02272319)",VIOLENT CRIME,AGGRAVATED CRIMINAL DAMAGE,29.91865788,-90.02272319
D3280714,55,AGGRAVATED CRIMINAL DAMAGE,2A,55,AGGRAVATED CRIMINAL DAMAGE,2A,3685304,539715,2014-04-24 23:13:11,04/24/2014 11:55:19 PM,04/24/2014 11:21:08 PM,04/25/2014 01:06:16 AM,RTF,REPORT TO FOLLOW,N,5G01,022XX N Johnson St,70117.0,5,"(29.97791383, -90.05576889)",VIOLENT CRIME,AGGRAVATED CRIMINAL DAMAGE,29.97791383,-90.05576889
D3518114,55,AGGRAVATED CRIMINAL DAMAGE,1B,37,AGGRAVATED ASSAULT,2A,3710022,561969,2014-04-26 18:17:33,04/26/2014 06:18:55 PM,04/26/2014 06:21:36 PM,04/26/2014 10:01:42 PM,RTF,REPORT TO FOLLOW,N,7I06,Read Blvd & N I-10 Service Rd,70127.0,7,"(30.03832433, -89.97686905)",VIOLENT CRIME,AGGRAVATED CRIMINAL DAMAGE,30.03832433,-89.97686905
E0323114,55,AGGRAVATED CRIMINAL DAMAGE,1B,55,AGGRAVATED CRIMINAL DAMAGE,1B,3692685,536623,2014-05-03 09:20:16,05/03/2014 10:57:42 AM,05/03/2014 10:59:25 AM,05/03/2014 11:42:49 AM,RTF,REPORT TO FOLLOW,N,5D03,014XX France St,70117.0,5,"(29.96918346, -90.03256751)",VIOLENT CRIME,AGGRAVATED CRIMINAL DAMAGE,29.96918346,-90.03256751
E0411014,55,AGGRAVATED CRIMINAL DAMAGE,1B,94,DISCHARGING FIREARM,2B,3673625,517997,2014-05-03 22:12:16,05/03/2014 10:14:26 PM,05/03/2014 11:00:33 PM,05/04/2014 01:30:35 AM,RTF,REPORT TO FOLLOW,N,6O02,038XX Annunciation St,70115.0,6,"(29.91855027, -90.09339868)",VIOLENT CRIME,AGGRAVATED CRIMINAL DAMAGE,29.91855027,-90.09339868
E0839614,55,AGGRAVATED CRIMINAL DAMAGE,1B,94,DISCHARGING FIREARM,2B,3692429,543338,2014-05-07 00:39:17,05/07/2014 12:40:04 AM,05/07/2014 12:43:22 AM,05/07/2014 03:18:43 AM,RTF,REPORT TO FOLLOW,N,5Q02,030XX Morrice Duncan Dr,70126.0,5,"(29.98765590, -90.03313682)",VIOLENT CRIME,AGGRAVATED CRIMINAL DAMAGE,29.98765590,-90.03313682
E2223914,55,AGGRAVATED CRIMINAL DAMAGE,1B,94,DISCHARGING FIREARM,2B,3688800,535212,2014-05-16 20:04:36,05/16/2014 08:08:09 PM,,05/16/2014 09:54:51 PM,RTF,REPORT TO FOLLOW,N,5C04,Clouet St & Burgundy St,70117.0,5,"(29.96542492, -90.04488618)",VIOLENT CRIME,AGGRAVATED CRIMINAL DAMAGE,29.96542492,-90.04488618
E3435814,55,AGGRAVATED CRIMINAL DAMAGE,1B,94,DISCHARGING FIREARM,2B,3682543,552215,2014-05-25 17:28:51,05/25/2014 05:29:23 PM,05/25/2014 05:33:04 PM,05/25/2014 09:32:27 PM,RTF,REPORT TO FOLLOW,N,3R02,053XX Cameron Blvd,70122.0,3,"(30.01237009, -90.06405251)",VIOLENT CRIME,AGGRAVATED CRIMINAL DAMAGE,30.01237009,-90.06405251
E3843314,55,AGGRAVATED CRIMINAL DAMAGE,1B,55,AGGRAVATED CRIMINAL DAMAGE,1B,3683958,545074,2014-05-28 19:49:49,05/29/2014 04:42:33 AM,05/29/2014 04:56:52 AM,05/29/2014 08:10:25 AM,RTF,REPORT TO FOLLOW,N,3X02,033XX Frenchmen St,70122.0,3,"(29.99268980, -90.05983133)",VIOLENT CRIME,AGGRAVATED CRIMINAL DAMAGE,29.99268980,-90.05983133
F1097314,55,AGGRAVATED CRIMINAL DAMAGE,2A,55,AGGRAVATED CRIMINAL DAMAGE,2A,3671398,526473,2014-06-09 03:27:29,06/09/2014 03:40:54 AM,06/09/2014 03:44:38 AM,06/09/2014 06:35:29 AM,RTF,REPORT TO FOLLOW,N,2R01,031XX General Taylor St,70125.0,2,"(29.94192255, -90.10013768)",VIOLENT CRIME,AGGRAVATED CRIMINAL DAMAGE,29.94192255,-90.10013768
F1194414,55,AGGRAVATED CRIMINAL DAMAGE,1B,94,DISCHARGING FIREARM,2B,3663347,534162,2014-06-09 20:26:04,06/09/2014 08:27:23 PM,06/09/2014 08:46:50 PM,06/09/2014 10:05:55 PM,RTF,REPORT TO FOLLOW,N,2S02,026XX General Ogden St,70118.0,2,"(29.96329942, -90.12530055)",VIOLENT CRIME,AGGRAVATED CRIMINAL DAMAGE,29.96329942,-90.12530055
F1369614,55,AGGRAVATED CRIMINAL DAMAGE,2A,55,AGGRAVATED CRIMINAL DAMAGE,2A,3686316,539818,2014-06-11 01:26:35,06/11/2014 01:28:46 AM,06/11/2014 01:30:34 AM,06/11/2014 03:38:57 AM,RTF,REPORT TO FOLLOW,N,5G02,020XX Saint Roch Ave,70117.0,5,"(29.97816789, -90.05256786)",VIOLENT CRIME,AGGRAVATED CRIMINAL DAMAGE,29.97816789,-90.05256786
F1864814,55,AGGRAVATED CRIMINAL DAMAGE,1B,103,DISTURBANCE (OTHER),2A,3716351,566194,2014-06-14 17:41:23,06/14/2014 05:53:32 PM,06/14/2014 06:01:21 PM,06/14/2014 09:35:24 PM,RTF,REPORT TO FOLLOW,N,7K03,123XX N I-10 Service Rd,70128.0,7,"(30.04973218, -89.95670651)",VIOLENT CRIME,AGGRAVATED CRIMINAL DAMAGE,30.04973218,-89.95670651
F2954114,55,AGGRAVATED CRIMINAL DAMAGE,1B,55,AGGRAVATED CRIMINAL DAMAGE,1B,3676556,526172,2014-06-22 20:38:00,06/22/2014 08:47:35 PM,06/22/2014 08:55:22 PM,06/22/2014 10:56:08 PM,RTF,REPORT TO FOLLOW,N,6H01,020XX S Liberty St,70113.0,6,"(29.94094156, -90.08386518)",VIOLENT CRIME,AGGRAVATED CRIMINAL DAMAGE,29.94094156,-90.08386518
F3074614,55,AGGRAVATED CRIMINAL DAMAGE,1B,94,DISCHARGING FIREARM,2B,3668248,532009,2014-06-23 18:45:24,06/23/2014 06:45:50 PM,06/23/2014 06:57:52 PM,06/23/2014 09:56:49 PM,RTF,REPORT TO FOLLOW,N,2U03,031XX Audubon St,70125.0,2,"(29.95723770, -90.10989848)",VIOLENT CRIME,AGGRAVATED CRIMINAL DAMAGE,29.95723770,-90.10989848
G0007914,55,AGGRAVATED CRIMINAL DAMAGE,1B,55,AGGRAVATED CRIMINAL DAMAGE,1B,3695969,534284,2014-07-01 01:59:19,07/01/2014 02:23:08 AM,07/01/2014 02:29:48 AM,07/01/2014 04:08:25 AM,RTF,REPORT TO FOLLOW,N,5E01,Reynes St & Saint Claude Ave,70117.0,5,"(29.96264978, -90.02228011)",VIOLENT CRIME,AGGRAVATED CRIMINAL DAMAGE,29.96264978,-90.02228011
G1157514,55,AGGRAVATED CRIMINAL DAMAGE,1B,94,DISCHARGING FIREARM,2B,3690683,525564,2014-07-09 17:17:30,07/09/2014 05:19:28 PM,07/09/2014 05:25:35 PM,07/09/2014 10:00:42 PM,RTF,REPORT TO FOLLOW,N,4B04,Lawrence St & Hendee St,70114.0,4,"(29.93883750, -90.03928571)",VIOLENT CRIME,AGGRAVATED CRIMINAL DAMAGE,29.93883750,-90.03928571
G1379514,55,AGGRAVATED CRIMINAL DAMAGE,1B,55,AGGRAVATED CRIMINAL DAMAGE,1B,3678466,537789,2014-07-11 09:06:05,07/11/2014 09:34:21 AM,07/11/2014 09:45:40 AM,07/11/2014 11:59:38 AM,RTF,REPORT TO FOLLOW,N,1J04,025XX Governor Nicholls St,70119.0,1,"(29.97282541, -90.07743178)",VIOLENT CRIME,AGGRAVATED CRIMINAL DAMAGE,29.97282541,-90.07743178
