NOPD_Item,Type_,TypeText,Priority,InitialType,InitialTypeText,InitialPriority,MapX,MapY,TimeCreate,TimeDispatch,TimeArrive,TimeClosed,Disposition,DispositionText,SelfInitiated,Beat,BLOCK_ADDRESS,Zip_x,PoliceDistrict,Location,CrimeType,Description,FieldInterviewID,EventDate,District,Zone,OfficerAssignment,StopDescription,ActionsTaken,VehicleYear,VehicleMake,VehicleModel,VehicleStyle,VehicleColor,SubjectID,SubjectRace,SubjectGender,SubjectAge,SubjectHasPhotoID,SubjectHeight,SubjectWeight,SubjectEyeColor,SubjectHairColor,SubjectDriverLicState,CreatedDateTime,LastModifiedDateTime,Longitude,Latitude,Zip_y,BlockAddress
C4780612,65,SIMPLE ROBBERY,2B,,,,3682118,533698,2012-03-30 23:44:00,2012-03-30 23:48:00,2012-03-30 23:49:00,2012-03-31 03:19:00,RTF,REPORT TO FOLLOW,,,010XX Dumaine St,70116.0,8,"(29.961465662229635, -90.06604283901522)",VIOLENT CRIME,SIMPLE ROBBERY,158242,03/31/2012 12:04:00 AM,8,E,8th  District,SUSPECT PERSON,Stop Results: Arrest made,,,,,,187163.0,BLACK,MALE,36.0,No,74.0,180.0,Brown,Black,,03/31/2012 12:07:14 AM,,-90.06604283899999,29.9614656622,70116.0,010XX Dumaine St
E0763912,65,SIMPLE ROBBERY,2A,,,,3681767,532584,2012-05-05 15:59:00,2012-05-05 16:03:00,2012-05-05 16:05:00,2012-05-05 18:30:00,RTF,REPORT TO FOLLOW,,,006XX Dauphine St,70112.0,8,"(29.95841321172421, -90.06719010766275)",VIOLENT CRIME,SIMPLE ROBBERY,165287,05/05/2012 08:30:00 PM,8,D,8th  District,CRIMINAL VIOLATION,,,,,,,195139.0,BLACK,MALE,15.0,No,71.0,125.0,Brown,Black,,05/05/2012 08:33:33 PM,,-90.0671901077,29.9584132117,70112.0,006XX Dauphine St
E4436012,65,SIMPLE ROBBERY,1E,,,,3684467,537965,2012-05-28 20:14:00,2012-05-28 20:30:00,2012-05-28 20:38:00,2012-05-28 22:53:00,RTF,REPORT TO FOLLOW,,,021XX N Claiborne Ave,70116.0,5,"(29.97312679068695, -90.05847519488735)",VIOLENT CRIME,SIMPLE ROBBERY,169754,05/29/2012 04:25:00 PM,5,A,5th  District,CALL FOR SERVICE,,,,,,,200132.0,BLACK,FEMALE,39.0,No,61.0,156.0,Brown,Black,,05/29/2012 04:27:17 PM,,-90.0584751949,29.9731267907,70116.0,021XX N Claiborne Ave
E4436012,65,SIMPLE ROBBERY,1E,,,,3684467,537965,2012-05-28 20:14:00,2012-05-28 20:30:00,2012-05-28 20:38:00,2012-05-28 22:53:00,RTF,REPORT TO FOLLOW,,,021XX N Claiborne Ave,70116.0,5,"(29.97312679068695, -90.05847519488735)",VIOLENT CRIME,SIMPLE ROBBERY,169755,05/29/2012 04:27:00 PM,5,A,5th  District,CALL FOR SERVICE,,,,,,,200133.0,BLACK,MALE,13.0,No,63.0,130.0,Brown,Black,,05/29/2012 04:29:06 PM,,-90.0584751949,29.9731267907,70116.0,021XX N Claiborne Ave
E4436012,65,SIMPLE ROBBERY,1E,,,,3684467,537965,2012-05-28 20:14:00,2012-05-28 20:30:00,2012-05-28 20:38:00,2012-05-28 22:53:00,RTF,REPORT TO FOLLOW,,,021XX N Claiborne Ave,70116.0,5,"(29.97312679068695, -90.05847519488735)",VIOLENT CRIME,SIMPLE ROBBERY,169756,05/29/2012 04:29:00 PM,5,A,5th  District,CALL FOR SERVICE,,,,,,,200134.0,BLACK,FEMALE,37.0,Yes,66.0,135.0,Brown,Black,,05/29/2012 04:31:14 PM,,-90.0584751949,29.9731267907,70116.0,021XX N Claiborne Ave
E4436012,65,SIMPLE ROBBERY,1E,,,,3684467,537965,2012-05-28 20:14:00,2012-05-28 20:30:00,2012-05-28 20:38:00,2012-05-28 22:53:00,RTF,REPORT TO FOLLOW,,,021XX N Claiborne Ave,70116.0,5,"(29.97312679068695, -90.05847519488735)",VIOLENT CRIME,SIMPLE ROBBERY,169757,05/29/2012 04:31:00 PM,5,A,5th  District,CALL FOR SERVICE,,,,,,,200135.0,BLACK,MALE,13.0,No,62.0,110.0,Brown,Black,,05/29/2012 04:32:50 PM,,-90.0584751949,29.9731267907,70116.0,021XX N Claiborne Ave
F0346012,65,SIMPLE ROBBERY,1A,,,,3680013,531637,2012-06-03 06:27:00,2012-06-03 08:22:00,2012-06-03 08:50:00,2012-06-03 09:18:00,RTF,REPORT TO FOLLOW,,,001XX N Rampart St,70112.0,1,"(29.955862458369868, -90.07276166657125)",VIOLENT CRIME,SIMPLE ROBBERY,170444,06/03/2012 10:42:00 AM,8,D,8th  District,CALL FOR SERVICE,Stop Results: Arrest made,,,,,,200874.0,WHITE,MALE,22.0,Yes,72.0,215.0,Blue,Blonde,MS,06/03/2012 10:45:43 AM,,-90.0727616666,29.955862458400002,70112.0,001XX N Rampart St
F0671712,65,SIMPLE ROBBERY,1A,,,,3684716,534487,2012-06-05 12:14:00,2012-06-05 12:47:00,2012-06-05 13:12:00,2012-06-05 14:19:00,RTF,REPORT TO FOLLOW,,,006XX Frenchmen St,70116.0,8,"(29.963555876883827, -90.05781107849084)",VIOLENT CRIME,SIMPLE ROBBERY,175770,06/27/2012 09:30:00 PM,5,G,5th  District,CRIMINAL VIOLATION,Stop Results: Arrest made;Search Occurred: Yes;Search Types: Pat-down;Legal Basises: Warrant;Evidence Seized: No,,,,,,206852.0,BLACK,MALE,17.0,No,65.0,160.0,Brown,Black,,06/29/2012 08:52:21 PM,,-90.05781107850001,29.9635558769,70116.0,006XX Frenchmen St
F1892512,65,SIMPLE ROBBERY,2B,,,,3686743,545440,2012-06-13 04:03:00,2012-06-13 04:09:00,2012-06-13 04:13:00,2012-06-13 08:49:00,RTF,REPORT TO FOLLOW,,,Clematis St & Sage St,70122.0,3,"(29.99361056577511, -90.05102296155495)",VIOLENT CRIME,SIMPLE ROBBERY,172373,06/13/2012 06:45:00 AM,3,X,3rd  District,CITIZEN CONTACT,Stop Results: No action taken,,,,,,202984.0,BLACK,MALE,20.0,No,68.0,150.0,Brown,Black,,06/13/2012 12:14:40 PM,,-90.0510229616,29.9936105658,70122.0,Clematis St & Sage St
G0032612,65,SIMPLE ROBBERY,1B,,,,3681403,531510,2012-07-01 06:13:00,2012-07-01 06:16:00,2012-07-01 06:20:00,2012-07-01 08:12:00,RTF,REPORT TO FOLLOW,,,003XX Bourbon St,70112.0,8,"(29.95547113098435, -90.06837696099961)",VIOLENT CRIME,SIMPLE ROBBERY,177018,07/01/2012 06:30:00 AM,8,D,8th  District,CALL FOR SERVICE,Stop Results: No action taken,,,,,,208220.0,WHITE,MALE,56.0,No,72.0,190.0,Blue,Blonde,LA,07/06/2012 11:21:50 AM,,-90.068376961,29.955471131,70112.0,003XX Bourbon St
G0032612,65,SIMPLE ROBBERY,1B,,,,3681403,531510,2012-07-01 06:13:00,2012-07-01 06:16:00,2012-07-01 06:20:00,2012-07-01 08:12:00,RTF,REPORT TO FOLLOW,,,003XX Bourbon St,70112.0,8,"(29.95547113098435, -90.06837696099961)",VIOLENT CRIME,SIMPLE ROBBERY,177018,07/01/2012 06:30:00 AM,8,D,8th  District,CALL FOR SERVICE,Stop Results: No action taken,,,,,,208221.0,WHITE,MALE,28.0,No,67.0,170.0,Blue,Brown,LA,07/06/2012 11:21:50 AM,,-90.068376961,29.955471131,70112.0,003XX Bourbon St
G0627012,65,SIMPLE ROBBERY,1B,,,,3681624,531805,2012-07-05 02:47:00,2012-07-05 02:47:00,2012-07-05 04:33:00,2012-07-05 06:17:00,RTF,REPORT TO FOLLOW,,,004XX Bourbon St,70112.0,8,"(29.95627557056932, -90.06766883413155)",VIOLENT CRIME,SIMPLE ROBBERY,176763,07/05/2012 03:28:00 AM,8,D,8th  District,FLAGGED DOWN,Stop Results: Arrest made;Search Occurred: Yes;Search Types: Pat-down,,,,,,207936.0,BLACK,MALE,22.0,Yes,71.0,160.0,Brown,Black,LA,07/05/2012 03:35:10 AM,07/05/2012 03:40:25 AM,-90.0676688341,29.9562755706,70112.0,004XX Bourbon St
G4167312,65,SIMPLE ROBBERY,2B,,,,3684941,538165,2012-07-28 05:12:00,2012-07-28 05:17:00,2012-07-28 05:23:00,2012-07-28 06:43:00,RTF,REPORT TO FOLLOW,,,016XX Elysian Fields Ave,70117.0,5,"(29.9736622115066, -90.05697117582945)",VIOLENT CRIME,SIMPLE ROBBERY,181082,08/04/2012 02:26:00 AM,5,K,5th  District,OTHER,Stop Results: Arrest made;Search Types: Pat-down;Legal Basises: Warrant;Legal Basises: Probable cause;Evidence Seized: No,,,,,,212674.0,BLACK,MALE,21.0,No,71.0,170.0,Brown,Black,,08/04/2012 02:30:42 AM,,-90.0569711758,29.973662211500002,70117.0,016XX Elysian Fields Ave
H2928212,65,SIMPLE ROBBERY,1B,,,,3676980,533946,2012-08-19 07:07:00,2012-08-19 07:07:00,2012-08-19 10:00:00,2012-08-19 10:23:00,RTF,REPORT TO FOLLOW,,,022XX Canal St,70119.0,1,"(29.962302830071884, -90.08225922371912)",VIOLENT CRIME,SIMPLE ROBBERY,183246,08/19/2012 02:08:00 PM,1,I,1st District,CRIMINAL VIOLATION,Stop Results: Arrest made;Search Occurred: Yes;Search Types: Driver;Legal Basises: Probable cause;Legal Basises: Incident to arrest;Evidence Seized: No,,,,,,215050.0,BLACK,MALE,26.0,No,69.0,225.0,Blue,Black,,08/19/2012 02:12:22 PM,,-90.0822592237,29.962302830100004,70119.0,022XX Canal St
H4914012,65,SIMPLE ROBBERY,1B,,,,3680165,527068,2012-08-31 21:50:00,2012-08-31 21:50:00,2012-08-31 21:50:00,2012-09-01 01:05:00,RTF,REPORT TO FOLLOW,,,010XX St Charles Ave,70130.0,8,"(29.943294643417364, -90.0724404630374)",VIOLENT CRIME,SIMPLE ROBBERY,184459,08/31/2012 09:50:00 PM,8,G,8th  District,CRIMINAL VIOLATION,Stop Results: Arrest made;Search Occurred: Yes;Search Types: Pat-down;Evidence Seized: No,,,,,,216389.0,BLACK,MALE,58.0,Yes,72.0,185.0,Brown,Black,LA,08/31/2012 11:40:09 PM,,-90.07244046299999,29.9432946434,70130.0,010XX St Charles Ave
I2970412,65,SIMPLE ROBBERY,2B,,,,3682369,529694,2012-09-20 04:43:00,2012-09-20 04:51:00,2012-09-20 04:59:00,2012-09-20 06:34:00,RTF,REPORT TO FOLLOW,,,003XX Canal St,70130.0,8,"(29.950448387992633, -90.06539013776339)",VIOLENT CRIME,SIMPLE ROBBERY,186240,09/21/2012 02:22:00 AM,8,A,8th  District,CRIMINAL VIOLATION,Stop Results: Arrest made;Search Occurred: Yes;Search Types: Pat-down;Legal Basises: Incident to arrest;Evidence Seized: No,,,,,,218417.0,BLACK,FEMALE,23.0,No,65.0,140.0,Brown,Brown,TN,09/21/2012 02:26:53 AM,,-90.06539013780001,29.950448388,70130.0,003XX Canal St
J0886412,65,SIMPLE ROBBERY,1B,,,,3673533,535388,2012-10-07 00:03:00,2012-10-07 00:06:00,2012-10-07 00:10:00,2012-10-07 03:20:00,RTF,REPORT TO FOLLOW,,,003XX S Salcedo St,70119.0,1,"(29.966370880944645, -90.09309508174347)",VIOLENT CRIME,SIMPLE ROBBERY,187798,10/07/2012 12:10:00 AM,1,L,1st District,CRIMINAL VIOLATION,Stop Results: Arrest made;Search Occurred: Yes;Legal Basises: Incident to arrest;Evidence Seized: No,,,,,,220174.0,BLACK,MALE,28.0,Yes,68.0,210.0,Brown,Black,,10/07/2012 03:00:24 AM,,-90.0930950817,29.9663708809,70119.0,003XX S Salcedo St
J1470512,65,SIMPLE ROBBERY,2B,,,,3681807,536651,2012-10-11 04:42:00,2012-10-11 04:46:00,2012-10-11 04:51:00,2012-10-11 06:17:00,RTF,REPORT TO FOLLOW,,,Kerlerec St & N Robertson St,70116.0,1,"(29.969594852832245, -90.06692186003337)",VIOLENT CRIME,SIMPLE ROBBERY,188164,10/11/2012 05:00:00 AM,1,A,1st District,SUSPECT PERSON,Stop Results: No action taken;Search Occurred: Yes;Search Types: Pat-down;Legal Basises: Probable cause;Evidence Seized: No,,,,,,220589.0,BLACK,MALE,32.0,No,65.0,170.0,Brown,Black,,10/11/2012 05:55:25 AM,,-90.06692186,29.969594852800004,70116.0,Kerlerec St & N Robertson St
K1111812,65,SIMPLE ROBBERY,2B,,,,3681360,531504,2012-11-09 00:45:00,2012-11-09 00:56:00,2012-11-09 01:03:00,2012-11-09 02:24:00,RTF,REPORT TO FOLLOW,,,008XX Bienville St,70112.0,8,"(29.95545593821451, -90.06851294852419)",VIOLENT CRIME,SIMPLE ROBBERY,191496,11/09/2012 02:40:00 AM,8,D,8th  District,CRIMINAL VIOLATION,Stop Results: Citation issued;Search Occurred: No;Legal Basises: Probable cause;Evidence Seized: No,,,,,,224397.0,WHITE,MALE,32.0,No,70.0,130.0,Brown,Brown,,11/17/2012 04:16:41 AM,,-90.0685129485,29.9554559382,70112.0,008XX Bienville St
K1111812,65,SIMPLE ROBBERY,2B,,,,3681360,531504,2012-11-09 00:45:00,2012-11-09 00:56:00,2012-11-09 01:03:00,2012-11-09 02:24:00,RTF,REPORT TO FOLLOW,,,008XX Bienville St,70112.0,8,"(29.95545593821451, -90.06851294852419)",VIOLENT CRIME,SIMPLE ROBBERY,191496,11/09/2012 02:40:00 AM,8,D,8th  District,CRIMINAL VIOLATION,Stop Results: Citation issued;Search Occurred: No;Legal Basises: Probable cause;Evidence Seized: No,,,,,,224398.0,WHITE,MALE,41.0,Yes,68.0,150.0,Brown,Brown,LA,11/17/2012 04:16:41 AM,,-90.0685129485,29.9554559382,70112.0,008XX Bienville St
K1111812,65,SIMPLE ROBBERY,2B,,,,3681360,531504,2012-11-09 00:45:00,2012-11-09 00:56:00,2012-11-09 01:03:00,2012-11-09 02:24:00,RTF,REPORT TO FOLLOW,,,008XX Bienville St,70112.0,8,"(29.95545593821451, -90.06851294852419)",VIOLENT CRIME,SIMPLE ROBBERY,191496,11/09/2012 02:40:00 AM,8,D,8th  District,CRIMINAL VIOLATION,Stop Results: Citation issued;Search Occurred: No;Legal Basises: Probable cause;Evidence Seized: No,,,,,,224399.0,WHITE,MALE,26.0,Yes,70.0,180.0,Blue,Brown,LA,11/17/2012 04:16:41 AM,,-90.0685129485,29.9554559382,70112.0,008XX Bienville St
K1811512,65,SIMPLE ROBBERY,1H,,,,3681403,531510,2012-11-14 03:32:00,2012-11-14 03:32:00,2012-11-14 03:59:00,2012-11-14 06:40:00,RTF,REPORT TO FOLLOW,,,003XX Bourbon St,70112.0,8,"(29.95547113098435, -90.06837696099961)",VIOLENT CRIME,SIMPLE ROBBERY,191280,11/14/2012 03:32:00 AM,8,D,8th  District,CRIMINAL VIOLATION,Stop Results: Arrest made;Search Occurred: Yes;Legal Basises: Probable cause;Legal Basises: Incident to arrest;Evidence Seized: Yes;Evidence Types: Other,,,,,,224152.0,BLACK,MALE,25.0,No,73.0,180.0,Brown,Black,,11/14/2012 10:34:46 PM,,-90.068376961,29.955471131,70112.0,003XX Bourbon St
K1811512,65,SIMPLE ROBBERY,1H,,,,3681403,531510,2012-11-14 03:32:00,2012-11-14 03:32:00,2012-11-14 03:59:00,2012-11-14 06:40:00,RTF,REPORT TO FOLLOW,,,003XX Bourbon St,70112.0,8,"(29.95547113098435, -90.06837696099961)",VIOLENT CRIME,SIMPLE ROBBERY,191282,11/14/2012 03:32:00 AM,8,D,8th  District,CRIMINAL VIOLATION,Search Occurred: Yes;Legal Basises: Probable cause;Legal Basises: Incident to arrest;Evidence Seized: Yes;Evidence Types: Other,,,,,,224154.0,BLACK,FEMALE,19.0,No,64.0,145.0,Brown,Black,,11/14/2012 10:37:34 PM,,-90.068376961,29.955471131,70112.0,003XX Bourbon St
L1139912,65,SIMPLE ROBBERY,1B,,,,3683011,529500,2012-12-08 20:41:00,2012-12-08 20:41:00,2012-12-08 20:42:00,2012-12-09 01:07:00,RTF,REPORT TO FOLLOW,,,X Canal St,70130.0,8,"(29.94989540405263, -90.06336982686825)",VIOLENT CRIME,SIMPLE ROBBERY,193733,12/09/2012 10:36:00 PM,1,C,8th  District,FLAGGED DOWN,Stop Results: Arrest made;Search Occurred: Yes;Search Types: Pat-down;Legal Basises: Probable cause;Evidence Seized: Yes;Evidence Types: Weapon(s),,,,,,226898.0,BLACK,MALE,17.0,No,69.0,185.0,Brown,Black,,12/09/2012 10:50:46 PM,,-90.0633698269,29.949895404099998,70130.0,X Canal St
A3379713,65,SIMPLE ROBBERY,2B,,,,3673814,535133,2013-01-26 00:48:00,2013-01-26 00:53:00,2013-01-26 00:54:00,2013-01-26 05:58:00,RTF,REPORT TO FOLLOW,,,003XX S Gayoso St,70119.0,1,"(29.96566135075236, -90.09221640924677)",VIOLENT CRIME,SIMPLE ROBBERY,198142,01/26/2013 05:53:00 PM,1,L,1st District,SUSPECT PERSON,Stop Results: Arrest made,,,,,,231910.0,BLACK,MALE,17.0,No,65.0,150.0,Brown,Black,,01/26/2013 06:02:49 PM,,-90.0922164092,29.965661350799998,70119.0,003XX S Gayoso St
A3379713,65,SIMPLE ROBBERY,2B,,,,3673814,535133,2013-01-26 00:48:00,2013-01-26 00:53:00,2013-01-26 00:54:00,2013-01-26 05:58:00,RTF,REPORT TO FOLLOW,,,003XX S Gayoso St,70119.0,1,"(29.96566135075236, -90.09221640924677)",VIOLENT CRIME,SIMPLE ROBBERY,198142,01/26/2013 05:53:00 PM,1,L,1st District,SUSPECT PERSON,Stop Results: Arrest made,,,,,,231911.0,BLACK,MALE,18.0,No,72.0,135.0,Brown,Black,,01/26/2013 06:02:49 PM,,-90.0922164092,29.965661350799998,70119.0,003XX S Gayoso St
A3379713,65,SIMPLE ROBBERY,2B,,,,3673814,535133,2013-01-26 00:48:00,2013-01-26 00:53:00,2013-01-26 00:54:00,2013-01-26 05:58:00,RTF,REPORT TO FOLLOW,,,003XX S Gayoso St,70119.0,1,"(29.96566135075236, -90.09221640924677)",VIOLENT CRIME,SIMPLE ROBBERY,198142,01/26/2013 05:53:00 PM,1,L,1st District,SUSPECT PERSON,Stop Results: Arrest made,,,,,,231912.0,BLACK,MALE,16.0,No,65.0,130.0,Brown,Black,,01/26/2013 06:02:49 PM,,-90.0922164092,29.965661350799998,70119.0,003XX S Gayoso St
A3379713,65,SIMPLE ROBBERY,2B,,,,3673814,535133,2013-01-26 00:48:00,2013-01-26 00:53:00,2013-01-26 00:54:00,2013-01-26 05:58:00,RTF,REPORT TO FOLLOW,,,003XX S Gayoso St,70119.0,1,"(29.96566135075236, -90.09221640924677)",VIOLENT CRIME,SIMPLE ROBBERY,198142,01/26/2013 05:53:00 PM,1,L,1st District,SUSPECT PERSON,Stop Results: Arrest made,,,,,,231913.0,BLACK,MALE,15.0,No,67.0,130.0,Brown,Black,,01/26/2013 06:02:49 PM,,-90.0922164092,29.965661350799998,70119.0,003XX S Gayoso St
B0505213,65,SIMPLE ROBBERY,1A,,,,3683974,535115,2013-02-04 03:47:00,2013-02-04 03:48:00,2013-02-04 03:52:00,2013-02-04 06:24:00,RTF,REPORT TO FOLLOW,,,019XX Dauphine St,70116.0,8,"(29.965305351137793, -90.06013219728266)",VIOLENT CRIME,SIMPLE ROBBERY,198684,02/04/2013 04:40:00 AM,8,F,8th  District,SUSPECT PERSON,Stop Results: Verbal warning;Search Occurred: Yes;Search Types: Pat-down;Legal Basises: Probable cause;Evidence Seized: No,,,,,,232507.0,WHITE,MALE,30.0,No,73.0,200.0,Blue,Blonde,,02/04/2013 04:43:33 AM,,-90.06013219729999,29.9653053511,70116.0,019XX Dauphine St
D1738613,65,SIMPLE ROBBERY,1B,,,,3674248,527526,2013-04-13 12:18:00,2013-04-13 12:20:00,2013-04-13 12:23:00,2013-04-13 14:16:00,RTF,REPORT TO FOLLOW,,,023XX S Claiborne Ave,70125.0,6,"(29.944731700692774, -90.09110628561562)",VIOLENT CRIME,SIMPLE ROBBERY,204032,04/13/2013 11:58:00 AM,5,B,5th  District,TRAFFIC VIOLATION,Stop Results: Verbal warning;Subject Type: Driver;Search Occurred: No;Legal Basises: Probable cause;Evidence Seized: No,2006.0,NISSAN,PICKUP,PICK UP,SILVER,238565.0,WHITE,MALE,53.0,Yes,72.0,230.0,Blue,Brown,LA,04/13/2013 01:19:52 PM,,-90.09110628559999,29.9447317007,70125.0,023XX S Claiborne Ave
