NOPD_Item,Type_,TypeText,Priority,InitialType,InitialTypeText,InitialPriority,MapX,MapY,TimeCreate,TimeDispatch,TimeArrive,TimeClosed,Disposition,DispositionText,SelfInitiated,Beat,BLOCK_ADDRESS,Zip,PoliceDistrict,Location,CrimeType,Description
B2259713,34,AGGRAVATED BATTERY,2B,,,,3683360,538405,2013-02-17 07:28:00,2013-02-17 07:32:00,2013-02-17 07:41:00,2013-02-17 09:46:00,RTF,REPORT TO FOLLOW,,,017XX Saint Anthony St,70116.0,5,"(29.97437045719234, -90.06195589700147)",VIOLENT CRIME,AGGRAVATED BATTERY
B2840613,34,AGGRAVATED BATTERY,2B,,,,37369000,3513814,2013-02-21 16:24:00,2013-02-21 16:58:00,2013-02-21 17:22:00,2013-02-21 18:30:00,RTF,REPORT TO FOLLOW,,,015XX Valance,,0,"(9.235500542976004E-7, -0.000002292984766499941)",VIOLENT CRIME,AGGRAVATED BATTERY
B2896613,34,AGGRAVATED BATTERY,1B,,,,3720022,552844,2013-02-22 00:54:00,2013-02-22 01:41:00,2013-02-22 02:02:00,2013-02-22 03:46:00,RTF,REPORT TO FOLLOW,,,120XX Old Gentilly Rd,70129.0,7,"(30.012902653100024, -89.945617817807)",VIOLENT CRIME,AGGRAVATED BATTERY
B2912213,34,AGGRAVATED BATTERY,2B,,,,3680008,537351,2013-02-22 05:21:00,2013-02-22 05:24:00,2013-02-22 05:28:00,2013-02-22 10:18:00,RTF,REPORT TO FOLLOW,,,021XX Bayou Rd,70116.0,1,"(29.971574161010654, -90.07257893186949)",VIOLENT CRIME,AGGRAVATED BATTERY
B3153313,34,AGGRAVATED BATTERY,1A,,,,3681735,528238,2013-02-23 23:29:00,2013-02-24 01:23:00,2013-02-24 01:28:00,2013-02-24 02:54:00,RTF,REPORT TO FOLLOW,,,007XX Tchoupitoulas St,70130.0,8,"(29.946464153407703, -90.06744276818395)",VIOLENT CRIME,AGGRAVATED BATTERY
B3689413,34,AGGRAVATED BATTERY,2D,,,,3684155,537324,2013-02-28 08:26:00,2013-02-28 08:28:00,2013-02-28 08:36:00,2013-02-28 10:25:00,RTF,REPORT TO FOLLOW,,,020XX N Villere St,70116.0,5,"(29.9713738048507, -90.05948305677977)",VIOLENT CRIME,AGGRAVATED BATTERY
C0074413,34,AGGRAVATED BATTERY,2B,,,,3676306,526457,2013-03-01 15:23:00,2013-03-01 15:31:00,2013-03-01 15:37:00,2013-03-01 17:20:00,RTF,REPORT TO FOLLOW,,,020XX La Salle St,70113.0,6,"(29.941730794851075, -90.08464533882673)",VIOLENT CRIME,AGGRAVATED BATTERY
C0440113,34,AGGRAVATED BATTERY,2B,,,,3685661,537839,2013-03-04 10:33:00,2013-03-04 10:38:00,2013-03-04 10:42:00,2013-03-04 14:22:00,RTF,REPORT TO FOLLOW,,,Mandeville St & N Robertson St,70117.0,5,"(29.97274375317204, -90.05470875452356)",VIOLENT CRIME,AGGRAVATED BATTERY
C2188513,34,AGGRAVATED BATTERY,2B,,,,3675453,524365,2013-03-16 21:21:00,2013-03-16 23:25:00,2013-03-16 23:36:00,2013-03-17 02:37:00,RTF,REPORT TO FOLLOW,,,3rd St & S Saratoga St,70113.0,6,"(29.9360040129718, -90.0874102549828)",VIOLENT CRIME,AGGRAVATED BATTERY
C2283313,34,AGGRAVATED BATTERY,2B,,,,3681663,539566,2013-03-17 15:57:00,2013-03-17 15:57:00,2013-03-17 15:57:00,2013-03-17 21:31:00,RTF,REPORT TO FOLLOW,,,020XX A P Tureaud Ave,70116.0,5,"(29.977614468729296, -90.06727490744426)",VIOLENT CRIME,AGGRAVATED BATTERY
C2960613,34,AGGRAVATED BATTERY,1B,,,,3709286,565383,2013-03-22 12:07:00,2013-03-22 13:27:00,2013-03-22 13:47:00,2013-03-22 14:53:00,RTF,REPORT TO FOLLOW,,,105XX Curran Blvd,70127.0,7,"(30.047733103230314, -89.97906920668562)",VIOLENT CRIME,AGGRAVATED BATTERY
C3444313,34,AGGRAVATED BATTERY,2B,,,,3700657,518496,2013-03-25 20:18:00,2013-03-25 20:18:00,2013-03-25 20:23:00,2013-03-25 22:52:00,RTF,REPORT TO FOLLOW,,,034XX Kabel Dr,70131.0,4,"(29.919088666970843, -90.0080554629103)",VIOLENT CRIME,AGGRAVATED BATTERY
C3708013,34,AGGRAVATED BATTERY,2B,,,,3665107,536096,2013-03-27 19:14:00,2013-03-27 19:28:00,2013-03-27 19:44:00,2013-03-27 21:42:00,RTF,REPORT TO FOLLOW,,,089XX Olive St,70118.0,2,"(29.968565730384224, -90.11968068521887)",VIOLENT CRIME,AGGRAVATED BATTERY
D3815913,34,AGGRAVATED BATTERY,2B,,,,3700833,534765,2013-04-28 02:02:00,2013-04-28 02:07:00,2013-04-28 02:18:00,2013-04-28 07:36:00,RTF,REPORT TO FOLLOW,,,N Claiborne Ave & Tricou St,70117.0,5,"(29.963817117632864, -90.00690546348794)",VIOLENT CRIME,AGGRAVATED BATTERY
D4060013,34,AGGRAVATED BATTERY,2B,,,,3670040,536169,2013-04-29 22:03:00,2013-04-29 22:22:00,2013-04-29 22:24:00,2013-04-30 01:10:00,RTF,REPORT TO FOLLOW,,,040XX Ulloa St,70119.0,1,"(29.968621865716806, -90.10409949134144)",VIOLENT CRIME,AGGRAVATED BATTERY
D4200813,34,AGGRAVATED BATTERY,2B,,,,3662140,529662,2013-04-30 23:32:00,2013-04-30 23:41:00,2013-04-30 23:48:00,2013-05-01 05:51:00,RTF,REPORT TO FOLLOW,,,083XX Jeannette St,70118.0,2,"(29.95096039811331, -90.12926419260255)",VIOLENT CRIME,AGGRAVATED BATTERY
E1205813,34,AGGRAVATED BATTERY,1A,,,,3705207,558781,2013-05-09 12:15:00,2013-05-09 13:44:00,2013-05-09 16:11:00,2013-05-09 17:02:00,RTF,REPORT TO FOLLOW,,,084XX S I-10 Service Rd,70127.0,7,"(30.02971213377523, -89.99220525282911)",VIOLENT CRIME,AGGRAVATED BATTERY
E2438913,34,AGGRAVATED BATTERY,2B,,,,3715795,565278,2013-05-18 04:02:00,2013-05-18 04:02:00,2013-05-18 04:08:00,2013-05-18 08:30:00,RTF,REPORT TO FOLLOW,,,121XX S I-10 Service Rd,70128.0,7,"(30.047231262708646, -89.95850133469705)",VIOLENT CRIME,AGGRAVATED BATTERY
E2565513,34,AGGRAVATED BATTERY,2B,,,,3673497,534211,2013-05-19 01:06:00,2013-05-19 01:10:00,2013-05-19 01:12:00,2013-05-19 03:03:00,RTF,REPORT TO FOLLOW,,,029XX Tulane Ave,70119.0,1,"(29.963135597835223, -90.09324899600004)",VIOLENT CRIME,AGGRAVATED BATTERY
E2647713,34,AGGRAVATED BATTERY,2B,,,,3683488,541000,2013-05-19 17:55:00,2013-05-19 17:57:00,2013-05-19 18:08:00,2013-05-19 22:33:00,RTF,REPORT TO FOLLOW,,,Pauger St & N Rocheblave St,70119.0,5,"(29.98150189430003, -90.06146067249394)",VIOLENT CRIME,AGGRAVATED BATTERY
E2775513,34,AGGRAVATED BATTERY,2B,,,,3680918,530958,2013-05-20 16:39:00,2013-05-20 16:39:00,2013-05-20 16:42:00,2013-05-20 22:56:00,RTF,REPORT TO FOLLOW,,,008XX Canal St,70112.0,8,"(29.953968031006575, -90.06992763371271)",VIOLENT CRIME,AGGRAVATED BATTERY
E2941513,34,AGGRAVATED BATTERY,2B,,,,3684482,547969,2013-05-21 18:59:00,2013-05-21 19:02:00,2013-05-21 19:08:00,2013-05-21 21:43:00,RTF,REPORT TO FOLLOW,,,Gentilly Blvd & Marigny St,70122.0,3,"(30.000633789811356, -90.05807619161338)",VIOLENT CRIME,AGGRAVATED BATTERY
E3179013,34,AGGRAVATED BATTERY,2B,,,,3674915,527823,2013-05-23 11:57:00,2013-05-23 11:57:00,,2013-05-23 12:04:00,RTF,REPORT TO FOLLOW,,,021XX S Claiborne Ave,70125.0,6,"(29.945528452875067, -90.08899018093332)",VIOLENT CRIME,AGGRAVATED BATTERY
F0156813,34,AGGRAVATED BATTERY,2B,,,,3696042,527412,2013-06-02 00:54:00,2013-06-02 00:57:00,2013-06-02 01:04:00,2013-06-02 02:38:00,RTF,REPORT TO FOLLOW,,,Diana St & Odeon Ave,70114.0,4,"(29.943750575640628, -90.0223005753706)",VIOLENT CRIME,AGGRAVATED BATTERY
F0867313,34,AGGRAVATED BATTERY,2B,,,,3706693,513949,2013-06-07 00:41:00,2013-06-07 00:44:00,2013-06-07 00:50:00,2013-06-07 03:26:00,RTF,REPORT TO FOLLOW,,,061XX Tullis Dr,70131.0,4,"(29.906392645830067, -89.9891714288862)",VIOLENT CRIME,AGGRAVATED BATTERY
F2621613,34,AGGRAVATED BATTERY,1B,,,,3696226,551412,2013-06-19 17:54:00,2013-06-19 18:56:00,2013-06-19 19:30:00,2013-06-19 21:02:00,RTF,REPORT TO FOLLOW,,,Chef Menteur Hwy & Downman Rd,70126.0,7,"(30.009736142703755, -90.02085169844909)",VIOLENT CRIME,AGGRAVATED BATTERY
F2713013,34,AGGRAVATED BATTERY,2B,,,,3688188,540617,2013-06-20 11:06:00,2013-06-20 13:04:00,2013-06-20 13:07:00,2013-06-20 16:23:00,RTF,REPORT TO FOLLOW,,,026XX N Miro St,70117.0,5,"(29.98030449489531, -90.0466295212639)",VIOLENT CRIME,AGGRAVATED BATTERY
F3947313,34,AGGRAVATED BATTERY,2B,,,,3719915,573822,2013-06-28 20:11:00,2013-06-28 20:14:00,2013-06-28 20:20:00,2013-06-28 22:39:00,RTF,REPORT TO FOLLOW,,,078XX Bass St,70128.0,7,"(30.07058713313061, -89.94515291060257)",VIOLENT CRIME,AGGRAVATED BATTERY
F4248513,34,AGGRAVATED BATTERY,2B,,,,3683710,551847,2013-06-30 22:15:00,2013-06-30 22:17:00,2013-06-30 22:22:00,2013-07-01 02:06:00,RTF,REPORT TO FOLLOW,,,Elysian Fields Ave & Robin St,70122.0,3,"(30.011320490599026, -90.06037889018009)",VIOLENT CRIME,AGGRAVATED BATTERY
G0438313,34,AGGRAVATED BATTERY,1B,,,,3712918,557966,2013-07-04 01:11:00,2013-07-04 01:27:00,2013-07-04 01:49:00,2013-07-04 03:25:00,RTF,REPORT TO FOLLOW,,,101XX Dwyer Rd,70127.0,7,"(30.027220793626917, -89.9678695195608)",VIOLENT CRIME,AGGRAVATED BATTERY
G1642113,34,AGGRAVATED BATTERY,2B,,,,3682878,539469,2013-07-12 18:16:00,2013-07-12 18:27:00,2013-07-12 18:33:00,2013-07-12 21:05:00,RTF,REPORT TO FOLLOW,,,Annette St & N Johnson St,70116.0,5,"(29.97731078324615, -90.06344092398604)",VIOLENT CRIME,AGGRAVATED BATTERY
G2091513,34,AGGRAVATED BATTERY,2B,,,,3703830,512956,2013-07-15 21:37:00,2013-07-15 21:37:00,2013-07-15 21:40:00,2013-07-16 02:35:00,RTF,REPORT TO FOLLOW,,,Mimosa Ct & Tall Timbers Dr,70131.0,4,"(29.903754271581224, -89.9982437526697)",VIOLENT CRIME,AGGRAVATED BATTERY
G2654013,34,AGGRAVATED BATTERY,2B,,,,3687294,543899,2013-07-19 17:20:00,2013-07-19 17:22:00,2013-07-19 17:26:00,2013-07-20 00:17:00,RTF,REPORT TO FOLLOW,,,Abundance St & Franklin Ave,70122.0,3,"(29.98935640143127, -90.04933698845062)",VIOLENT CRIME,AGGRAVATED BATTERY
G3046413,34,AGGRAVATED BATTERY,2B,,,,3673153,533753,2013-07-22 16:07:00,2013-07-22 16:07:00,2013-07-22 16:07:00,2013-07-22 22:47:00,RTF,REPORT TO FOLLOW,,,029XX Gravier St,70119.0,1,"(29.961886483538834, -90.09435094803474)",VIOLENT CRIME,AGGRAVATED BATTERY
G3548813,34,AGGRAVATED BATTERY,1B,,,,3681657,531848,2013-07-26 07:44:00,2013-07-26 08:11:00,2013-07-26 08:15:00,2013-07-26 10:37:00,RTF,REPORT TO FOLLOW,,,004XX Bourbon St,70112.0,8,"(29.956392803651312, -90.06756313136856)",VIOLENT CRIME,AGGRAVATED BATTERY
G4134613,34,AGGRAVATED BATTERY,1B,,,,3714155,555138,2013-07-30 10:58:00,2013-07-30 12:20:00,2013-07-30 12:42:00,2013-07-30 14:02:00,RTF,REPORT TO FOLLOW,,,104XX Chef Menteur Hwy,70129.0,7,"(30.019404321937362, -89.96406753929413)",VIOLENT CRIME,AGGRAVATED BATTERY
H0251113,34,AGGRAVATED BATTERY,2B,,,,3665889,535862,2013-08-02 17:16:00,2013-08-02 17:18:00,2013-08-02 17:20:00,2013-08-02 19:43:00,RTF,REPORT TO FOLLOW,,,087XX Edinburgh St,70118.0,2,"(29.96789950982918, -90.1172189206598)",VIOLENT CRIME,AGGRAVATED BATTERY
H0287213,34,AGGRAVATED BATTERY,2B,,,,3673687,522630,2013-08-02 22:45:00,2013-08-02 22:48:00,2013-08-02 22:58:00,2013-08-03 01:08:00,RTF,REPORT TO FOLLOW,,,019XX Louisiana Ave,70115.0,6,"(29.931286008315055, -90.09304485663968)",VIOLENT CRIME,AGGRAVATED BATTERY
H0309113,34,AGGRAVATED BATTERY,2B,,,,3708595,520153,2013-08-03 02:24:00,2013-08-03 02:28:00,2013-08-03 02:45:00,2013-08-03 05:26:00,RTF,REPORT TO FOLLOW,,,066XX Belgrade St,70131.0,4,"(29.923390001510793, -89.9829378491461)",VIOLENT CRIME,AGGRAVATED BATTERY
H0929613,34,AGGRAVATED BATTERY,2B,,,,3675761,536234,2013-08-07 17:32:00,2013-08-07 17:37:00,2013-08-07 17:50:00,2013-08-07 18:16:00,RTF,REPORT TO FOLLOW,,,027XX Conti St,70119.0,1,"(29.968630596688477, -90.08603000373418)",VIOLENT CRIME,AGGRAVATED BATTERY
H1488613,34,AGGRAVATED BATTERY,1B,,,,3677893,527744,2013-08-11 16:37:00,2013-08-11 20:11:00,,2013-08-11 22:04:00,RTF,REPORT TO FOLLOW,,,020XX Earhart Blvd,70113.0,6,"(29.945221968772316, -90.07959039382791)",VIOLENT CRIME,AGGRAVATED BATTERY
H1825913,34,AGGRAVATED BATTERY,1B,,,,3677471,533581,2013-08-14 07:34:00,2013-08-14 09:06:00,2013-08-14 09:19:00,2013-08-14 10:55:00,RTF,REPORT TO FOLLOW,,,020XX Canal St,70112.0,1,"(29.961284453616774, -90.08072131615629)",VIOLENT CRIME,AGGRAVATED BATTERY
H3066213,34,AGGRAVATED BATTERY,2B,,,,3682926,532336,2013-08-22 23:59:00,2013-08-22 23:59:00,2013-08-23 00:01:00,2013-08-23 01:35:00,RTF,REPORT TO FOLLOW,,,007XX Chartres St,70116.0,8,"(29.957696030983914, -90.06353897848597)",VIOLENT CRIME,AGGRAVATED BATTERY
I0085313,34,AGGRAVATED BATTERY,2B,,,,3686198,530256,2013-09-01 16:48:00,2013-09-01 16:54:00,2013-09-01 16:57:00,2013-09-01 18:53:00,RTF,REPORT TO FOLLOW,,,Pelican Ave & Seguin St,70114.0,4,"(29.951876636791507, -90.05328034834656)",VIOLENT CRIME,AGGRAVATED BATTERY
I0249013,34,AGGRAVATED BATTERY,2B,,,,3676928,534480,2013-09-03 01:11:00,2013-09-03 01:14:00,2013-09-03 01:17:00,2013-09-03 02:28:00,RTF,REPORT TO FOLLOW,,,023XX Iberville St,70119.0,1,"(29.963772710513318, -90.08240502281349)",VIOLENT CRIME,AGGRAVATED BATTERY
I0655113,34,AGGRAVATED BATTERY,2B,,,,3673350,528156,2013-09-05 22:50:00,2013-09-05 23:29:00,2013-09-05 23:46:00,2013-09-06 00:07:00,RTF,REPORT TO FOLLOW,,,033XX 2nd St,70125.0,6,"(29.946490732213988, -90.09392003005792)",VIOLENT CRIME,AGGRAVATED BATTERY
I1317813,34,AGGRAVATED BATTERY,1B,,,,3678705,527297,2013-09-10 14:27:00,2013-09-10 15:49:00,2013-09-10 16:03:00,2013-09-10 19:00:00,RTF,REPORT TO FOLLOW,,,Calliope St & Oretha Castle Hale,70113.0,6,"(29.94396841264394, -90.07704212737546)",VIOLENT CRIME,AGGRAVATED BATTERY
I1409913,34,AGGRAVATED BATTERY,2B,,,,3674885,528004,2013-09-11 05:32:00,2013-09-11 05:35:00,2013-09-11 05:36:00,2013-09-11 09:21:00,RTF,REPORT TO FOLLOW,,,020XX S Claiborne Ave,70125.0,6,"(29.9460270389408, -90.08907869520287)",VIOLENT CRIME,AGGRAVATED BATTERY
I1824913,34,AGGRAVATED BATTERY,2B,,,,3706672,560021,2013-09-13 23:44:00,2013-09-13 23:45:00,2013-09-13 23:52:00,2013-09-14 01:51:00,RTF,REPORT TO FOLLOW,,,089XX Bunker Hill Rd,70127.0,7,"(30.033074418568457, -89.98752988562326)",VIOLENT CRIME,AGGRAVATED BATTERY
I1832113,34,AGGRAVATED BATTERY,1A,,,,3673099,524164,2013-09-14 00:46:00,,2013-09-14 00:57:00,2013-09-14 03:48:00,RTF,REPORT TO FOLLOW,,,La Salle St (6F04) & Louisiana Ave,70115.0,6,"(29.9355214991643, -90.09484876010374)",VIOLENT CRIME,AGGRAVATED BATTERY
I1835813,34,AGGRAVATED BATTERY,2B,,,,3683787,538330,2013-09-14 01:20:00,2013-09-14 01:21:00,2013-09-14 01:29:00,2013-09-14 03:47:00,RTF,REPORT TO FOLLOW,,,023XX Pauger St,70116.0,5,"(29.974151199051725, -90.06060996255188)",VIOLENT CRIME,AGGRAVATED BATTERY
I1931013,34,AGGRAVATED BATTERY,2B,,,,3704825,559457,2013-09-14 20:05:00,2013-09-14 20:08:00,2013-09-14 20:21:00,2013-09-14 21:01:00,RTF,REPORT TO FOLLOW,,,085XX N I-10 Service Rd,70127.0,7,"(30.031583158055035, -89.99338737920289)",VIOLENT CRIME,AGGRAVATED BATTERY
I2039413,34,AGGRAVATED BATTERY,2B,,,,3672101,525163,2013-09-15 19:00:00,2013-09-15 19:00:00,2013-09-15 19:08:00,2013-09-15 22:19:00,RTF,REPORT TO FOLLOW,,,027XX Amelia St,70115.0,2,"(29.938298047881364, -90.0979654580936)",VIOLENT CRIME,AGGRAVATED BATTERY
I2496513,34,AGGRAVATED BATTERY,1A,,,,3680923,532882,2013-09-19 09:01:00,2013-09-19 09:46:00,2013-09-19 09:46:00,2013-09-19 13:13:00,RTF,REPORT TO FOLLOW,,,005XX N Rampart St,70112.0,1,"(29.959258227125535, -90.06984485605712)",VIOLENT CRIME,AGGRAVATED BATTERY
J0167713,34,AGGRAVATED BATTERY,2B,,,,3682262,532168,2013-10-02 03:50:00,2013-10-02 03:50:00,2013-10-02 04:17:00,2013-10-02 04:34:00,RTF,REPORT TO FOLLOW,,,007XX Toulouse St,70130.0,8,"(29.957254304303362, -90.0656415647555)",VIOLENT CRIME,AGGRAVATED BATTERY
J0995213,34,AGGRAVATED BATTERY,2B,,,,3662751,518102,2013-10-08 00:01:00,2013-10-08 00:02:00,2013-10-08 00:05:00,2013-10-08 02:25:00,RTF,REPORT TO FOLLOW,,,Tchoupitoulas St & Calhoun St,70118.0,2,"(29.91915638432972, -90.12771900095292)",VIOLENT CRIME,AGGRAVATED BATTERY
J2298313,34,AGGRAVATED BATTERY,2B,,,,3680777,532456,2013-10-17 07:29:00,2013-10-17 07:38:00,2013-10-17 07:40:00,2013-10-17 10:31:00,RTF,REPORT TO FOLLOW,,,004XX N Rampart St,70112.0,8,"(29.958091297720443, -90.07032071628598)",VIOLENT CRIME,AGGRAVATED BATTERY
J2707313,34,AGGRAVATED BATTERY,2B,,,,3678799,533944,2013-10-20 00:01:00,2013-10-20 00:01:00,2013-10-20 00:01:00,2013-10-20 01:16:00,RTF,REPORT TO FOLLOW,,,018XX Conti St,70112.0,1,"(29.962242595573564, -90.07651515349055)",VIOLENT CRIME,AGGRAVATED BATTERY
J3296713,34,AGGRAVATED BATTERY,2B,,,,3679537,547722,2013-10-24 07:12:00,2013-10-24 07:14:00,2013-10-24 07:19:00,2013-10-24 09:43:00,RTF,REPORT TO FOLLOW,,,Paris Ave & Harrison Ave (3P02),70122.0,3,"(30.00010502774549, -90.07370636293912)",VIOLENT CRIME,AGGRAVATED BATTERY
J3311613,34,AGGRAVATED BATTERY,1A,,,,3674226,527339,2013-10-24 09:23:00,2013-10-24 09:25:00,2013-10-24 09:42:00,2013-10-24 12:40:00,RTF,REPORT TO FOLLOW,,,S Claiborne Ave (6I02) & First St,70125.0,6,"(29.944218167987465, -90.09118214671669)",VIOLENT CRIME,AGGRAVATED BATTERY
J3577413,34,AGGRAVATED BATTERY,2B,,,,3681962,532926,2013-10-26 03:04:00,2013-10-26 03:06:00,2013-10-26 03:09:00,2013-10-26 04:27:00,RTF,REPORT TO FOLLOW,,,007XX Dauphine St,70116.0,8,"(29.95934766895765, -90.06656241119681)",VIOLENT CRIME,AGGRAVATED BATTERY
J3904213,34,AGGRAVATED BATTERY,2B,,,,3674626,526093,2013-10-28 17:33:00,2013-10-28 17:34:00,2013-10-28 17:37:00,2013-10-29 02:31:00,RTF,REPORT TO FOLLOW,,,026XX 2nd St,70113.0,6,"(29.940780148058916, -90.08996191999184)",VIOLENT CRIME,AGGRAVATED BATTERY
K0004113,34,AGGRAVATED BATTERY,2B,,,,3695149,556835,2013-11-01 00:38:00,2013-11-01 00:40:00,2013-11-01 00:47:00,2013-11-01 02:34:00,RTF,REPORT TO FOLLOW,,,071XX Downman Rd,70126.0,3,"(30.02468123012032, -90.02405854002913)",VIOLENT CRIME,AGGRAVATED BATTERY
K0552113,34,AGGRAVATED BATTERY,1A,,,,3671822,545143,2013-11-04 19:39:00,2013-11-04 19:47:00,2013-11-04 19:54:00,2013-11-04 22:37:00,RTF,REPORT TO FOLLOW,,,X Palm Dr,70124.0,3,"(29.993244619236574, -90.09816632704124)",VIOLENT CRIME,AGGRAVATED BATTERY
K0596913,34,AGGRAVATED BATTERY,2B,,,,3671995,533770,2013-11-05 06:12:00,,2013-11-05 06:12:00,2013-11-05 06:13:00,RTF,REPORT TO FOLLOW,,,032XX Perdido St,70119.0,1,"(29.961967606411843, -90.09800715836583)",VIOLENT CRIME,AGGRAVATED BATTERY
K1168713,34,AGGRAVATED BATTERY,2B,,,,3664854,534127,2013-11-09 09:26:00,2013-11-09 09:27:00,2013-11-09 09:36:00,2013-11-09 10:33:00,RTF,REPORT TO FOLLOW,,,029XX Leonidas St,70118.0,2,"(29.963158995010872, -90.12054549141348)",VIOLENT CRIME,AGGRAVATED BATTERY
K1359613,34,AGGRAVATED BATTERY,2B,,,,3702865,554102,2013-11-10 19:48:00,2013-11-10 19:48:00,2013-11-10 20:02:00,2013-11-10 22:55:00,RTF,REPORT TO FOLLOW,,,075XX Selma St,70126.0,7,"(30.016921850535045, -89.99977797250006)",VIOLENT CRIME,AGGRAVATED BATTERY
K1362813,34,AGGRAVATED BATTERY,2B,,,,3679937,539453,2013-11-10 20:33:00,2013-11-10 20:36:00,2013-11-10 20:49:00,2013-11-10 22:59:00,RTF,REPORT TO FOLLOW,,,023XX Lapeyrouse St,70119.0,1,"(29.97735608325632, -90.07273012731518)",VIOLENT CRIME,AGGRAVATED BATTERY
