,?NOPD_Item,Type_,TypeText,Priority,InitialType,InitialTypeText,InitialPriority,MapX,MapY,TimeCreate,TimeDispatch,TimeArrive,TimeClosed,Disposition,DispositionText,SelfInitiated,Beat,BLOCK_ADDRESS,Zip,PoliceDistrict,Location,crime_type
1876,A0689615,21,COMPLAINT OTHER,1H,24,MEDICAL,2B,3681379,531516,01/06/2015 10:52:12 PM,01/06/2015 10:52:18 PM,01/06/2015 10:52:12 PM,01/06/2015 11:04:19 PM,NAT,Necessary Action Taken,Y,8D04,003XX Bourbon St,70112.0,8,"(29.95548846, -90.06845211)",OTHER CFS
2106,A0770315,21,COMPLAINT OTHER,1H,64G,ARMED ROBBERY WITH GUN,2A,3676288,526473,01/07/2015 04:58:38 PM,,01/07/2015 04:58:38 PM,01/07/2015 06:26:13 PM,RTF,REPORT TO FOLLOW,Y,6H01,024XX Saint Andrew St,70113.0,6,"(29.94177764, -90.08469999)",OTHER CFS
2340,A0861915,21,COMPLAINT OTHER,1H,20I,AUTO ACCIDENT WITH INJURY,2B,3688616,559658,01/08/2015 10:56:37 AM,,01/08/2015 10:56:37 AM,01/08/2015 01:21:26 PM,NAT,Necessary Action Taken,Y,3S10,070XX Press Dr,70148.0,3,"(30.03264746, -90.04459915)",OTHER CFS
2680,A0953015,35,SIMPLE BATTERY,1D,24,MEDICAL,2B,3681850,532193,01/09/2015 01:16:29 AM,01/09/2015 01:16:57 AM,01/09/2015 01:16:29 AM,01/09/2015 01:39:46 AM,RTF,REPORT TO FOLLOW,Y,8D05,005XX Bourbon St,70112.0,8,"(29.95733717, -90.06694017)",OTHER CFS
3019,A1064215,103,DISTURBANCE (OTHER),1A,35D,SIMPLE BATTERY DOMESTIC,2B,3697805,557783,01/09/2015 08:42:33 PM,01/09/2015 08:42:39 PM,01/09/2015 08:42:33 PM,01/09/2015 10:39:52 PM,RTF,REPORT TO FOLLOW,Y,7D04,Morrison Rd & I-10 Service Rd,70126.0,7,"(30.02720556, -90.01563101)",OTHER CFS
3336,A1158615,18,TRAFFIC INCIDENT,1H,107,SUSPICIOUS PERSON,2A,3674360,534322,01/10/2015 04:21:09 PM,,01/10/2015 04:21:09 PM,01/10/2015 04:55:37 PM,NAT,Necessary Action Taken,Y,1L01,Jane Pl & Banks St,,1,"(29.96341562, -90.09051684)",OTHER CFS
3873,A1361015,67S,SHOPLIFTING,1C,107,SUSPICIOUS PERSON,2A,3679843,527163,01/12/2015 11:36:35 AM,,01/12/2015 11:36:35 AM,01/12/2015 12:28:27 PM,RTF,REPORT TO FOLLOW,Y,6G04,007XX Howard Ave,70130.0,6,"(29.94356747, -90.07345158)",PROPERTY CRIME
3874,A1361015,67S,SHOPLIFTING,1C,107,SUSPICIOUS PERSON,2A,3679843,527163,01/12/2015 11:36:35 AM,,01/12/2015 11:36:35 AM,01/12/2015 12:28:27 PM,RTF,REPORT TO FOLLOW,Y,6G04,007XX Howard Ave,70130.0,6,"(29.94356747, -90.07345158)",PROPERTY CRIME
4806,A1628915,19,DRUNK,1F,24,MEDICAL,2B,3679992,527158,01/14/2015 02:07:46 PM,,01/14/2015 02:07:46 PM,01/14/2015 02:54:42 PM,NAT,Necessary Action Taken,Y,6G04,007XX Howard Ave,70130.0,6,"(29.94354828, -90.07298178)",OTHER CFS
6528,A2230415,21R,RECOVERY OF VEHICLE,1G,107,SUSPICIOUS PERSON,2A,3680445,540980,01/19/2015 12:08:46 PM,01/19/2015 12:10:05 PM,01/19/2015 12:08:46 PM,01/19/2015 08:43:43 PM,RTF,REPORT TO FOLLOW,Y,1C02,N Dorgenois St & Oreilly St,70119.0,1,"(29.98153953, -90.07107245)",OTHER CFS
6580,A2256615,21,COMPLAINT OTHER,1H,107,SUSPICIOUS PERSON,2A,3674355,524907,01/19/2015 04:35:15 PM,,01/19/2015 04:35:15 PM,01/19/2015 04:40:36 PM,NAT,Necessary Action Taken,Y,6F02,La Salle St & Washington Ave,,6,"(29.93752749, -90.09085800)",OTHER CFS
7200,A2426915,21,COMPLAINT OTHER,1H,107,SUSPICIOUS PERSON,2A,3671505,538090,01/21/2015 01:02:58 AM,,01/21/2015 01:02:58 AM,01/21/2015 02:00:10 AM,NAT,Necessary Action Taken,Y,1M02,040XX Canal St,70119.0,1,"(29.97386115, -90.09940705)",OTHER CFS
7216,A2430015,103,DISTURBANCE (OTHER),1A,103F,FIGHT,2B,3681379,531516,01/21/2015 01:54:10 AM,01/21/2015 01:54:27 AM,01/21/2015 01:54:10 AM,01/21/2015 02:33:12 AM,RTF,REPORT TO FOLLOW,Y,8D04,003XX Bourbon St,70112.0,8,"(29.95548846, -90.06845211)",OTHER CFS
7370,A2479015,37,AGGRAVATED ASSAULT,1C,34S,AGGRAVATED BATTERY BY SHOOTING,2B,3673674,528170,01/21/2015 12:52:06 PM,01/21/2015 12:53:12 PM,01/21/2015 12:52:06 PM,01/21/2015 03:19:37 PM,RTF,REPORT TO FOLLOW,Y,6K01,Seminole Ln & 1st St,70125.0,6,"(29.94651995, -90.09289488)",VIOLENT CRIME
7666,A2563615,107,SUSPICIOUS PERSON,1A,107,SUSPICIOUS PERSON,2A,3668907,520078,01/22/2015 12:50:09 AM,01/22/2015 12:52:06 AM,01/22/2015 12:50:09 AM,01/22/2015 01:30:31 AM,NAT,Necessary Action Taken,Y,2F04,049XX Prytania St,70115.0,2,"(29.92441242, -90.10822019)",OTHER CFS
8466,A2792015,103,DISTURBANCE (OTHER),1A,103F,FIGHT,2B,3701737,518667,01/23/2015 09:51:51 PM,01/23/2015 09:51:58 PM,01/23/2015 09:51:51 PM,01/23/2015 10:20:47 PM,NAT,Necessary Action Taken,Y,4D02,034XX Huntlee Dr,70131.0,4,"(29.91952584, -90.00463937)",OTHER CFS
8611,A2850015,103,DISTURBANCE (OTHER),1A,63,PROWLER,2C,3684956,536357,01/24/2015 11:01:54 AM,01/24/2015 11:02:09 AM,01/24/2015 11:01:54 AM,01/24/2015 01:03:45 PM,RTF,REPORT TO FOLLOW,Y,5A05,011XX Elysian Fields Ave,70116.0,5,"(29.96869133, -90.05698587)",OTHER CFS
8953,A2997515,966,DRUG VIOLATIONS,1G,95G,ILLEGAL CARRYING OF WEAPON- GUN,2B,3707554,516709,01/25/2015 04:40:28 PM,,01/25/2015 04:40:28 PM,01/25/2015 07:43:28 PM,RTF,REPORT TO FOLLOW,Y,4E03,Maumus Ave & Sullen Pl,70131.0,4,"(29.91395639, -89.98635115)",OTHER CFS
9100,A3045715,103,DISTURBANCE (OTHER),1A,103F,FIGHT,2B,3681597,531806,01/26/2015 01:13:00 AM,01/26/2015 01:13:33 AM,01/26/2015 01:13:00 AM,01/26/2015 02:06:47 AM,RTF,REPORT TO FOLLOW,Y,8D05,Bourbon St & Conti St,70112.0,8,"(29.95628022, -90.06775199)",OTHER CFS
9181,A3070415,18,TRAFFIC INCIDENT,1H,107,SUSPICIOUS PERSON,2A,3680915,532096,01/26/2015 09:04:32 AM,,01/26/2015 09:04:32 AM,01/26/2015 09:20:03 AM,NAT,Necessary Action Taken,Y,8D02,003XX Blk Burgundy St,,8,"(29.95709942, -90.06989457)",OTHER CFS
9289,A3103215,107,SUSPICIOUS PERSON,1A,107,SUSPICIOUS PERSON,2A,3678850,534303,01/26/2015 01:36:25 PM,01/26/2015 01:36:49 PM,01/26/2015 01:36:25 PM,01/26/2015 03:44:42 PM,RTF,REPORT TO FOLLOW,Y,1I02,018XX Blk Saint Louis St,,1,"(29.96322938, -90.07634059)",OTHER CFS
9381,A3131515,966,DRUG VIOLATIONS,1G,1055,OFFICER NEEDS ASSISTANCE,2A,3681576,540498,01/26/2015 05:11:50 PM,01/26/2015 05:13:31 PM,01/26/2015 05:11:50 PM,01/26/2015 09:12:16 PM,RTF,REPORT TO FOLLOW,Y,5K04,023XX A P Tureaud Ave,70119.0,5,"(29.98018202, -90.06751704)",OTHER CFS
9433,A3145315,21,COMPLAINT OTHER,1H,107,SUSPICIOUS PERSON,2A,3682489,531125,01/26/2015 07:13:51 PM,,01/26/2015 07:13:51 PM,01/26/2015 07:25:22 PM,NAT,Necessary Action Taken,Y,8C02,Conti St & Decatur St,70130.0,8,"(29.95437985, -90.06495858)",OTHER CFS
9450,A3147815,103D,DOMESTIC DISTURBANCE,1A,103D,DOMESTIC DISTURBANCE,2B,3668521,525348,01/26/2015 07:33:06 PM,01/26/2015 08:37:44 PM,01/26/2015 07:33:06 PM,01/26/2015 08:48:12 PM,GOA,GONE ON ARRIVAL,Y,2N03,027XX Soniat St,70115.0,2,"(29.93891273, -90.10926060)",OTHER CFS
9544,A3163015,21C,CURFEW VIOLATION,1A,107,SUSPICIOUS PERSON,2A,3674226,527339,01/26/2015 10:17:43 PM,01/26/2015 10:19:14 PM,01/26/2015 10:17:43 PM,01/26/2015 11:35:22 PM,NAT,Necessary Action Taken,Y,6I03,1st St & S Claiborne Ave,70125.0,6,"(29.94421922, -90.09118056)",OTHER CFS
9589,A3173315,103,DISTURBANCE (OTHER),1A,107,SUSPICIOUS PERSON,2A,3683042,531834,01/27/2015 12:44:57 AM,,01/27/2015 12:44:57 AM,01/27/2015 01:12:09 AM,NAT,Necessary Action Taken,Y,8C03,Decatur St & Wilkinson St,70130.0,8,"(29.95631335, -90.06318855)",OTHER CFS
9678,A3201915,21,COMPLAINT OTHER,1H,107,SUSPICIOUS PERSON,2A,3682992,531763,01/27/2015 09:04:18 AM,,01/27/2015 09:04:18 AM,01/27/2015 09:12:04 AM,NAT,Necessary Action Taken,Y,8B02,006XX Blk Decatur St,70130.0,8,"(29.95611952, -90.06334986)",OTHER CFS
10412,A3387615,21,COMPLAINT OTHER,1H,20I,AUTO ACCIDENT WITH INJURY,2B,3666842,555583,01/28/2015 02:59:13 PM,,01/28/2015 02:59:13 PM,01/28/2015 05:07:35 PM,NAT,Necessary Action Taken,Y,3G01,073XX Lakeshore Dr,70124.0,3,"(30.02210022, -90.11354580)",OTHER CFS
10639,A3449515,103,DISTURBANCE (OTHER),1A,103F,FIGHT,2B,3683656,532568,01/28/2015 11:17:28 PM,,01/28/2015 11:17:28 PM,01/28/2015 11:25:11 PM,NAT,Necessary Action Taken,Y,8B02,009XX Decatur St,70116.0,8,"(29.95831266, -90.06122547)",OTHER CFS
11106,A3573715,18,TRAFFIC INCIDENT,1H,107,SUSPICIOUS PERSON,2A,3666449,534011,01/29/2015 09:01:28 PM,01/29/2015 09:14:51 PM,01/29/2015 09:01:28 PM,01/29/2015 10:32:52 PM,NAT,Necessary Action Taken,Y,2T03,082XX Oleander St,70118.0,2,"(29.96279620, -90.11551232)",OTHER CFS
11117,A3576415,21,COMPLAINT OTHER,1H,24,MEDICAL,2B,3682031,532378,01/29/2015 09:18:40 PM,,01/29/2015 09:18:40 PM,01/29/2015 09:27:04 PM,NAT,Necessary Action Taken,Y,8D06,Toulouse St & Bourbon St,70112.0,8,"(29.95783996, -90.06636321)",OTHER CFS
11874,B0005415,103,DISTURBANCE (OTHER),1A,103F,FIGHT,2B,3681379,531516,02/01/2015 12:44:41 AM,,02/01/2015 12:44:41 AM,02/01/2015 12:45:06 AM,NAT,Necessary Action Taken,Y,8D04,003XX Bourbon St,70112.0,8,"(29.95548846, -90.06845211)",OTHER CFS
11955,B0024115,21,COMPLAINT OTHER,1H,62L,"BURGLAR ALARM, LOCAL",2B,3684674,545549,02/01/2015 05:30:41 AM,,02/01/2015 05:30:41 AM,02/01/2015 05:34:58 AM,VOI,VOID,Y,3Y02,Marigny St & Lafreniere St,70122.0,3,"(29.99397444, -90.05755433)",OTHER CFS
12521,B0249315,18,TRAFFIC INCIDENT,1H,107,SUSPICIOUS PERSON,2A,3679969,526676,02/02/2015 11:51:51 PM,,02/02/2015 11:51:51 PM,02/02/2015 11:52:12 PM,NAT,Necessary Action Taken,Y,6E04,Saint Charles Ave & Calliope St,,6,"(29.94222279, -90.07307152)",OTHER CFS
13109,B0408315,21,COMPLAINT OTHER,1H,95,ILLEGAL CARRYING OF WEAPON,2B,3711848,567808,02/04/2015 10:27:39 AM,02/04/2015 11:53:20 AM,02/04/2015 10:27:39 AM,02/04/2015 01:03:08 PM,RTF,REPORT TO FOLLOW,Y,7I14,079XX Arcadia Ln,70128.0,7,"(30.05431854, -89.97087850)",OTHER CFS
13887,B0669215,966,DRUG VIOLATIONS,1G,107,SUSPICIOUS PERSON,2A,3679878,537684,02/06/2015 02:19:45 PM,02/06/2015 02:21:01 PM,02/06/2015 02:19:45 PM,02/06/2015 06:52:45 PM,RTF,REPORT TO FOLLOW,Y,1C01,Esplanade Ave & N Galvez St,70119.0,1,"(29.97249635, -90.07297695)",OTHER CFS
13985,B0711615,18,TRAFFIC INCIDENT,1H,107,SUSPICIOUS PERSON,2A,3680221,541575,02/06/2015 09:17:36 PM,,02/06/2015 09:17:36 PM,02/06/2015 09:22:08 PM,NAT,Necessary Action Taken,Y,1C02,Saint Bernard Ave & N Broad St,,1,"(29.98318297, -90.07175669)",OTHER CFS
14030,B0723215,21,COMPLAINT OTHER,1H,1028P,VEHICLE PURSUIT,2A,3688074,526791,02/06/2015 10:22:54 PM,02/06/2015 10:25:13 PM,02/06/2015 10:22:54 PM,02/07/2015 12:24:37 AM,NAT,Necessary Action Taken,Y,4A02,Elmira Ave & Lamarque St,70114.0,4,"(29.94229167, -90.04747855)",OTHER CFS
14048,B0728015,21,COMPLAINT OTHER,1H,107,SUSPICIOUS PERSON,2A,3680512,532174,02/06/2015 11:02:09 PM,,02/06/2015 11:02:09 PM,02/06/2015 11:21:00 PM,NAT,Necessary Action Taken,Y,8D02,N Rampart St & Bienville St,,8,"(29.95732650, -90.07116686)",OTHER CFS
14133,B0750315,21,COMPLAINT OTHER,1H,24,MEDICAL,2B,3681813,532089,02/07/2015 02:59:52 AM,,02/07/2015 02:59:52 AM,02/07/2015 03:08:37 AM,NAT,Necessary Action Taken,Y,8D05,St Louis St & Bourbon St,70112.0,8,"(29.95705191, -90.06705979)",OTHER CFS
14306,B0818715,17M,MUNICIPAL ATTACHMENT,1F,107,SUSPICIOUS PERSON,2A,3681340,536548,02/07/2015 05:17:16 PM,,02/07/2015 05:17:16 PM,02/07/2015 05:28:11 PM,NAT,Necessary Action Taken,Y,1A01,N Claiborne Ave & Esplanade Ave,70116.0,1,"(29.96932619, -90.06839956)",OTHER CFS
14396,B0851815,103,DISTURBANCE (OTHER),1A,103F,FIGHT,2B,3681744,532591,02/07/2015 09:47:22 PM,02/07/2015 09:47:57 PM,02/07/2015 09:47:22 PM,02/07/2015 10:35:45 PM,NAT,Necessary Action Taken,Y,8D03,Dauphine St & Toulouse St,70112.0,8,"(29.95843435, -90.06726110)",OTHER CFS
14404,B0854315,67,THEFT,1E,107,SUSPICIOUS PERSON,2A,3682248,532665,02/07/2015 10:12:33 PM,02/07/2015 10:13:03 PM,02/07/2015 10:12:33 PM,02/07/2015 10:21:52 PM,RTF,REPORT TO FOLLOW,Y,8D06,007XX Bourbon St,70112.0,8,"(29.95862250, -90.06566702)",PROPERTY CRIME
14405,B0854315,67,THEFT,1E,107,SUSPICIOUS PERSON,2A,3682248,532665,02/07/2015 10:12:33 PM,02/07/2015 10:13:03 PM,02/07/2015 10:12:33 PM,02/07/2015 10:21:52 PM,RTF,REPORT TO FOLLOW,Y,8D06,007XX Bourbon St,70112.0,8,"(29.95862250, -90.06566702)",PROPERTY CRIME
14411,B0855315,21,COMPLAINT OTHER,1H,107,SUSPICIOUS PERSON,2A,3687149,537219,02/07/2015 10:23:37 PM,02/07/2015 10:26:51 PM,02/07/2015 10:23:37 PM,02/07/2015 11:25:37 PM,NAT,Necessary Action Taken,Y,5B03,Urquhart St & Arts St,,5,"(29.97099525, -90.05003054)",OTHER CFS
14464,B0874215,21,COMPLAINT OTHER,1H,107,SUSPICIOUS PERSON,2A,3682033,534263,02/08/2015 12:51:35 AM,,02/08/2015 12:51:35 AM,02/08/2015 01:09:22 AM,NAT,Necessary Action Taken,Y,1F02,N Rampart S & Saint Philip St,70116.0,1,"(29.96302272, -90.06629014)",OTHER CFS
14540,B0905515,21,COMPLAINT OTHER,1H,20I,AUTO ACCIDENT WITH INJURY,2B,3680756,533061,02/08/2015 09:09:06 AM,,02/08/2015 09:09:06 AM,02/08/2015 09:44:58 AM,NAT,Necessary Action Taken,Y,1E03,50Blk Basin St,,1,"(29.95975550, -90.07036493)",OTHER CFS
14553,B0911115,29U,UNCLASSIFIED DEATH,1B,24,MEDICAL,2B,3680662,532946,02/08/2015 10:11:13 AM,02/08/2015 10:15:34 AM,02/08/2015 10:11:13 AM,02/08/2015 12:11:13 PM,RTF,REPORT TO FOLLOW,Y,1E03,Basin St & St Louis St,70112.0,1,"(29.95944416, -90.07066373)",OTHER CFS
14716,B0980015,67A,AUTO THEFT,1B,64J,CARJACKING,2A,3684976,535601,02/08/2015 08:46:33 PM,02/08/2015 08:47:46 PM,02/08/2015 08:46:33 PM,02/09/2015 12:06:55 AM,RTF,REPORT TO FOLLOW,Y,8F03,009XX Elysian Fields Ave,70116.0,8,"(29.96661314, -90.05694766)",PROPERTY CRIME
14717,B0980015,67A,AUTO THEFT,1B,64J,CARJACKING,2A,3684976,535601,02/08/2015 08:46:33 PM,02/08/2015 08:47:46 PM,02/08/2015 08:46:33 PM,02/09/2015 12:06:55 AM,RTF,REPORT TO FOLLOW,Y,8F03,009XX Elysian Fields Ave,70116.0,8,"(29.96661314, -90.05694766)",PROPERTY CRIME
14736,B0987915,21,COMPLAINT OTHER,1H,103F,FIGHT,2B,3667928,532657,02/08/2015 09:48:25 PM,,02/08/2015 09:48:25 PM,02/08/2015 10:39:57 PM,NAT,Necessary Action Taken,Y,2U04,Earhart Blvd & Pine St,,2,"(29.95902870, -90.11088488)",OTHER CFS
14738,B0988915,21,COMPLAINT OTHER,1H,103F,FIGHT,2B,3683283,532138,02/08/2015 09:56:14 PM,02/08/2015 10:11:15 PM,02/08/2015 09:56:14 PM,02/08/2015 10:11:59 PM,NAT,Necessary Action Taken,Y,8B02,007XX Decatur St,70116.0,8,"(29.95714085, -90.06241669)",OTHER CFS
14745,B0991715,966,DRUG VIOLATIONS,1G,107,SUSPICIOUS PERSON,2A,3680024,531470,02/08/2015 10:19:48 PM,02/08/2015 10:24:10 PM,02/08/2015 10:19:48 PM,02/09/2015 12:02:13 AM,RTF,REPORT TO FOLLOW,Y,8I02,001XX S Rampart St,70112.0,8,"(29.95540506, -90.07273147)",OTHER CFS
14818,B1018615,20I,AUTO ACCIDENT WITH INJURY,1A,20I,AUTO ACCIDENT WITH INJURY,2B,3675861,520036,02/09/2015 07:10:03 AM,02/09/2015 07:50:36 AM,02/09/2015 07:10:03 AM,02/09/2015 08:56:05 AM,RTF,REPORT TO FOLLOW,Y,6D02,9th St & Magazine St,70115.0,6,"(29.92409103, -90.08627079)",OTHER CFS
15112,B1116415,21,COMPLAINT OTHER,1H,24,MEDICAL,2B,3681432,531587,02/10/2015 12:04:12 AM,,02/10/2015 12:04:12 AM,02/10/2015 12:05:54 AM,NAT,Necessary Action Taken,Y,8D04,003XX Bourbon St,70112.0,8,"(29.95568236, -90.06828065)",OTHER CFS
15185,B1129915,20,AUTO ACCIDENT,1C,20I,AUTO ACCIDENT WITH INJURY,2B,3679889,534642,02/10/2015 07:02:35 AM,,02/10/2015 07:02:35 AM,02/10/2015 08:16:56 AM,RTF,REPORT TO FOLLOW,Y,1E03,Orleans Ave & N Claiborne Ave,70116.0,1,"(29.96412988, -90.07304657)",OTHER CFS
15355,B1188915,18,TRAFFIC INCIDENT,1H,107,SUSPICIOUS PERSON,2A,3694984,523834,02/10/2015 04:21:30 PM,,02/10/2015 04:21:30 PM,02/10/2015 04:57:24 PM,NAT,Necessary Action Taken,Y,4I02,Wall Blvd & Jo Ann Pl,70114.0,4,"(29.93394756, -90.02576876)",OTHER CFS
15374,B1195615,21,COMPLAINT OTHER,1H,24,MEDICAL,2B,3673267,536652,02/10/2015 05:28:20 PM,,02/10/2015 05:28:20 PM,02/10/2015 10:55:32 PM,RTF,REPORT TO FOLLOW,Y,1L02,S Jefferson Davis Pkwy & Canal St,70119.0,1,"(29.96985660, -90.09388892)",OTHER CFS
15748,B1335815,21,COMPLAINT OTHER,1H,107,SUSPICIOUS PERSON,2A,3682277,536763,02/11/2015 10:04:14 PM,,02/11/2015 10:04:14 PM,02/11/2015 11:14:04 PM,NAT,Necessary Action Taken,Y,1A01,Columbus St & N Villere St,70116.0,1,"(29.96988915, -90.06543068)",OTHER CFS
15854,B1359815,67,THEFT,1E,103F,FIGHT,2B,3682031,532378,02/12/2015 03:29:22 AM,02/12/2015 03:29:38 AM,02/12/2015 03:29:22 AM,02/12/2015 04:43:15 AM,RTF,REPORT TO FOLLOW,Y,8D06,Toulouse St & Bourbon St,70112.0,8,"(29.95783996, -90.06636321)",PROPERTY CRIME
15855,B1359815,67,THEFT,1E,103F,FIGHT,2B,3682031,532378,02/12/2015 03:29:22 AM,02/12/2015 03:29:38 AM,02/12/2015 03:29:22 AM,02/12/2015 04:43:15 AM,RTF,REPORT TO FOLLOW,Y,8D06,Toulouse St & Bourbon St,70112.0,8,"(29.95783996, -90.06636321)",PROPERTY CRIME
16201,B1472115,103,DISTURBANCE (OTHER),1A,103F,FIGHT,2B,3680358,531362,02/12/2015 11:06:07 PM,02/12/2015 11:06:44 PM,02/12/2015 11:06:07 PM,02/12/2015 11:23:43 PM,NAT,Necessary Action Taken,Y,8D01,University Pl & Canal St,,8,"(29.95509736, -90.07168101)",OTHER CFS
16266,B1494315,21,COMPLAINT OTHER,1H,24,MEDICAL,2B,3681685,531921,02/13/2015 04:05:08 AM,02/13/2015 04:05:17 AM,02/13/2015 04:05:08 AM,02/13/2015 04:13:53 AM,NAT,Necessary Action Taken,Y,8D05,004XX Bourbon St,,8,"(29.95659520, -90.06746946)",OTHER CFS
16463,B1579115,21,COMPLAINT OTHER,1H,24,MEDICAL,2B,3681379,531516,02/13/2015 07:18:32 PM,02/13/2015 07:22:08 PM,02/13/2015 07:18:32 PM,02/13/2015 09:37:52 PM,NAT,Necessary Action Taken,Y,8D04,003XX Bourbon St,70112.0,8,"(29.95548846, -90.06845211)",OTHER CFS
16539,B1604515,21,COMPLAINT OTHER,1H,1055,OFFICER NEEDS ASSISTANCE,2A,3681813,532089,02/13/2015 10:58:08 PM,02/13/2015 10:59:18 PM,02/13/2015 10:58:08 PM,02/13/2015 11:41:14 PM,NAT,Necessary Action Taken,Y,8D05,005XX Bourbon St,70112.0,8,"(29.95705191, -90.06705979)",OTHER CFS
16598,B1618915,21,COMPLAINT OTHER,1H,107,SUSPICIOUS PERSON,2A,3681379,531516,02/14/2015 12:48:25 AM,,02/14/2015 12:48:25 AM,02/14/2015 01:00:29 AM,NAT,Necessary Action Taken,Y,8D04,Bienville St & Bourbon St,70112.0,8,"(29.95548846, -90.06845210)",OTHER CFS
16648,B1629415,103,DISTURBANCE (OTHER),1A,103F,FIGHT,2B,3680616,530409,02/14/2015 03:34:08 AM,02/14/2015 02:35:11 AM,02/14/2015 02:34:08 AM,02/14/2015 03:35:38 AM,NAT,Necessary Action Taken,Y,8I01,002XX Carondelet St,70130.0,8,"(29.95246765, -90.07089888)",OTHER CFS
