,?NOPD_Item,Type_,TypeText,Priority,InitialType,InitialTypeText,InitialPriority,MapX,MapY,TimeCreate,TimeDispatch,TimeArrive,TimeClosed,Disposition,DispositionText,SelfInitiated,Beat,BLOCK_ADDRESS,Zip,PoliceDistrict,Location,crime_type
59,A0027415,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/01/2015 02:33:45 AM,,01/01/2015 02:33:45 AM,01/01/2015 02:48:52 AM,NAT,Necessary Action Taken,Y,8D01,008XX Canal St,70112.0,8,"(0, 0)",OTHER CFS
70,A0031115,103F,FIGHT,2B,103F,FIGHT,2B,3680637,530473,01/01/2015 03:07:50 AM,01/01/2015 03:08:29 AM,01/01/2015 03:07:50 AM,01/01/2015 03:33:35 AM,NAT,Necessary Action Taken,Y,8I01,002XX Carondelet St,70130.0,8,"(29.95264410, -90.07083125)",OTHER CFS
75,A0033615,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/01/2015 03:28:00 AM,,01/01/2015 03:28:00 AM,01/01/2015 04:28:46 AM,NAT,Necessary Action Taken,Y,8G01,003XX Andrew Higgins Dr,,8,"(0, 0)",OTHER CFS
87,A0037815,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/01/2015 04:04:45 AM,,01/01/2015 04:04:45 AM,01/01/2015 04:07:16 AM,NAT,Necessary Action Taken,Y,8D05,005XX Bourbon St,70112.0,8,"(0, 0)",OTHER CFS
104,A0049515,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/01/2015 08:01:01 AM,,01/01/2015 08:01:01 AM,01/01/2015 08:22:23 AM,NAT,Necessary Action Taken,Y,7N03,042XX Trieste St,70129.0,7,"(0, 0)",OTHER CFS
107,A0049815,94,DISCHARGING FIREARM,2B,94,DISCHARGING FIREARM,2B,3690597,540000,01/01/2015 08:04:12 AM,01/01/2015 08:04:20 AM,01/01/2015 08:04:12 AM,01/01/2015 08:14:17 AM,UNF,UNFOUNDED,Y,5M03,Louisa St & N Miro St,,5,"(29.97853512, -90.03904277)",OTHER CFS
118,A0054215,107,SUSPICIOUS PERSON,2A,107,SUSPICIOUS PERSON,2A,3708255,520230,01/01/2015 09:00:22 AM,,01/01/2015 09:00:22 AM,01/01/2015 09:09:19 AM,NAT,Necessary Action Taken,Y,4E04,Boyd & Gen Meyer,,4,"(29.92361365, -89.98400745)",OTHER CFS
123,A0054915,107,SUSPICIOUS PERSON,2A,107,SUSPICIOUS PERSON,2A,3675589,523574,01/01/2015 09:15:37 AM,,01/01/2015 09:15:37 AM,01/01/2015 09:29:44 AM,DUP,DUPLICATE,Y,6Q05,027XX Dryades St,70113.0,6,"(29.93382525, -90.08700591)",OTHER CFS
127,A0056815,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/01/2015 09:44:45 AM,,01/01/2015 09:44:45 AM,01/01/2015 10:03:15 AM,NAT,Necessary Action Taken,Y,8C01,001XX Royal St,70130.0,8,"(0, 0)",OTHER CFS
132,A0057815,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/01/2015 10:04:18 AM,,01/01/2015 10:04:18 AM,01/01/2015 10:53:59 AM,NAT,Necessary Action Taken,Y,8D04,Royal St & Iberville St,70130.0,8,"(0, 0)",OTHER CFS
236,A0098715,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/01/2015 05:39:50 PM,,01/01/2015 05:39:50 PM,01/01/2015 05:46:41 PM,NAT,Necessary Action Taken,Y,8D04,002XX Bourbon St,70112.0,8,"(0, 0)",OTHER CFS
254,A0103815,107,SUSPICIOUS PERSON,2A,107,SUSPICIOUS PERSON,2A,3671122,517750,01/01/2015 06:23:51 PM,01/01/2015 06:28:47 PM,01/01/2015 06:23:51 PM,01/01/2015 06:42:05 PM,GOA,GONE ON ARRIVAL,Y,2B05,Napoleon Ave & Annunciation St,,2,"(29.91794595, -90.10130777)",OTHER CFS
263,A0108115,107,SUSPICIOUS PERSON,2A,107,SUSPICIOUS PERSON,2A,3691560,549285,01/01/2015 06:58:38 PM,,01/01/2015 06:58:38 PM,01/01/2015 07:25:25 PM,NAT,Necessary Action Taken,Y,3U02,Louisa St & Old Gentilly Rd,70126.0,3,"(30.00403582, -90.03566632)",OTHER CFS
274,A0109915,107,SUSPICIOUS PERSON,2A,107,SUSPICIOUS PERSON,2A,3680295,531301,01/01/2015 07:17:46 PM,01/01/2015 07:22:11 PM,01/01/2015 07:17:46 PM,01/01/2015 07:22:23 PM,NAT,Necessary Action Taken,Y,8I02,Roosevelt Way & Canal St,70112.0,8,"(29.95493097, -90.07188101)",OTHER CFS
299,A0116915,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/01/2015 08:24:17 PM,,01/01/2015 08:24:17 PM,01/01/2015 08:43:23 PM,NAT,Necessary Action Taken,Y,8C03,Saint Peter St & Chartres St,,8,"(0, 0)",OTHER CFS
300,A0117115,107,SUSPICIOUS PERSON,2A,107,SUSPICIOUS PERSON,2A,3674243,521515,01/01/2015 08:25:54 PM,,01/01/2015 08:25:54 PM,01/01/2015 08:42:43 PM,GOA,GONE ON ARRIVAL,Y,6D01,Louisiana Ave & Saint Charles Ave,,6,"(29.92820594, -90.09132645)",OTHER CFS
322,A0123615,62L,"BURGLAR ALARM, LOCAL",2B,62L,"BURGLAR ALARM, LOCAL",2B,3670626,537893,01/01/2015 09:37:16 PM,,01/01/2015 09:37:16 PM,01/01/2015 09:53:23 PM,NAT,Necessary Action Taken,Y,3D02,046XX S Carrollton Ave,70119.0,3,"(29.97334633, -90.10218877)",OTHER CFS
327,A0125515,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/01/2015 10:04:15 PM,01/01/2015 10:13:58 PM,01/01/2015 10:04:15 PM,01/01/2015 10:24:59 PM,NAT,Necessary Action Taken,Y,8D05,Bourbon St & Conti St,70112.0,8,"(0, 0)",OTHER CFS
335,A0127015,107,SUSPICIOUS PERSON,2A,107,SUSPICIOUS PERSON,2A,3684291,535526,01/01/2015 10:21:45 PM,,01/01/2015 10:21:45 PM,01/01/2015 10:34:41 PM,NAT,Necessary Action Taken,Y,8F03,Burgundy St & Touro St,70116.0,8,"(29.96642752, -90.05911593)",OTHER CFS
362,A0134115,107,SUSPICIOUS PERSON,2A,107,SUSPICIOUS PERSON,2A,3682366,534006,01/01/2015 11:57:52 PM,,01/01/2015 11:57:52 PM,01/02/2015 12:00:53 AM,NAT,Necessary Action Taken,Y,8E02,Saint Philip St & Burgundy St,70116.0,8,"(29.96230676, -90.06524785)",OTHER CFS
370,A0136215,107,SUSPICIOUS PERSON,2A,107,SUSPICIOUS PERSON,2A,3675909,527655,01/02/2015 12:12:56 AM,,01/02/2015 12:12:56 AM,01/02/2015 12:19:12 AM,NAT,Necessary Action Taken,Y,6J02,Martin Luther King Jr Blvd & Magnolia St,,6,"(29.94503852, -90.08585555)",OTHER CFS
402,A0146515,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/02/2015 01:58:21 AM,,01/02/2015 01:58:21 AM,01/02/2015 02:09:16 AM,NAT,Necessary Action Taken,Y,8D05,St Louis St & Bourbon St,70112.0,8,"(0, 0)",OTHER CFS
409,A0147715,107,SUSPICIOUS PERSON,2A,107,SUSPICIOUS PERSON,2A,3674021,521901,01/02/2015 02:13:30 AM,01/02/2015 02:14:43 AM,01/02/2015 02:13:30 AM,01/02/2015 03:05:15 AM,NAT,Necessary Action Taken,Y,6Q02,Louisiana Ave & Carondelet St,,6,"(29.92927188, -90.09201396)",OTHER CFS
419,A0149215,107,SUSPICIOUS PERSON,2A,107,SUSPICIOUS PERSON,2A,3681597,531806,01/02/2015 02:39:34 AM,01/02/2015 02:39:44 AM,01/02/2015 02:39:34 AM,01/02/2015 04:36:19 AM,RTF,REPORT TO FOLLOW,Y,8D05,004XX Bourbon St,70112.0,8,"(29.95628022, -90.06775199)",OTHER CFS
428,A0150915,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/02/2015 03:06:11 AM,,01/02/2015 03:06:11 AM,01/02/2015 03:07:55 AM,NAT,Necessary Action Taken,Y,8D05,004XX Bourbon St,70112.0,8,"(0, 0)",OTHER CFS
454,A0159515,107,SUSPICIOUS PERSON,2A,107,SUSPICIOUS PERSON,2A,3688045,536312,01/02/2015 05:21:18 AM,,01/02/2015 05:21:18 AM,01/02/2015 05:52:23 AM,NAT,Necessary Action Taken,Y,5C02,Saint Claude Ave & Press St,70117.0,5,"(29.96847335, -90.04723376)",OTHER CFS
497,A0178115,63,PROWLER,2C,63,PROWLER,2C,3678928,530902,01/02/2015 10:45:17 AM,,01/02/2015 10:45:17 AM,01/02/2015 11:38:18 AM,NAT,Necessary Action Taken,Y,8J02,013XX Gravier St,70112.0,8,"(29.95387453, -90.07621175)",OTHER CFS
505,A0181815,107,SUSPICIOUS PERSON,2A,107,SUSPICIOUS PERSON,2A,3666858,540667,01/02/2015 11:31:59 AM,,01/02/2015 11:31:59 AM,01/02/2015 11:41:32 AM,NAT,Necessary Action Taken,Y,3B01,City Park Ave & Metairie Rd,70124.0,3,"(29.98108455, -90.11399718)",OTHER CFS
507,A0182615,107,SUSPICIOUS PERSON,2A,107,SUSPICIOUS PERSON,2A,3667862,541068,01/02/2015 11:41:45 AM,,01/02/2015 11:41:45 AM,01/02/2015 11:48:52 AM,NAT,Necessary Action Taken,Y,3E01,City Park Ave & Canal Blvd,70124.0,3,"(29.98215690, -90.11081006)",OTHER CFS
565,A0204515,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/02/2015 03:06:56 PM,,01/02/2015 03:06:56 PM,01/02/2015 03:27:32 PM,NAT,Necessary Action Taken,Y,8C01,001XX Decatur St,70130.0,8,"(0, 0)",OTHER CFS
572,A0208315,103D,DOMESTIC DISTURBANCE,2B,103D,DOMESTIC DISTURBANCE,2B,3685502,553635,01/02/2015 03:49:47 PM,01/02/2015 04:56:56 PM,01/02/2015 03:49:47 PM,01/02/2015 06:58:05 PM,RTF,REPORT TO FOLLOW,Y,3R03,056XX Music St,70122.0,3,"(30.01618427, -90.05465323)",OTHER CFS
575,A0208815,107,SUSPICIOUS PERSON,2A,107,SUSPICIOUS PERSON,2A,3669435,549984,01/02/2015 03:55:39 PM,,01/02/2015 03:55:39 PM,01/02/2015 03:56:18 PM,NAT,Necessary Action Taken,Y,3J01,Bragg St & Memphis St,70124.0,3,"(30.00662660, -90.10554126)",OTHER CFS
579,A0210115,107,SUSPICIOUS PERSON,2A,107,SUSPICIOUS PERSON,2A,3685601,538575,01/02/2015 04:09:32 PM,,01/02/2015 04:09:32 PM,01/02/2015 04:38:05 PM,NAT,Necessary Action Taken,Y,5G01,Mandeville St & N Derbigny St,70117.0,5,"(29.97477163, -90.05487090)",OTHER CFS
593,A0216215,42,AGGRAVATED RAPE,2A,42,AGGRAVATED RAPE,2A,37369000,3513814,01/02/2015 05:27:52 PM,01/02/2015 05:28:39 PM,01/02/2015 05:27:52 PM,01/02/2015 05:29:42 PM,RTF,REPORT TO FOLLOW,Y,8D04,003XX Royal St,70130.0,8,"(0, 0)",VIOLENT CRIME
594,A0216215,42,AGGRAVATED RAPE,2A,42,AGGRAVATED RAPE,2A,37369000,3513814,01/02/2015 05:27:52 PM,01/02/2015 05:28:39 PM,01/02/2015 05:27:52 PM,01/02/2015 05:29:42 PM,RTF,REPORT TO FOLLOW,Y,8D04,003XX Royal St,70130.0,8,"(0, 0)",VIOLENT CRIME
609,A0223015,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/02/2015 06:41:56 PM,01/02/2015 06:48:43 PM,01/02/2015 06:41:56 PM,01/02/2015 06:54:00 PM,NAT,Necessary Action Taken,Y,4J01,General De Gaulle Dr & Westbend Pkwy,70114.0,4,"(0, 0)",OTHER CFS
615,A0225815,107,SUSPICIOUS PERSON,2A,107,SUSPICIOUS PERSON,2A,3687118,537591,01/02/2015 07:29:06 PM,,01/02/2015 07:29:06 PM,01/02/2015 07:39:21 PM,NAT,Necessary Action Taken,Y,5B03,Arts St & N Villere St,70117.0,5,"(29.97201879, -90.05011403)",OTHER CFS
621,A0228615,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/02/2015 07:53:22 PM,,01/02/2015 07:53:22 PM,01/02/2015 08:04:58 PM,NAT,Necessary Action Taken,Y,6G04,007XX Howard Ave,70130.0,6,"(0, 0)",OTHER CFS
626,A0229215,20F,AUTO ACCIDENT FATALITY,2B,20I,AUTO ACCIDENT WITH INJURY,2B,3667797,557400,01/02/2015 07:58:35 PM,01/02/2015 08:11:39 PM,01/02/2015 07:58:35 PM,01/02/2015 11:26:46 PM,RTF,REPORT TO FOLLOW,Y,3G01,003XX Lakeshore Dr,,3,"(30.02706636, -90.11046437)",OTHER CFS
636,A0233315,107,SUSPICIOUS PERSON,2A,107,SUSPICIOUS PERSON,2A,3678741,540903,01/02/2015 08:38:14 PM,,01/02/2015 08:38:14 PM,01/02/2015 08:41:54 PM,NAT,Necessary Action Taken,Y,1C03,Onzaga St & N Dupre St,70119.0,1,"(29.98138094, -90.07645460)",OTHER CFS
642,A0233915,107,SUSPICIOUS PERSON,2A,107,SUSPICIOUS PERSON,2A,3686649,534626,01/02/2015 08:46:37 PM,01/02/2015 08:47:05 PM,01/02/2015 08:46:37 PM,01/02/2015 10:34:25 PM,NAT,Necessary Action Taken,Y,8F04,Franklin Ave & Chartres St,,8,"(29.96387915, -90.05169918)",OTHER CFS
664,A0241115,95G,ILLEGAL CARRYING OF WEAPON- GUN,2B,95G,ILLEGAL CARRYING OF WEAPON- GUN,2B,3686649,534626,01/02/2015 10:34:18 PM,01/02/2015 11:35:51 PM,01/02/2015 10:34:18 PM,01/03/2015 12:45:03 AM,RTF,REPORT TO FOLLOW,Y,8F04,Franklin Ave & Chartres St,,8,"(29.96387915, -90.05169918)",OTHER CFS
671,A0244415,107,SUSPICIOUS PERSON,2A,107,SUSPICIOUS PERSON,2A,3684158,533978,01/02/2015 11:13:09 PM,,01/02/2015 11:13:09 PM,01/02/2015 11:42:04 PM,NAT,Necessary Action Taken,Y,8E05,013XX Chartres St,70116.0,8,"(29.96217375, -90.05959093)",OTHER CFS
683,A0248715,107,SUSPICIOUS PERSON,2A,107,SUSPICIOUS PERSON,2A,3730671,561519,01/03/2015 12:06:36 AM,,01/03/2015 12:06:36 AM,01/03/2015 12:11:14 AM,NAT,Necessary Action Taken,Y,7L02,046XX Alcee Fortier Blvd,70129.0,7,"(30.03639790, -89.91163150)",OTHER CFS
689,A0250615,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/03/2015 12:33:39 AM,01/03/2015 12:36:09 AM,01/03/2015 12:33:39 AM,01/03/2015 01:40:28 AM,DUP,DUPLICATE,Y,8D02,Dauphine St & Conti St,70112.0,8,"(0, 0)",OTHER CFS
691,A0250815,107,SUSPICIOUS PERSON,2A,107,SUSPICIOUS PERSON,2A,3679058,527021,01/03/2015 12:36:23 AM,,01/03/2015 12:36:23 AM,01/03/2015 12:36:36 AM,NAT,Necessary Action Taken,Y,6G03,Calliope St & Baronne St,70113.0,6,"(29.94319972, -90.07593610)",OTHER CFS
697,A0252215,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/03/2015 12:54:29 AM,,01/03/2015 12:54:29 AM,01/03/2015 01:01:27 AM,NAT,Necessary Action Taken,Y,8I02,Tulane Ave & Elk Pl,,8,"(0, 0)",OTHER CFS
701,A0254115,107,SUSPICIOUS PERSON,2A,107,SUSPICIOUS PERSON,2A,3663059,526899,01/03/2015 01:20:24 AM,01/03/2015 01:21:00 AM,01/03/2015 01:20:24 AM,01/03/2015 01:52:19 AM,NAT,Necessary Action Taken,Y,2L01,Zimple St & Hillary St,,2,"(29.94333818, -90.12645231)",OTHER CFS
703,A0254815,95G,ILLEGAL CARRYING OF WEAPON- GUN,2B,95G,ILLEGAL CARRYING OF WEAPON- GUN,2B,3682259,527398,01/03/2015 01:32:16 AM,01/03/2015 01:32:57 AM,01/03/2015 01:32:16 AM,01/03/2015 01:33:36 AM,RTF,REPORT TO FOLLOW,Y,8A01,008XX S Peters St,70130.0,8,"(29.94413972, -90.06581495)",OTHER CFS
732,A0267815,94,DISCHARGING FIREARM,2B,94,DISCHARGING FIREARM,2B,3678109,546131,01/03/2015 05:05:05 AM,,01/03/2015 05:05:05 AM,01/03/2015 05:17:54 AM,UNF,UNFOUNDED,Y,3M03,014XX Milton St,,3,"(29.99577600, -90.07827082)",OTHER CFS
754,A0280515,107,SUSPICIOUS PERSON,2A,107,SUSPICIOUS PERSON,2A,3670166,536563,01/03/2015 09:32:15 AM,,01/03/2015 09:32:15 AM,01/03/2015 09:45:33 AM,NAT,Necessary Action Taken,Y,1L04,040XX D'Hemecourt St,70119.0,1,"(29.96970210, -90.10368704)",OTHER CFS
784,A0292015,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/03/2015 11:51:10 AM,,01/03/2015 11:51:10 AM,01/03/2015 12:01:20 PM,NAT,Necessary Action Taken,Y,5K02,022XX A P Tureaud Ave,70119.0,5,"(0, 0)",OTHER CFS
854,A0318215,107,SUSPICIOUS PERSON,2A,107,SUSPICIOUS PERSON,2A,3675144,535811,01/03/2015 04:52:25 PM,,01/03/2015 04:52:25 PM,01/03/2015 04:59:59 PM,NAT,Necessary Action Taken,Y,1M05,Iberville St & N White St,70119.0,1,"(29.96748687, -90.08799261)",OTHER CFS
875,A0326915,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/03/2015 06:15:20 PM,,01/03/2015 06:15:20 PM,01/03/2015 06:42:05 PM,NAT,Necessary Action Taken,Y,3U03,040XX Chef Menteur Hwy,,3,"(0, 0)",OTHER CFS
893,A0333015,62L,"BURGLAR ALARM, LOCAL",2B,62L,"BURGLAR ALARM, LOCAL",2B,3679802,529022,01/03/2015 07:14:16 PM,,01/03/2015 07:14:16 PM,01/03/2015 07:18:36 PM,NAT,Necessary Action Taken,Y,8H01,006XX Baronne St,,8,"(29.94867873, -90.07351796)",OTHER CFS
894,A0333215,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/03/2015 07:14:52 PM,,01/03/2015 07:14:52 PM,01/03/2015 07:30:20 PM,NAT,Necessary Action Taken,Y,8D06,Toulouse St & Bourbon St,70112.0,8,"(0, 0)",OTHER CFS
896,A0333615,107,SUSPICIOUS PERSON,2A,107,SUSPICIOUS PERSON,2A,3662558,531155,01/03/2015 07:16:25 PM,,01/03/2015 07:16:25 PM,01/03/2015 07:49:09 PM,NAT,Necessary Action Taken,Y,2K03,Cohn St & Joliet St,70118.0,2,"(29.95505615, -90.12789400)",OTHER CFS
901,A0335315,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/03/2015 07:42:31 PM,,01/03/2015 07:42:31 PM,01/03/2015 07:54:09 PM,NAT,Necessary Action Taken,Y,8D06,007XX Bourbon St,70112.0,8,"(0, 0)",OTHER CFS
905,A0336715,107,SUSPICIOUS PERSON,2A,107,SUSPICIOUS PERSON,2A,3667513,532804,01/03/2015 08:03:50 PM,,01/03/2015 08:03:50 PM,01/03/2015 08:12:02 PM,NAT,Necessary Action Taken,Y,2U04,078XX Earhart Blvd,70125.0,2,"(29.95944610, -90.11219259)",OTHER CFS
908,A0337615,106,"OBSCENITY, EXPOSING",2A,106,"OBSCENITY, EXPOSING",2A,3681702,529950,01/03/2015 08:11:29 PM,,01/03/2015 08:11:29 PM,01/03/2015 08:46:16 PM,NAT,Necessary Action Taken,Y,8G04,005XX Common St,,8,"(29.95117293, -90.06748492)",OTHER CFS
913,A0338915,94F,FIREWORKS,2H,94,DISCHARGING FIREARM,2B,3667287,527085,01/03/2015 08:20:29 PM,01/03/2015 08:24:01 PM,01/03/2015 08:20:29 PM,01/03/2015 08:33:58 PM,NAT,Necessary Action Taken,Y,2N02,State St & S Claiborne Ave,,2,"(29.94372484, -90.11309715)",OTHER CFS
918,A0341015,94F,FIREWORKS,2H,94F,FIREWORKS,2H,3671148,538852,01/03/2015 08:42:25 PM,,01/03/2015 08:42:25 PM,01/03/2015 08:51:10 PM,NAT,Necessary Action Taken,Y,3H01,Iberville St & David St,70119.0,3,"(29.97596877, -90.10050685)",OTHER CFS
924,A0343315,107,SUSPICIOUS PERSON,2A,107,SUSPICIOUS PERSON,2A,3680875,531447,01/03/2015 08:59:41 PM,,01/03/2015 08:59:41 PM,01/03/2015 09:00:46 PM,NAT,Necessary Action Taken,Y,8D02,Iberville St & Dauphine St,70112.0,8,"(29.95531510, -90.07004436)",OTHER CFS
925,A0343515,107,SUSPICIOUS PERSON,2A,107,SUSPICIOUS PERSON,2A,3670806,520883,01/03/2015 09:00:17 PM,,01/03/2015 09:00:17 PM,01/03/2015 09:05:45 PM,VOI,VOID,Y,2I02,044XX Saint Charles Ave,70115.0,2,"(29.92657015, -90.10219816)",OTHER CFS
932,A0345115,107,SUSPICIOUS PERSON,2A,107,SUSPICIOUS PERSON,2A,3680586,531079,01/03/2015 09:18:54 PM,,01/03/2015 09:18:54 PM,01/03/2015 10:22:06 PM,NAT,Necessary Action Taken,Y,8I01,009XX Canal St,70112.0,8,"(29.95431086, -90.07096902)",OTHER CFS
958,A0350515,103F,FIGHT,2B,103F,FIGHT,2B,3681500,530497,01/03/2015 10:22:23 PM,,01/03/2015 10:22:23 PM,01/03/2015 11:07:45 PM,DUP,DUPLICATE,Y,8C01,001XX Chartres St,70130.0,8,"(29.95268451, -90.06810396)",OTHER CFS
970,A0353915,79,VIOLATION OF PROTECTION ORDER,2C,79,VIOLATION OF PROTECTION ORDER,2C,3670712,549132,01/03/2015 11:13:21 PM,,01/03/2015 11:13:21 PM,01/03/2015 11:28:09 PM,RTF,REPORT TO FOLLOW,Y,3J02,Harrison Ave & General Haig St,70124.0,3,"(30.00424656, -90.10153483)",OTHER CFS
979,A0358215,20I,AUTO ACCIDENT WITH INJURY,2B,20I,AUTO ACCIDENT WITH INJURY,2B,3676072,536017,01/04/2015 12:08:22 AM,01/04/2015 12:19:44 AM,01/04/2015 12:08:22 AM,01/04/2015 02:36:21 AM,RTF,REPORT TO FOLLOW,Y,1I03,004XX N Broad St,70119.0,1,"(29.96802717, -90.08505359)",OTHER CFS
1020,A0371115,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/04/2015 04:52:14 AM,01/04/2015 04:53:18 AM,01/04/2015 04:52:14 AM,01/04/2015 05:10:56 AM,NAT,Necessary Action Taken,Y,1H02,S Broad St & Baudin St,,1,"(0, 0)",OTHER CFS
1030,A0374915,107,SUSPICIOUS PERSON,2A,107,SUSPICIOUS PERSON,2A,3681694,536507,01/04/2015 07:24:41 AM,,01/04/2015 07:24:41 AM,01/04/2015 07:30:48 AM,NAT,Necessary Action Taken,Y,1A01,014XX Blk N Robertson St,70116.0,1,"(29.96920319, -90.06728120)",OTHER CFS
1075,A0388215,103D,DOMESTIC DISTURBANCE,2B,103D,DOMESTIC DISTURBANCE,2B,3719484,569397,01/04/2015 10:49:49 AM,,01/04/2015 10:49:49 AM,01/04/2015 11:42:44 AM,RTF,REPORT TO FOLLOW,Y,7K03,070XX Ridgefield Dr,70128.0,7,"(30.05843655, -89.94668243)",OTHER CFS
1090,A0394615,107,SUSPICIOUS PERSON,2A,107,SUSPICIOUS PERSON,2A,3667862,541068,01/04/2015 11:59:46 AM,,01/04/2015 11:59:46 AM,01/04/2015 12:04:36 PM,NAT,Necessary Action Taken,Y,3E01,Canal Blvd & City Park Ave,70124.0,3,"(29.98215690, -90.11081006)",OTHER CFS
1120,A0402615,107,SUSPICIOUS PERSON,2A,107,SUSPICIOUS PERSON,2A,3673371,523526,01/04/2015 01:44:30 PM,,01/04/2015 01:44:30 PM,01/04/2015 02:35:21 PM,NAT,Necessary Action Taken,Y,6F04,Louisiana Ave & Loyola Ave,,6,"(29.93376006, -90.09401086)",OTHER CFS
1124,A0403215,107,SUSPICIOUS PERSON,2A,107,SUSPICIOUS PERSON,2A,3681330,530864,01/04/2015 01:54:29 PM,01/04/2015 01:54:34 PM,01/04/2015 01:54:29 PM,01/04/2015 02:23:08 PM,NAT,Necessary Action Taken,Y,8D01,001XX Blk Royal St,70130.0,8,"(29.95369755, -90.06862704)",OTHER CFS
