,?NOPD_Item,Type_,TypeText,Priority,InitialType,InitialTypeText,InitialPriority,MapX,MapY,TimeCreate,TimeDispatch,TimeArrive,TimeClosed,Disposition,DispositionText,SelfInitiated,Beat,BLOCK_ADDRESS,Zip,PoliceDistrict,Location,crime_type
317,A0038615,100I,HIT & RUN WITH INJURIES,2B,20,AUTO ACCIDENT,1C,3684303,544551,01/01/2015 04:19:08 AM,01/01/2015 04:19:08 AM,01/01/2015 04:26:25 AM,01/01/2015 06:26:06 AM,RTF,REPORT TO FOLLOW,N,3X01,Elysian Fields Ave & I610 E,70122.0,3,"(29.99124142, -90.05876005)",OTHER CFS
320,A0039315,103D,DOMESTIC DISTURBANCE,2B,103,DISTURBANCE (OTHER),1A,3686077,538666,01/01/2015 04:25:54 AM,01/01/2015 04:38:15 AM,01/01/2015 04:42:02 AM,01/01/2015 05:31:03 AM,RTF,REPORT TO FOLLOW,N,5G02,017XX Spain St,70117.0,5,"(29.97500497, -90.05336357)",OTHER CFS
347,A0042215,20,AUTO ACCIDENT,2A,20,AUTO ACCIDENT,1C,3687658,539323,01/01/2015 05:28:28 AM,01/01/2015 07:18:00 AM,01/01/2015 08:30:59 AM,01/01/2015 09:14:27 AM,RTF,REPORT TO FOLLOW,N,5G02,Franklin Ave & Almonaster Ave,70117.0,5,"(29.97676427, -90.04834617)",OTHER CFS
379,A0045815,103D,DOMESTIC DISTURBANCE,2B,68,UNAUTHORIZED USE OF VEHICLE,1F,3690433,539984,01/01/2015 06:46:18 AM,01/01/2015 07:37:59 AM,01/01/2015 08:54:39 AM,01/01/2015 10:14:00 AM,RTF,REPORT TO FOLLOW,N,5M03,031XX N Miro St,70117.0,5,"(29.97849592, -90.03955954)",OTHER CFS
455,A0055515,103D,DOMESTIC DISTURBANCE,2A,103D,DOMESTIC DISTURBANCE,1A,3667537,535601,01/01/2015 09:21:52 AM,01/01/2015 09:40:44 AM,01/01/2015 09:41:07 AM,01/01/2015 09:56:42 AM,DUP,DUPLICATE,N,2T05,083XX Palmetto St,70118.0,2,"(29.96713542, -90.11202192)",OTHER CFS
468,A0057215,103D,DOMESTIC DISTURBANCE,2B,21,COMPLAINT OTHER,1H,3704150,559850,01/01/2015 09:52:46 AM,01/01/2015 03:21:21 PM,01/01/2015 03:58:01 PM,01/01/2015 04:33:28 PM,RTF,REPORT TO FOLLOW,N,7O05,071XX Crowder Blvd,70126.0,7,"(30.03268561, -89.99550406)",OTHER CFS
527,A0065115,24,MEDICAL,2B,21,COMPLAINT OTHER,1H,37369000,3513814,01/01/2015 11:24:55 AM,01/01/2015 11:24:55 AM,,01/01/2015 12:47:01 PM,NAT,Necessary Action Taken,N,8E02,Esplanade Ave & Dauphine St,70116.0,8,"(0, 0)",OTHER CFS
547,A0067815,24,MEDICAL,2B,34,AGGRAVATED BATTERY,1A,37369000,3513814,01/01/2015 12:02:49 PM,01/01/2015 12:23:14 PM,,01/01/2015 02:14:29 PM,RTF,REPORT TO FOLLOW,N,8I01,003XX Blk Carondelet St,,8,"(0, 0)",OTHER CFS
567,A0070315,66D,EXTORTION (THREATS) DOMESTIC,2C,103D,DOMESTIC DISTURBANCE,1A,3673371,523526,01/01/2015 12:31:00 PM,01/01/2015 01:13:24 PM,01/01/2015 01:16:04 PM,01/01/2015 03:18:36 PM,RTF,REPORT TO FOLLOW,N,6F04,Louisiana Ave & Loyola Ave,70115.0,6,"(29.93376006, -90.09401086)",OTHER CFS
601,A0074715,100I,HIT & RUN WITH INJURIES,2B,100,HIT & RUN,1E,3681214,535359,01/01/2015 01:24:13 PM,01/01/2015 03:18:32 PM,01/01/2015 03:32:05 PM,01/01/2015 04:49:40 PM,RTF,REPORT TO FOLLOW,N,1F02,N Villere St & Ursulines Ave,70116.0,1,"(29.96606148, -90.06883666)",OTHER CFS
688,A0084715,103F,FIGHT,2B,21,COMPLAINT OTHER,1H,3681846,537142,01/01/2015 03:21:37 PM,01/01/2015 03:22:17 PM,01/01/2015 03:29:01 PM,01/01/2015 04:07:20 PM,RTF,REPORT TO FOLLOW,N,1A01,015XX N Claiborne Ave,70116.0,1,"(29.97094373, -90.06677956)",OTHER CFS
723,A0089215,107,SUSPICIOUS PERSON,2A,21,COMPLAINT OTHER,1H,3671789,528540,01/01/2015 04:09:22 PM,01/01/2015 04:19:31 PM,01/01/2015 04:19:27 PM,01/01/2015 04:26:35 PM,UNF,UNFOUNDED,N,6M01,035XX Toledano St,70125.0,6,"(29.94759375, -90.09883467)",OTHER CFS
750,A0093215,21,COMPLAINT OTHER,2A,21,COMPLAINT OTHER,1H,3677989,553285,01/01/2015 04:48:55 PM,01/01/2015 05:05:36 PM,01/01/2015 05:15:12 PM,01/01/2015 05:19:28 PM,UNF,UNFOUNDED,N,3N02,014XX Prentiss Ave,70122.0,3,"(30.01544932, -90.07840330)",OTHER CFS
756,A0094715,103,DISTURBANCE (OTHER),2A,103,DISTURBANCE (OTHER),1A,3678206,538923,01/01/2015 04:58:40 PM,01/01/2015 04:59:23 PM,01/01/2015 05:00:14 PM,01/01/2015 05:39:54 PM,NAT,Necessary Action Taken,N,1J04,Esplanade Ave & N Broad Ave,70119.0,1,"(29.97595105, -90.07821425)",OTHER CFS
823,A0104215,103D,DOMESTIC DISTURBANCE,2B,56,SIMPLE CRIMINAL DAMAGE,1D,3693263,543456,01/01/2015 06:26:15 PM,01/01/2015 08:46:08 PM,,01/01/2015 09:58:31 PM,RTF,REPORT TO FOLLOW,N,5Q02,031XX Ursula Spencer Way,70126.0,5,"(29.98795472, -90.03049555)",OTHER CFS
847,A0107415,100,HIT & RUN,2A,100,HIT & RUN,1E,3703244,552427,01/01/2015 06:54:54 PM,01/01/2015 07:13:36 PM,01/01/2015 07:24:18 PM,01/01/2015 08:44:44 PM,RTF,REPORT TO FOLLOW,N,7C02,Chef Menteur Blvd & Wilson Ave,70126.0,7,"(30.01230557, -89.99863915)",OTHER CFS
905,A0116315,52F,FIRE,2A,52F,FIRE,1B,3664871,551856,01/01/2015 08:20:39 PM,01/01/2015 08:22:28 PM,01/01/2015 08:28:29 PM,01/01/2015 08:32:25 PM,NAT,Necessary Action Taken,N,3C01,065XX Center St,70124.0,3,"(30.01190794, -90.11989776)",OTHER CFS
971,A0126515,103M,MENTAL PATIENT,2A,103M,MENTAL PATIENT,1A,37369000,3513814,01/01/2015 10:13:09 PM,01/01/2015 10:17:28 PM,01/01/2015 10:21:41 PM,01/01/2015 10:53:42 PM,NAT,Necessary Action Taken,N,6Q02,034XX Saint Charles Ave,70115.0,6,"(0, 0)",OTHER CFS
1090,A0142915,21,COMPLAINT OTHER,2A,21,COMPLAINT OTHER,1H,3686464,526856,01/02/2015 01:19:43 AM,01/02/2015 01:27:20 AM,01/02/2015 01:40:47 AM,01/02/2015 01:51:59 AM,GOA,GONE ON ARRIVAL,N,4A01,003XX Lamarque St,70114.0,4,"(29.94252009, -90.05255903)",OTHER CFS
1208,A0160915,107,SUSPICIOUS PERSON,2A,107,SUSPICIOUS PERSON,1A,3673758,536227,01/02/2015 05:55:51 AM,01/02/2015 05:59:22 AM,01/02/2015 06:05:03 AM,01/02/2015 06:14:46 AM,NAT,Necessary Action Taken,N,1L02,032XX Canal St,70119.0,1,"(29.96867277, -90.09235296)",OTHER CFS
1217,A0162515,18,TRAFFIC INCIDENT,2H,18,TRAFFIC INCIDENT,1H,3676419,530259,01/02/2015 06:49:05 AM,01/02/2015 07:35:51 AM,01/02/2015 07:54:27 AM,01/02/2015 08:00:53 AM,GOA,GONE ON ARRIVAL,N,1G01,Pontchartrain Expy W Onramp & S Claiborne Ave Overpass,70113.0,1,"(29.95218230, -90.08415759)",OTHER CFS
1354,A0179615,103,DISTURBANCE (OTHER),2A,103,DISTURBANCE (OTHER),1A,3660713,531666,01/02/2015 10:59:17 AM,01/02/2015 11:03:35 AM,01/02/2015 11:12:07 AM,01/02/2015 11:39:02 AM,NAT,Necessary Action Taken,N,2K02,016XX Hollygrove St,,2,"(29.95651369, -90.13370350)",OTHER CFS
1565,A0206515,21,COMPLAINT OTHER,2A,21,COMPLAINT OTHER,1H,3670981,538043,01/02/2015 03:29:46 PM,01/02/2015 03:32:01 PM,01/02/2015 03:42:51 PM,01/02/2015 04:03:28 PM,NAT,Necessary Action Taken,N,1L04,047XX S Carrollton Ave,70119.0,1,"(29.97374799, -90.10106218)",OTHER CFS
1655,A0219615,20,AUTO ACCIDENT,2A,20,AUTO ACCIDENT,1C,3667694,535188,01/02/2015 06:06:47 PM,01/02/2015 06:09:09 PM,01/02/2015 06:16:47 PM,01/02/2015 08:24:38 PM,RTF,REPORT TO FOLLOW,N,2T05,Stroelitz St & Dublin St,70118.0,2,"(29.96599380, -90.11153935)",OTHER CFS
1701,A0225615,21,COMPLAINT OTHER,2A,21,COMPLAINT OTHER,1H,3679436,526783,01/02/2015 07:24:55 PM,01/02/2015 07:30:20 PM,01/02/2015 07:33:41 PM,01/02/2015 07:43:57 PM,UNF,UNFOUNDED,N,6G03,Carondelet St & St Charles Ave Exit,70113.0,6,"(29.94253541, -90.07474888)",OTHER CFS
1709,A0226815,24,MEDICAL,2B,103,DISTURBANCE (OTHER),1A,37369000,3513814,01/02/2015 07:40:35 PM,01/02/2015 07:44:01 PM,01/02/2015 07:49:11 PM,01/02/2015 08:01:01 PM,NAT,Necessary Action Taken,N,6Q02,034XX Saint Charles Ave,70115.0,6,"(0, 0)",OTHER CFS
1756,A0232515,20,AUTO ACCIDENT,2A,20,AUTO ACCIDENT,1C,3681687,537460,01/02/2015 08:30:34 PM,01/02/2015 08:32:40 PM,01/02/2015 08:37:26 PM,01/02/2015 08:46:19 PM,UNF,UNFOUNDED,N,1B01,015XX N Claiborne Ave,70116.0,1,"(29.97182359, -90.06727224)",OTHER CFS
1847,A0245615,20I,AUTO ACCIDENT WITH INJURY,2B,20,AUTO ACCIDENT,1C,3708808,553636,01/02/2015 11:30:31 PM,01/02/2015 11:44:33 PM,01/02/2015 11:48:32 PM,01/03/2015 03:21:37 AM,RTF,REPORT TO FOLLOW,N,7H01,Chef Menteur Blvd & Cerise Ave,70127.0,7,"(30.01544938, -89.98101576)",OTHER CFS
1957,A0262215,103D,DOMESTIC DISTURBANCE,2B,21,COMPLAINT OTHER,1H,3688526,541520,01/03/2015 03:14:37 AM,01/03/2015 03:47:13 AM,01/03/2015 03:50:13 AM,01/03/2015 05:51:12 AM,RTF,REPORT TO FOLLOW,N,5M02,024XX Almonaster Ave,70117.0,5,"(29.98277901, -90.04552902)",OTHER CFS
2020,A0269315,20I,AUTO ACCIDENT WITH INJURY,2B,20,AUTO ACCIDENT,1C,3696460,550166,01/03/2015 05:40:02 AM,01/03/2015 05:42:56 AM,01/03/2015 05:50:25 AM,01/03/2015 07:50:07 AM,RTF,REPORT TO FOLLOW,N,7B04,I-10 W & Downman Rd Onramp,70126.0,7,"(30.00630503, -90.02015579)",OTHER CFS
2041,A0271615,56D,CRIMINAL DAMAGE DOMESTIC,2C,56,SIMPLE CRIMINAL DAMAGE,1A,3678714,545864,01/03/2015 06:56:52 AM,01/03/2015 07:42:17 AM,01/03/2015 07:46:12 AM,01/03/2015 10:49:11 AM,RTF,REPORT TO FOLLOW,N,3M03,014XX Saint Denis St,70122.0,3,"(29.99502196, -90.07636914)",OTHER CFS
2048,A0272215,103D,DOMESTIC DISTURBANCE,2B,21,COMPLAINT OTHER,1H,3666742,535481,01/03/2015 07:11:37 AM,01/03/2015 08:27:37 AM,01/03/2015 08:35:32 AM,01/03/2015 10:07:52 AM,RTF,REPORT TO FOLLOW,N,2T02,084XX Palm St,70118.0,2,"(29.96682697, -90.11453597)",OTHER CFS
2053,A0272715,63,PROWLER,2C,103,DISTURBANCE (OTHER),1A,3685115,537986,01/03/2015 07:22:07 AM,01/03/2015 07:23:21 AM,01/03/2015 07:23:27 AM,01/03/2015 08:21:28 AM,RTF,REPORT TO FOLLOW,N,5B03,015XX Elysian Fields Ave,70117.0,5,"(29.97316586, -90.05642576)",OTHER CFS
2125,A0280615,62,SIMPLE BURGLARY,2A,62,SIMPLE BURGLARY,1E,3712772,562710,01/03/2015 09:33:28 AM,01/03/2015 09:38:17 AM,01/03/2015 09:42:05 AM,01/03/2015 10:41:32 AM,RTF,REPORT TO FOLLOW,N,7I04,109XX S I-10 Service Rd,70127.0,7,"(30.04027230, -89.96815043)",PROPERTY CRIME
2126,A0280615,62,SIMPLE BURGLARY,2A,62,SIMPLE BURGLARY,1E,3712772,562710,01/03/2015 09:33:28 AM,01/03/2015 09:38:17 AM,01/03/2015 09:42:05 AM,01/03/2015 10:41:32 AM,RTF,REPORT TO FOLLOW,N,7I04,109XX S I-10 Service Rd,70127.0,7,"(30.04027230, -89.96815043)",PROPERTY CRIME
2293,A0301515,103M,MENTAL PATIENT,2A,103M,MENTAL PATIENT,1A,37369000,3513814,01/03/2015 01:35:56 PM,01/03/2015 05:51:46 PM,01/03/2015 05:53:54 PM,01/03/2015 06:39:45 PM,NAT,Necessary Action Taken,N,6F06,025XX La Salle St,70113.0,6,"(0, 0)",OTHER CFS
2360,A0309415,103,DISTURBANCE (OTHER),2A,103,DISTURBANCE (OTHER),1A,3700741,518386,01/03/2015 03:07:18 PM,01/03/2015 03:13:35 PM,01/03/2015 03:24:44 PM,01/03/2015 03:25:12 PM,NAT,Necessary Action Taken,N,4D01,034XX Kabel Dr,70131.0,4,"(29.91878504, -90.00779392)",OTHER CFS
2419,A0317415,21,COMPLAINT OTHER,2A,21,COMPLAINT OTHER,1H,3683522,547079,01/03/2015 04:44:40 PM,01/03/2015 05:36:10 PM,01/03/2015 05:41:19 PM,01/03/2015 06:43:44 PM,NAT,Necessary Action Taken,N,3Q04,030XX Gentilly Blvd,70122.0,3,"(29.99821864, -90.06113799)",OTHER CFS
2533,A0334915,103D,DOMESTIC DISTURBANCE,2B,21,COMPLAINT OTHER,1H,3688487,524505,01/03/2015 07:37:22 PM,01/03/2015 07:50:39 PM,01/03/2015 07:57:04 PM,01/03/2015 08:24:43 PM,RTF,REPORT TO FOLLOW,N,4A05,020XX Bodenger Blvd,70114.0,4,"(29.93599499, -90.04625621)",OTHER CFS
2613,A0347615,103M,MENTAL PATIENT,2A,103M,MENTAL PATIENT,1A,37369000,3513814,01/03/2015 09:53:23 PM,01/03/2015 09:54:21 PM,01/03/2015 09:55:35 PM,01/03/2015 10:41:19 PM,NAT,Necessary Action Taken,N,6J02,S Claiborne Ave & Mlk Blvd,70113.0,6,"(0, 0)",OTHER CFS
2628,A0350315,103,DISTURBANCE (OTHER),2A,103,DISTURBANCE (OTHER),1A,3679702,530624,01/03/2015 10:21:11 PM,01/03/2015 11:11:12 PM,,01/03/2015 11:36:32 PM,NAT,Necessary Action Taken,N,8I02,010XX Gravier St,70112.0,8,"(29.95308732, -90.07377777)",OTHER CFS
2636,A0351515,103,DISTURBANCE (OTHER),2A,103,DISTURBANCE (OTHER),1A,3705170,555751,01/03/2015 10:38:33 PM,01/03/2015 10:39:55 PM,01/03/2015 10:46:57 PM,01/03/2015 11:52:12 PM,NAT,Necessary Action Taken,N,7F02,048XX Eastview Dr,70126.0,7,"(30.02138298, -89.99243256)",OTHER CFS
2733,A0365415,63,PROWLER,2A,63,PROWLER,1A,3676120,531820,01/04/2015 02:25:11 AM,01/04/2015 02:30:12 AM,01/04/2015 02:30:32 AM,01/04/2015 06:10:56 AM,RTF,REPORT TO FOLLOW,N,1G01,020XX Perdido St,70112.0,1,"(29.95648408, -90.08504628)",OTHER CFS
2808,A0374715,34D,AGGRAVATED BATTERY DOMESTIC,2B,34,AGGRAVATED BATTERY,1A,3681366,532042,01/04/2015 07:15:11 AM,01/04/2015 07:22:24 AM,01/04/2015 07:27:29 AM,01/04/2015 09:17:50 AM,RTF,REPORT TO FOLLOW,N,8D05,004XX Dauphine St,70112.0,8,"(29.95693653, -90.06847325)",VIOLENT CRIME
2852,A0380915,35D,SIMPLE BATTERY DOMESTIC,2B,103D,DOMESTIC DISTURBANCE,1A,3670875,527334,01/04/2015 09:17:19 AM,01/04/2015 09:52:02 AM,01/04/2015 10:08:30 AM,01/04/2015 11:21:25 AM,RTF,REPORT TO FOLLOW,N,2R01,042XX S Johnson St,70125.0,2,"(29.94430604, -90.10176223)",OTHER CFS
2871,A0383415,103D,DOMESTIC DISTURBANCE,2B,21,COMPLAINT OTHER,1H,3699145,524946,01/04/2015 09:57:27 AM,01/04/2015 10:01:55 AM,01/04/2015 10:10:41 AM,01/04/2015 11:09:28 AM,RTF,REPORT TO FOLLOW,N,4K02,016XX Maura Pl,70131.0,4,"(29.93687206, -90.01259096)",OTHER CFS
2886,A0385215,103D,DOMESTIC DISTURBANCE,2B,103,DISTURBANCE (OTHER),1A,3710371,518172,01/04/2015 10:16:37 AM,01/04/2015 10:20:53 AM,01/04/2015 10:25:59 AM,01/04/2015 11:34:07 AM,RTF,REPORT TO FOLLOW,N,4E04,034XX Bennett St,70131.0,4,"(29.91788629, -89.97740471)",OTHER CFS
2897,A0387215,21,COMPLAINT OTHER,2A,21,COMPLAINT OTHER,1H,3668073,541807,01/04/2015 10:42:15 AM,01/04/2015 11:13:45 AM,01/04/2015 11:22:48 AM,01/04/2015 12:21:50 PM,NAT,Necessary Action Taken,N,3I01,051XX Canal Blvd,70124.0,3,"(29.98418410, -90.11011827)",OTHER CFS
2916,A0389415,103,DISTURBANCE (OTHER),2A,103,DISTURBANCE (OTHER),1A,3696272,519916,01/04/2015 10:59:43 AM,01/04/2015 11:26:22 AM,01/04/2015 11:29:32 AM,01/04/2015 11:44:32 AM,NAT,Necessary Action Taken,N,4C02,032XX Garden Oaks Dr,70114.0,4,"(29.92313243, -90.02184348)",OTHER CFS
2984,A0398515,20I,AUTO ACCIDENT WITH INJURY,2B,21,COMPLAINT OTHER,1H,3674612,527614,01/04/2015 12:50:47 PM,01/04/2015 12:51:23 PM,01/04/2015 01:06:52 PM,01/04/2015 02:24:47 PM,RTF,REPORT TO FOLLOW,N,6I03,S Claiborne Ave & Jackson Ave,70125.0,6,"(29.94496551, -90.08995386)",OTHER CFS
3024,A0405015,24,MEDICAL,2B,21,COMPLAINT OTHER,1H,37369000,3513814,01/04/2015 02:18:52 PM,01/04/2015 02:18:52 PM,01/04/2015 02:23:23 PM,01/04/2015 03:37:41 PM,NAT,Necessary Action Taken,N,8C01,001XX Royal St,70130.0,8,"(0, 0)",OTHER CFS
3033,A0406115,20I,AUTO ACCIDENT WITH INJURY,2B,20,AUTO ACCIDENT,1C,3679013,528375,01/04/2015 02:33:16 PM,01/04/2015 03:29:15 PM,01/04/2015 03:29:17 PM,01/04/2015 04:25:40 PM,RTF,REPORT TO FOLLOW,N,8H03,Julia St & S Rampart St,70113.0,8,"(29.94692417, -90.07603001)",OTHER CFS
3034,A0406215,103M,MENTAL PATIENT,2A,103M,MENTAL PATIENT,1A,37369000,3513814,01/04/2015 02:35:01 PM,01/04/2015 03:10:35 PM,,01/04/2015 03:22:29 PM,GOA,GONE ON ARRIVAL,N,4D04,028XX Chelsea Dr,70131.0,4,"(0, 0)",OTHER CFS
3078,A0410015,100,HIT & RUN,2A,100,HIT & RUN,1E,3679648,525254,01/04/2015 03:27:50 PM,01/04/2015 03:31:25 PM,01/04/2015 03:40:26 PM,01/04/2015 04:33:34 PM,RTF,REPORT TO FOLLOW,N,6E02,Prytania St & Melpomene St,70130.0,6,"(29.93832245, -90.07413306)",OTHER CFS
3151,A0419915,21,COMPLAINT OTHER,2A,21,COMPLAINT OTHER,1H,3668903,528243,01/04/2015 05:17:47 PM,,01/04/2015 05:20:30 PM,01/04/2015 05:28:23 PM,DUP,DUPLICATE,N,2Q01,050XX S Rocheblave St,70125.0,2,"(29.94686223, -90.10795691)",OTHER CFS
3152,A0420015,21,COMPLAINT OTHER,2A,21,COMPLAINT OTHER,1H,3697448,539065,01/04/2015 05:18:00 PM,01/04/2015 05:19:59 PM,01/04/2015 05:24:48 PM,01/04/2015 05:26:56 PM,UNF,UNFOUNDED,N,5I02,050XX N Rocheblave St,70117.0,5,"(29.97574839, -90.01743813)",OTHER CFS
3211,A0427815,103,DISTURBANCE (OTHER),2A,103,DISTURBANCE (OTHER),1A,3691349,527945,01/04/2015 06:47:43 PM,01/04/2015 06:57:11 PM,01/04/2015 06:59:13 PM,01/04/2015 07:15:52 PM,GOA,GONE ON ARRIVAL,N,4H02,019XX Newton St,70114.0,4,"(29.94536457, -90.03709829)",OTHER CFS
3393,A0451915,103D,DOMESTIC DISTURBANCE,2B,103,DISTURBANCE (OTHER),1A,3693381,544595,01/05/2015 12:16:30 AM,01/05/2015 12:20:12 AM,01/05/2015 12:27:05 AM,01/05/2015 01:04:55 AM,RTF,REPORT TO FOLLOW,N,5Q02,036XX Pleasure St,70126.0,5,"(29.99108220, -90.03008400)",OTHER CFS
3411,A0453915,103D,DOMESTIC DISTURBANCE,2B,35,SIMPLE BATTERY,1D,3667598,536510,01/05/2015 12:47:36 AM,01/05/2015 01:49:01 AM,01/05/2015 01:54:17 AM,01/05/2015 02:12:06 AM,RTF,REPORT TO FOLLOW,N,2T04,039XX Cambronne St,70118.0,2,"(29.96963362, -90.11179770)",OTHER CFS
3449,A0458915,100I,HIT & RUN WITH INJURIES,2B,100,HIT & RUN,1E,3679889,534642,01/05/2015 02:14:31 AM,01/05/2015 02:14:31 AM,01/05/2015 02:15:36 AM,01/05/2015 02:49:56 AM,RTF,REPORT TO FOLLOW,N,1E03,N Claiborne Ave & Basin St,70116.0,1,"(29.96412988, -90.07304657)",OTHER CFS
3589,A0476015,103,DISTURBANCE (OTHER),2A,103,DISTURBANCE (OTHER),1A,3677679,524236,01/05/2015 08:44:21 AM,01/05/2015 08:56:08 AM,01/05/2015 09:02:14 AM,01/05/2015 09:03:47 AM,UNF,UNFOUNDED,N,6G01,Carondelet St & Josephine St,70130.0,6,"(29.93558321, -90.08038705)",OTHER CFS
3694,A0490115,103D,DOMESTIC DISTURBANCE,2B,66,EXTORTION (THREATS),1A,3711281,564405,01/05/2015 10:37:40 AM,01/05/2015 11:12:25 AM,01/05/2015 11:22:37 AM,01/05/2015 12:59:03 PM,RTF,REPORT TO FOLLOW,N,7I07,109XX Willowbrae Dr,70127.0,7,"(30.04497919, -89.97279757)",OTHER CFS
3743,A0496715,21,COMPLAINT OTHER,2A,21,COMPLAINT OTHER,1A,3686585,540193,01/05/2015 11:39:21 AM,01/05/2015 12:26:37 PM,01/05/2015 12:39:14 PM,01/05/2015 01:50:12 PM,NAT,Necessary Action Taken,N,5L02,024XX N Galvez St,70117.0,5,"(29.97918923, -90.05170558)",OTHER CFS
3816,A0505315,103,DISTURBANCE (OTHER),2A,103,DISTURBANCE (OTHER),1A,3675398,520002,01/05/2015 01:02:47 PM,01/05/2015 01:24:05 PM,01/05/2015 01:35:51 PM,01/05/2015 01:43:11 PM,NAT,Necessary Action Taken,N,6D02,032XX Magazine St,70115.0,6,"(29.92401134, -90.08773310)",OTHER CFS
3899,A0515315,103M,MENTAL PATIENT,2A,103M,MENTAL PATIENT,1A,37369000,3513814,01/05/2015 02:26:49 PM,,,01/05/2015 03:20:28 PM,VOI,VOID,N,5M04,025XX Clouet St,70117.0,5,"(0, 0)",OTHER CFS
3918,A0517415,103D,DOMESTIC DISTURBANCE,2B,103,DISTURBANCE (OTHER),1A,3682805,539600,01/05/2015 02:55:23 PM,01/05/2015 03:19:41 PM,01/05/2015 03:31:09 PM,01/05/2015 04:13:34 PM,RTF,REPORT TO FOLLOW,N,5A03,020XX Annette St,70116.0,5,"(29.97767506, -90.06366515)",OTHER CFS
3923,A0517915,67S,SHOPLIFTING,2A,67S,SHOPLIFTING,1C,3698598,518447,01/05/2015 02:59:37 PM,01/05/2015 03:00:30 PM,01/05/2015 03:09:13 PM,01/05/2015 04:44:30 PM,RTF,REPORT TO FOLLOW,N,4C02,040XX General De Gaulle Dr,70114.0,4,"(29.91902163, -90.01455323)",PROPERTY CRIME
