,?NOPD_Item,Type_,TypeText,Priority,InitialType,InitialTypeText,InitialPriority,MapX,MapY,TimeCreate,TimeDispatch,TimeArrive,TimeClosed,Disposition,DispositionText,SelfInitiated,Beat,BLOCK_ADDRESS,Zip,PoliceDistrict,Location,crime_type
6092,A2068315,107,SUSPICIOUS PERSON,2A,21,COMPLAINT OTHER,1H,3673454,526832,01/17/2015 11:30:52 PM,,01/17/2015 11:30:52 PM,01/18/2015 12:31:27 AM,NAT,Necessary Action Taken,Y,6I02,027XX S Claiborne Ave,70125.0,6,"(29.94284772, -90.09363615)",OTHER CFS
6149,A2086315,107,SUSPICIOUS PERSON,2A,21,COMPLAINT OTHER,1H,3676773,536990,01/18/2015 02:47:45 AM,,01/18/2015 02:47:45 AM,01/18/2015 04:06:32 AM,NAT,Necessary Action Taken,Y,1I03,Orleans Ave & N Broad St,70119.0,1,"(29.97068135, -90.08280482)",OTHER CFS
6516,A2224615,103D,DOMESTIC DISTURBANCE,2B,21,COMPLAINT OTHER,1H,3696048,518272,01/19/2015 10:48:14 AM,01/19/2015 10:48:17 AM,01/19/2015 10:48:14 AM,01/19/2015 12:03:57 PM,RTF,REPORT TO FOLLOW,Y,4C02,037XX Garden Oaks Dr,70114.0,4,"(29.91862040, -90.02261057)",OTHER CFS
6577,A2255315,107,SUSPICIOUS PERSON,2A,18,TRAFFIC INCIDENT,1H,3663748,531444,01/19/2015 04:24:12 PM,,01/19/2015 04:24:12 PM,01/19/2015 04:33:22 PM,NAT,Necessary Action Taken,Y,2K04,083XX Sycamore St,70118.0,2,"(29.95581451, -90.12412727)",OTHER CFS
6668,A2284815,24,MEDICAL,2B,21,COMPLAINT OTHER,1H,37369000,3513814,01/19/2015 09:10:52 PM,01/19/2015 09:17:13 PM,01/19/2015 09:10:52 PM,01/19/2015 09:35:57 PM,NAT,Necessary Action Taken,Y,8D04,003XX Bourbon St,70112.0,8,"(0, 0)",OTHER CFS
7184,A2423915,107,SUSPICIOUS PERSON,2A,21,COMPLAINT OTHER,1H,3681132,531723,01/21/2015 12:23:50 AM,01/21/2015 12:25:09 AM,01/21/2015 12:23:50 AM,01/21/2015 12:42:53 AM,NAT,Necessary Action Taken,Y,8D04,003XX Dauphine St,70112.0,8,"(29.95606561, -90.06922248)",OTHER CFS
7496,A2525915,107,SUSPICIOUS PERSON,2A,18,TRAFFIC INCIDENT,1H,3674898,527991,01/21/2015 06:47:58 PM,,01/21/2015 06:47:58 PM,01/21/2015 07:09:10 PM,NAT,Necessary Action Taken,Y,6L01,020XX S Claiborne Ave,70125.0,6,"(29.94599154, -90.08903779)",OTHER CFS
7639,A2558915,107,SUSPICIOUS PERSON,2A,18,TRAFFIC INCIDENT,1H,3671491,518460,01/21/2015 11:49:02 PM,01/21/2015 11:49:54 PM,01/21/2015 11:49:02 PM,01/22/2015 12:08:11 AM,NAT,Necessary Action Taken,Y,6O02,008XX General Pershing St,70115.0,6,"(29.91988702, -90.10011702)",OTHER CFS
7647,A2560115,107,SUSPICIOUS PERSON,2A,21,COMPLAINT OTHER,1H,3665378,552353,01/22/2015 12:07:37 AM,01/22/2015 12:17:58 AM,01/22/2015 12:07:37 AM,01/22/2015 12:29:27 AM,NAT,Necessary Action Taken,Y,3C01,Fleur De Lis Dr & 37th St,,3,"(30.01325917, -90.11828033)",OTHER CFS
7840,A2615215,24,MEDICAL,2B,103,DISTURBANCE (OTHER),1A,37369000,3513814,01/22/2015 12:56:55 PM,,01/22/2015 12:56:55 PM,01/22/2015 01:13:15 PM,NAT,Necessary Action Taken,Y,8E03,XX French Market Pl,70116.0,8,"(0, 0)",OTHER CFS
8000,A2678415,20I,AUTO ACCIDENT WITH INJURY,2B,20,AUTO ACCIDENT,1C,3668280,545789,01/22/2015 11:47:53 PM,,01/22/2015 11:47:53 PM,01/23/2015 12:49:47 AM,RTF,REPORT TO FOLLOW,Y,3E01,I-610 E & Canal Blvd,,3,"(29.99512689, -90.10933034)",OTHER CFS
8169,A2724815,20I,AUTO ACCIDENT WITH INJURY,2B,20,AUTO ACCIDENT,1C,3683859,547331,01/23/2015 11:52:02 AM,,01/23/2015 11:52:02 AM,01/23/2015 02:12:54 PM,RTF,REPORT TO FOLLOW,Y,3Q04,Gentilly Blvd & Caton St,,3,"(29.99889882, -90.06006379)",OTHER CFS
8248,A2743615,103D,DOMESTIC DISTURBANCE,2B,21,COMPLAINT OTHER,1H,3677494,535716,01/23/2015 03:08:51 PM,,01/23/2015 03:08:51 PM,01/23/2015 03:53:15 PM,RTF,REPORT TO FOLLOW,Y,1I01,024XX Lafitte St,70119.0,1,"(29.96715437, -90.08057234)",OTHER CFS
8347,A2769415,107,SUSPICIOUS PERSON,2A,18,TRAFFIC INCIDENT,1H,3672704,522918,01/23/2015 06:59:38 PM,,01/23/2015 06:59:38 PM,01/23/2015 07:14:17 PM,NAT,Necessary Action Taken,Y,6Q01,Amelia St & S Saratoga St,70115.0,6,"(29.93210721, -90.09613562)",OTHER CFS
8358,A2771915,43B,SEXUAL BATTERY,2B,21,COMPLAINT OTHER,1H,37369000,3513814,01/23/2015 07:17:48 PM,01/23/2015 07:18:03 PM,01/23/2015 07:17:48 PM,01/23/2015 11:41:57 PM,RTF,REPORT TO FOLLOW,Y,3T01,044XX Spain St,70122.0,3,"(0, 0)",OTHER CFS
8359,A2771915,43B,SEXUAL BATTERY,2B,21,COMPLAINT OTHER,1H,37369000,3513814,01/23/2015 07:17:48 PM,01/23/2015 07:18:03 PM,01/23/2015 07:17:48 PM,01/23/2015 11:41:57 PM,RTF,REPORT TO FOLLOW,Y,3T01,044XX Spain St,70122.0,3,"(0, 0)",OTHER CFS
8977,A3009415,103M,MENTAL PATIENT,2A,103M,MENTAL PATIENT,1A,37369000,3513814,01/25/2015 06:41:04 PM,01/25/2015 06:42:30 PM,01/25/2015 06:41:04 PM,01/25/2015 07:02:41 PM,GOA,GONE ON ARRIVAL,Y,8H02,Poydras St & Carondelet St,,8,"(0, 0)",OTHER CFS
9032,A3028415,107,SUSPICIOUS PERSON,2A,21,COMPLAINT OTHER,1H,3679916,535414,01/25/2015 09:33:53 PM,01/25/2015 09:37:09 PM,01/25/2015 09:33:53 PM,01/25/2015 10:36:41 PM,GOA,GONE ON ARRIVAL,Y,1J01,018XX Dumaine St,,1,"(29.96625259, -90.07293442)",OTHER CFS
9124,A3052115,24,MEDICAL,2B,21,COMPLAINT OTHER,1H,37369000,3513814,01/26/2015 04:03:44 AM,01/26/2015 04:03:51 AM,01/26/2015 04:03:44 AM,01/26/2015 04:18:41 AM,NAT,Necessary Action Taken,Y,8D04,Bourbon St & Iberville St,70112.0,8,"(0, 0)",OTHER CFS
9233,A3087715,35D,SIMPLE BATTERY DOMESTIC,2B,35,SIMPLE BATTERY,1D,3666061,517176,01/26/2015 11:40:29 AM,01/26/2015 02:48:21 PM,01/26/2015 11:40:29 AM,01/26/2015 03:20:20 PM,RTF,REPORT TO FOLLOW,Y,2B03,003XX Octavia St,70115.0,2,"(29.91651593, -90.11729980)",OTHER CFS
9706,A3210115,43,SIMPLE RAPE,2D,21,COMPLAINT OTHER,1H,37369000,3513814,01/27/2015 10:17:11 AM,01/27/2015 10:30:06 AM,01/27/2015 10:17:11 AM,01/27/2015 12:06:29 PM,RTF,REPORT TO FOLLOW,Y,8B01,001XX Iberville St,70130.0,8,"(0, 0)",VIOLENT CRIME
9707,A3210115,43,SIMPLE RAPE,2D,21,COMPLAINT OTHER,1H,37369000,3513814,01/27/2015 10:17:11 AM,01/27/2015 10:30:06 AM,01/27/2015 10:17:11 AM,01/27/2015 12:06:29 PM,RTF,REPORT TO FOLLOW,Y,8B01,001XX Iberville St,70130.0,8,"(0, 0)",VIOLENT CRIME
9765,A3226415,24,MEDICAL,2B,21,COMPLAINT OTHER,1H,37369000,3513814,01/27/2015 12:30:11 PM,,01/27/2015 12:30:11 PM,01/27/2015 12:45:01 PM,NAT,Necessary Action Taken,Y,2P01,080XX S Claiborne Ave,70125.0,2,"(0, 0)",OTHER CFS
9784,A3233115,43,SIMPLE RAPE,2D,21,COMPLAINT OTHER,1H,37369000,3513814,01/27/2015 01:24:45 PM,01/27/2015 01:42:29 PM,01/27/2015 01:24:45 PM,01/27/2015 02:51:18 PM,RTF,REPORT TO FOLLOW,Y,1G01,019XX Julia St,70113.0,1,"(0, 0)",VIOLENT CRIME
9785,A3233115,43,SIMPLE RAPE,2D,21,COMPLAINT OTHER,1H,37369000,3513814,01/27/2015 01:24:45 PM,01/27/2015 01:42:29 PM,01/27/2015 01:24:45 PM,01/27/2015 02:51:18 PM,RTF,REPORT TO FOLLOW,Y,1G01,019XX Julia St,70113.0,1,"(0, 0)",VIOLENT CRIME
9993,A3287315,107,SUSPICIOUS PERSON,2A,18,TRAFFIC INCIDENT,1H,3674878,521810,01/27/2015 08:03:18 PM,,01/27/2015 08:03:18 PM,01/27/2015 08:20:47 PM,NAT,Necessary Action Taken,Y,6D02,Saint Charles Ave & Harmony St,,6,"(29.92899804, -90.08931046)",OTHER CFS
10255,A3342415,107,SUSPICIOUS PERSON,2A,21,COMPLAINT OTHER,1H,3660789,531814,01/28/2015 08:38:32 AM,,01/28/2015 08:38:32 AM,01/28/2015 09:10:47 AM,NAT,Necessary Action Taken,Y,2K02,Hollygrove St & Green St,,2,"(29.95691924, -90.13345776)",OTHER CFS
10281,A3350015,103D,DOMESTIC DISTURBANCE,2B,21,COMPLAINT OTHER,1H,3668113,535072,01/28/2015 09:48:43 AM,,01/28/2015 09:48:43 AM,01/28/2015 10:43:49 AM,RTF,REPORT TO FOLLOW,Y,2T05,S Carrollton Ave & Washington Ave,,2,"(29.96566445, -90.11022088)",OTHER CFS
10284,A3350515,103F,FIGHT,2B,103,DISTURBANCE (OTHER),1A,3682310,536258,01/28/2015 09:52:31 AM,,01/28/2015 09:52:31 AM,01/28/2015 12:47:20 PM,NAT,Necessary Action Taken,Y,1A01,013XX Kerlerec St,70116.0,1,"(29.96850037, -90.06534510)",OTHER CFS
10293,A3354415,107,SUSPICIOUS PERSON,2A,21,COMPLAINT OTHER,1H,3677297,528175,01/28/2015 10:31:08 AM,,01/28/2015 10:31:08 AM,01/28/2015 10:58:44 AM,NAT,Necessary Action Taken,Y,6H04,Earhart Blvd & La Salle St,,6,"(29.94642727, -90.08145494)",OTHER CFS
10643,A3450215,103D,DOMESTIC DISTURBANCE,2B,103,DISTURBANCE (OTHER),1A,3691233,536652,01/28/2015 11:27:24 PM,,01/28/2015 11:27:24 PM,01/28/2015 11:34:30 PM,RTF,REPORT TO FOLLOW,Y,5D03,014XX Independence St,,5,"(29.96931025, -90.03715369)",OTHER CFS
10747,A3469615,64,ARMED ROBBERY,2A,35,SIMPLE BATTERY,1D,3681500,530497,01/29/2015 04:32:12 AM,,01/29/2015 04:32:12 AM,01/29/2015 06:35:16 AM,RTF,REPORT TO FOLLOW,Y,8C01,001XX Chartres St,70130.0,8,"(29.95268451, -90.06810396)",VIOLENT CRIME
10748,A3469615,64,ARMED ROBBERY,2A,35,SIMPLE BATTERY,1D,3681500,530497,01/29/2015 04:32:12 AM,,01/29/2015 04:32:12 AM,01/29/2015 06:35:16 AM,RTF,REPORT TO FOLLOW,Y,8C01,001XX Chartres St,70130.0,8,"(29.95268451, -90.06810396)",VIOLENT CRIME
10839,A3499215,95,ILLEGAL CARRYING OF WEAPON,2B,21,COMPLAINT OTHER,1H,3681340,536548,01/29/2015 10:40:54 AM,01/29/2015 10:48:30 AM,01/29/2015 10:40:54 AM,01/29/2015 02:49:39 PM,RTF,REPORT TO FOLLOW,Y,1A01,Esplanade Ave & N Claiborne Ave,70116.0,1,"(29.96932619, -90.06839956)",OTHER CFS
10853,A3503815,20I,AUTO ACCIDENT WITH INJURY,2B,20,AUTO ACCIDENT,1C,3675763,537741,01/29/2015 11:19:19 AM,01/29/2015 11:20:35 AM,01/29/2015 11:19:19 AM,01/29/2015 12:41:39 PM,RTF,REPORT TO FOLLOW,Y,1M05,Orleans Ave & N Gayoso St,70119.0,1,"(29.97277689, -90.08597104)",OTHER CFS
10886,A3513215,43B,SEXUAL BATTERY,2B,21,COMPLAINT OTHER,1H,37369000,3513814,01/29/2015 12:59:29 PM,01/29/2015 02:00:41 PM,01/29/2015 12:59:29 PM,01/29/2015 02:04:50 PM,RTF,REPORT TO FOLLOW,Y,8F01,005XX Frenchmen St,70116.0,8,"(0, 0)",OTHER CFS
10887,A3513215,43B,SEXUAL BATTERY,2B,21,COMPLAINT OTHER,1H,37369000,3513814,01/29/2015 12:59:29 PM,01/29/2015 02:00:41 PM,01/29/2015 12:59:29 PM,01/29/2015 02:04:50 PM,RTF,REPORT TO FOLLOW,Y,8F01,005XX Frenchmen St,70116.0,8,"(0, 0)",OTHER CFS
11044,A3558415,35D,SIMPLE BATTERY DOMESTIC,2B,103,DISTURBANCE (OTHER),1A,3685657,538313,01/29/2015 06:48:17 PM,01/29/2015 06:49:14 PM,01/29/2015 06:48:17 PM,01/29/2015 08:53:20 PM,RTF,REPORT TO FOLLOW,Y,5G01,016XX Mandeville St,70117.0,5,"(29.97404988, -90.05470307)",OTHER CFS
11303,A3648315,35D,SIMPLE BATTERY DOMESTIC,2B,103,DISTURBANCE (OTHER),1A,3692858,542610,01/30/2015 12:49:25 PM,01/30/2015 12:49:43 PM,01/30/2015 12:49:25 PM,01/30/2015 04:46:53 PM,RTF,REPORT TO FOLLOW,Y,5Q02,037XX Agriculture St,70126.0,5,"(29.98564133, -90.03180729)",OTHER CFS
11330,A3664015,35D,SIMPLE BATTERY DOMESTIC,2B,21,COMPLAINT OTHER,1H,3675466,527336,01/30/2015 03:15:08 PM,01/30/2015 03:53:01 PM,01/30/2015 03:15:08 PM,01/30/2015 04:33:38 PM,RTF,REPORT TO FOLLOW,Y,6J01,027XX Saint Andrew St,70113.0,6,"(29.94417504, -90.08726412)",OTHER CFS
11361,A3671015,103D,DOMESTIC DISTURBANCE,2B,21,COMPLAINT OTHER,1H,3714008,556950,01/30/2015 04:04:43 PM,,01/30/2015 04:04:43 PM,01/30/2015 06:26:44 PM,RTF,REPORT TO FOLLOW,Y,7J03,048XX Coronado Dr,,7,"(30.02439292, -89.96446310)",OTHER CFS
11502,A3714015,20I,AUTO ACCIDENT WITH INJURY,2B,20,AUTO ACCIDENT,1C,3677267,531437,01/30/2015 11:42:58 PM,01/30/2015 11:44:30 PM,01/30/2015 11:42:58 PM,01/31/2015 03:37:08 AM,RTF,REPORT TO FOLLOW,Y,1G01,I-10 W & US90B Exit,,1,"(29.95539539, -90.08143748)",OTHER CFS
11635,A3749415,21,COMPLAINT OTHER,2A,21,COMPLAINT OTHER,1H,3682346,537937,01/31/2015 09:47:18 AM,01/31/2015 10:06:14 AM,01/31/2015 09:47:18 AM,01/31/2015 10:27:48 AM,UNF,UNFOUNDED,Y,5A02,I-10 E & N Claiborne Ave,,5,"(29.97311544, -90.06517395)",OTHER CFS
11891,B0010215,107,SUSPICIOUS PERSON,2A,21,COMPLAINT OTHER,1H,3680967,530913,02/01/2015 01:45:09 AM,,02/01/2015 01:45:09 AM,02/01/2015 02:23:42 AM,NAT,Necessary Action Taken,Y,8D01,001XX Bourbon St,70130.0,8,"(29.95384466, -90.06977181)",OTHER CFS
11913,B0014415,24,MEDICAL,2B,103,DISTURBANCE (OTHER),1A,37369000,3513814,02/01/2015 02:34:18 AM,02/01/2015 03:39:31 AM,02/01/2015 02:34:18 AM,02/01/2015 05:46:53 AM,NAT,Necessary Action Taken,Y,8D03,St Louis St & Dauphine St,70112.0,8,"(0, 0)",OTHER CFS
