NOPD_Item,Type_,TypeText,Priority,InitialType,InitialTypeText,InitialPriority,MapX,MapY,TimeCreate,TimeDispatch,TimeArrive,TimeClosed,Disposition,DispositionText,SelfInitiated,Beat,BLOCK_ADDRESS,Zip,PoliceDistrict,Location,CrimeType,Description,Date,latitude,longitude,Beat_New
C0013214,65,SIMPLE ROBBERY,1B,21,COMPLAINT OTHER,2A,3678585,541090,03/01/2014 01:57:27 AM,03/01/2014 01:59:53 AM,03/01/2014 02:07:13 AM,03/01/2014 03:26:51 AM,RTF,REPORT TO FOLLOW,N,1C03,016XX Gentilly Blvd,70119,1,"(29.98189927, -90.07694328)",VIOLENT CRIME,SIMPLE ROBBERY,2014-03-01,29.98189927,-90.07694328,1C03
C0165714,65,SIMPLE ROBBERY,1B,,CARJACKING,2A,3673882,534642,03/01/2014 11:33:35 PM,03/01/2014 11:34:54 PM,03/01/2014 11:40:13 PM,03/02/2014 03:54:31 AM,RTF,REPORT TO FOLLOW,N,1L01,004XX S Dupre St,70119,1,"(29.96431016, -90.09201686)",VIOLENT CRIME,SIMPLE ROBBERY,2014-03-01,29.96431016,-90.09201686,1L01
C1102814,65,SIMPLE ROBBERY,2A,65,SIMPLE ROBBERY,2A,3669693,536195,03/09/2014 03:30:10 AM,03/09/2014 03:33:28 AM,03/09/2014 03:36:24 AM,03/09/2014 06:00:46 AM,RTF,REPORT TO FOLLOW,N,1L04,040XX Tulane Ave,70119,1,"(29.96870420, -90.10519286)",VIOLENT CRIME,SIMPLE ROBBERY,2014-03-09,29.9687042,-90.10519286,1L04
C1208414,65,SIMPLE ROBBERY,1B,65,SIMPLE ROBBERY,1B,3682445,530709,03/10/2014 12:31:00 AM,,03/10/2014 12:33:26 AM,03/10/2014 01:29:52 AM,RTF,REPORT TO FOLLOW,N,8B02,Bienville St & N Peters St,70130,8,"(29.95323762, -90.06511300)",VIOLENT CRIME,SIMPLE ROBBERY,2014-03-10,29.95323762,-90.065113,8B02
C1642914,65,SIMPLE ROBBERY,1B,21,COMPLAINT OTHER,1H,3682941,531692,03/13/2014 10:16:53 AM,03/13/2014 10:17:00 AM,03/13/2014 10:17:14 AM,03/13/2014 11:11:11 AM,RTF,REPORT TO FOLLOW,N,8B02,Toulouse St & Decatur St,70130,8,"(29.95592569, -90.06351118)",VIOLENT CRIME,SIMPLE ROBBERY,2014-03-13,29.95592569,-90.06351118,8B02
C1870714,65,SIMPLE ROBBERY,1A,65,SIMPLE ROBBERY,2A,3670260,541256,03/14/2014 10:28:35 PM,03/14/2014 10:30:07 PM,03/14/2014 10:52:04 PM,03/15/2014 12:56:13 AM,RTF,REPORT TO FOLLOW,N,3H02,006XX N Saint Patrick St,70119,3,"(29.98260293, -90.10323205)",VIOLENT CRIME,SIMPLE ROBBERY,2014-03-14,29.98260293,-90.10323205,3H02
C2169614,65,SIMPLE ROBBERY,1B,64,ARMED ROBBERY,1A,3681410,530990,03/17/2014 12:46:44 PM,03/17/2014 01:15:55 PM,03/17/2014 01:40:12 PM,03/17/2014 04:43:44 PM,RTF,REPORT TO FOLLOW,N,8D01,007XX Iberville St,70130,8,"(29.95404219, -90.06837195)",VIOLENT CRIME,SIMPLE ROBBERY,2014-03-17,29.95404219,-90.06837195,8D01
C2184314,65,SIMPLE ROBBERY,1B,,LOST PROPERTY,0E,3681015,530924,03/17/2014 03:06:40 PM,03/17/2014 04:52:15 PM,03/17/2014 04:52:17 PM,03/17/2014 06:16:10 PM,RTF,REPORT TO FOLLOW,N,8D01,001XX Bourbon St,70130,8,"(29.95387431, -90.06961942)",VIOLENT CRIME,SIMPLE ROBBERY,2014-03-17,29.95387431,-90.06961942,8D01
C2727814,65,SIMPLE ROBBERY,1B,65,SIMPLE ROBBERY,1B,3700232,536012,03/21/2014 03:23:16 PM,,03/21/2014 03:23:16 PM,03/21/2014 04:38:17 PM,RTF,REPORT TO FOLLOW,Y,5I06,018XX Gordon St,70117,5,"(29.96726672, -90.00875643)",VIOLENT CRIME,SIMPLE ROBBERY,2014-03-21,29.96726672,-90.00875643,5I06
C3041114,65,SIMPLE ROBBERY,1B,,FIGHT,2B,3681086,530627,03/23/2014 09:02:11 PM,03/23/2014 09:03:10 PM,03/23/2014 09:18:37 PM,03/23/2014 09:49:17 PM,RTF,REPORT TO FOLLOW,N,8I01,007XX Canal St,70130,8,"(29.95305511, -90.06940687)",VIOLENT CRIME,SIMPLE ROBBERY,2014-03-23,29.95305511,-90.06940687,8I01
C3185514,65,SIMPLE ROBBERY,1B,21,COMPLAINT OTHER,2A,3682209,528965,03/25/2014 01:06:54 AM,03/25/2014 01:07:45 AM,03/25/2014 01:12:34 AM,03/25/2014 04:27:28 AM,RTF,REPORT TO FOLLOW,N,8A02,Poydras St & S Peters St,70130,8,"(29.94845131, -90.06591875)",VIOLENT CRIME,SIMPLE ROBBERY,2014-03-25,29.94845131,-90.06591875,8A02
C3461914,65,SIMPLE ROBBERY,2A,65,SIMPLE ROBBERY,2A,3684907,538480,03/26/2014 11:46:39 PM,03/26/2014 11:52:17 PM,03/26/2014 11:59:00 PM,03/27/2014 01:42:55 AM,RTF,REPORT TO FOLLOW,N,5G01,022XX N Derbigny St,70117,5,"(29.97452984, -90.05706698)",VIOLENT CRIME,SIMPLE ROBBERY,2014-03-26,29.97452984,-90.05706698,5G01
D0147314,65,SIMPLE ROBBERY,1B,,FIGHT,2B,3681292,521699,04/02/2014 12:30:41 AM,04/02/2014 12:31:42 AM,04/02/2014 12:35:33 AM,04/02/2014 04:32:19 AM,RTF,REPORT TO FOLLOW,N,6B02,018XX Saint Thomas St,70130,6,"(29.92849930, -90.06906857)",VIOLENT CRIME,SIMPLE ROBBERY,2014-04-02,29.9284993,-90.06906857,6B02
D0828114,65,SIMPLE ROBBERY,1B,21,COMPLAINT OTHER,1H,3681061,530482,04/07/2014 04:20:16 AM,04/07/2014 04:31:20 AM,04/07/2014 04:35:13 AM,04/07/2014 05:37:59 AM,RTF,REPORT TO FOLLOW,N,8I01,001XX Blk Saint Charles Ave,70130,8,"(29.95265728, -90.06949111)",VIOLENT CRIME,SIMPLE ROBBERY,2014-04-07,29.95265728,-90.06949111,8I01
D0956114,65,SIMPLE ROBBERY,1B,65,SIMPLE ROBBERY,1B,3681299,529859,04/08/2014 03:50:29 AM,04/08/2014 04:54:36 AM,04/08/2014 05:08:17 AM,04/08/2014 06:28:57 AM,RTF,REPORT TO FOLLOW,N,8G04,003XX Camp St,70130,8,"(29.95093716, -90.06876263)",VIOLENT CRIME,SIMPLE ROBBERY,2014-04-08,29.95093716,-90.06876263,8G04
D1538514,65,SIMPLE ROBBERY,1A,65,SIMPLE ROBBERY,1A,3677616,523663,04/12/2014 05:12:03 AM,04/12/2014 05:43:30 AM,04/12/2014 05:43:34 AM,04/12/2014 07:16:16 AM,RTF,REPORT TO FOLLOW,N,6D03,St Charles Ave & Jackson Ave,70130,6,"(29.93401091, -90.08060507)",VIOLENT CRIME,SIMPLE ROBBERY,2014-04-12,29.93401091,-90.08060507,6D03
D3054914,65,SIMPLE ROBBERY,1B,107,SUSPICIOUS PERSON,2A,3683519,540154,04/23/2014 12:10:42 PM,04/23/2014 12:12:29 PM,04/23/2014 12:24:44 PM,04/23/2014 03:16:17 PM,RTF,REPORT TO FOLLOW,N,5K02,028XX Pauger St,70119,5,"(29.97917556, -90.06139119)",VIOLENT CRIME,SIMPLE ROBBERY,2014-04-23,29.97917556,-90.06139119,5K02
D3953514,65,SIMPLE ROBBERY,1B,65,SIMPLE ROBBERY,1B,3676100,540590,04/29/2014 09:43:16 PM,04/29/2014 10:01:33 PM,04/29/2014 10:08:12 PM,04/29/2014 10:56:11 PM,RTF,REPORT TO FOLLOW,N,1C04,Esplanade Ave & Mystery St,70119,1,"(29.98059987, -90.08480823)",VIOLENT CRIME,SIMPLE ROBBERY,2014-04-29,29.98059987,-90.08480823,1C04
E0223614,65,SIMPLE ROBBERY,2A,65,SIMPLE ROBBERY,2A,3692779,534933,05/02/2014 03:50:28 PM,05/02/2014 03:53:02 PM,05/02/2014 04:01:56 PM,05/02/2014 08:20:36 PM,RTF,REPORT TO FOLLOW,N,5D02,043XX Saint Claude Ave,70117,5,"(29.96453479, -90.03233196)",VIOLENT CRIME,SIMPLE ROBBERY,2014-05-02,29.96453479,-90.03233196,5D02
E0850914,65,SIMPLE ROBBERY,1B,,"SIMPLE ROBBERY, PROPERTY SNATCHING",1A,3681207,531239,05/07/2014 04:16:41 AM,05/07/2014 04:34:08 AM,05/07/2014 04:45:00 AM,05/07/2014 06:31:31 AM,RTF,REPORT TO FOLLOW,N,8D04,002XX Bourbon St,70130,8,"(29.95473409, -90.06900222)",VIOLENT CRIME,SIMPLE ROBBERY,2014-05-07,29.95473409,-90.06900222,8D04
E1426214,65,SIMPLE ROBBERY,1B,65,SIMPLE ROBBERY,1B,3681879,531499,05/11/2014 05:44:51 AM,05/11/2014 07:58:35 AM,05/11/2014 08:09:15 AM,05/11/2014 11:18:54 AM,RTF,REPORT TO FOLLOW,N,8C02,003XX Royal St,70130,8,"(29.95542795, -90.06687158)",VIOLENT CRIME,SIMPLE ROBBERY,2014-05-11,29.95542795,-90.06687158,8C02
E2020814,65,SIMPLE ROBBERY,1B,21,COMPLAINT OTHER,2A,3689459,534302,05/15/2014 01:52:17 PM,05/15/2014 01:55:06 PM,05/15/2014 02:01:42 PM,05/15/2014 07:53:16 PM,RTF,REPORT TO FOLLOW,N,5C04,Piety St & Royal St,70117,5,"(29.96290208, -90.04283905)",VIOLENT CRIME,SIMPLE ROBBERY,2014-05-15,29.96290208,-90.04283905,5C04
E2862014,65,SIMPLE ROBBERY,2A,65,SIMPLE ROBBERY,2A,3677604,523801,05/21/2014 02:17:50 PM,05/21/2014 02:18:59 PM,05/21/2014 02:25:15 PM,05/21/2014 03:57:35 PM,RTF,REPORT TO FOLLOW,N,6G01,021XX Saint Charles Ave,70130,6,"(29.93439031, -90.08063779)",VIOLENT CRIME,SIMPLE ROBBERY,2014-05-21,29.93439031,-90.08063779,6G01
E3368414,65,SIMPLE ROBBERY,1B,35,SIMPLE BATTERY,2A,3685589,538904,05/25/2014 01:54:56 AM,05/25/2014 01:55:25 AM,05/25/2014 01:59:20 AM,05/25/2014 02:50:29 AM,RTF,REPORT TO FOLLOW,N,5G01,023XX N Roman St,70117,5,"(29.97567610, -90.05489613)",VIOLENT CRIME,SIMPLE ROBBERY,2014-05-25,29.9756761,-90.05489613,5G01
E3440114,65,SIMPLE ROBBERY,1B,,DOMESTIC DISTURBANCE,2B,3676002,538174,05/25/2014 06:11:14 PM,05/25/2014 06:12:19 PM,05/25/2014 06:18:52 PM,05/25/2014 08:29:42 PM,RTF,REPORT TO FOLLOW,N,1M05,008XX N Gayoso St,70119,1,"(29.97395840, -90.08520083)",VIOLENT CRIME,SIMPLE ROBBERY,2014-05-25,29.9739584,-90.08520083,1M05
E3500314,65,SIMPLE ROBBERY,2A,65,SIMPLE ROBBERY,2A,3681587,529067,05/26/2014 06:31:10 AM,05/26/2014 06:31:56 AM,05/26/2014 06:34:23 AM,05/26/2014 07:40:33 AM,RTF,REPORT TO FOLLOW,N,8G02,004XX Poydras St,70130,8,"(29.94874877, -90.06787825)",VIOLENT CRIME,SIMPLE ROBBERY,2014-05-26,29.94874877,-90.06787825,8G02
E3861314,65,SIMPLE ROBBERY,2A,65,SIMPLE ROBBERY,2A,3691379,533858,05/28/2014 11:08:31 PM,05/28/2014 11:09:59 PM,05/28/2014 11:10:04 PM,05/29/2014 01:22:48 AM,RTF,REPORT TO FOLLOW,N,5D01,007XX Bartholomew St,70117,5,"(29.96162340, -90.03679195)",VIOLENT CRIME,SIMPLE ROBBERY,2014-05-28,29.9616234,-90.03679195,5D01
F0255814,65,SIMPLE ROBBERY,1B,64,ARMED ROBBERY,2A,3670532,538682,06/02/2014 11:00:28 PM,06/02/2014 11:06:31 PM,06/02/2014 11:14:14 PM,06/03/2014 02:04:12 AM,RTF,REPORT TO FOLLOW,N,3D02,042XX Canal St,70119,3,"(29.97551840, -90.10245772)",VIOLENT CRIME,SIMPLE ROBBERY,2014-06-02,29.9755184,-90.10245772,3D02
F0955114,65,SIMPLE ROBBERY,2A,65,SIMPLE ROBBERY,1B,3688811,535165,06/07/2014 10:31:02 PM,06/07/2014 10:33:22 PM,06/07/2014 10:38:04 PM,06/08/2014 02:34:21 AM,RTF,REPORT TO FOLLOW,N,5C04,031XX Burgundy St,70117,5,"(29.96529680, -90.04485401)",VIOLENT CRIME,SIMPLE ROBBERY,2014-06-07,29.9652968,-90.04485401,5C04
F1590814,65,SIMPLE ROBBERY,1B,,SIMPLE BATTERY DOMESTIC,2B,3696369,534103,06/12/2014 03:27:38 PM,06/12/2014 03:29:25 PM,06/12/2014 03:37:33 PM,06/12/2014 08:12:59 PM,RTF,REPORT TO FOLLOW,N,5E01,051XX Saint Claude Ave,70117,5,"(29.96214081, -90.02102512)",VIOLENT CRIME,SIMPLE ROBBERY,2014-06-12,29.96214081,-90.02102512,5E01
F1820214,65,SIMPLE ROBBERY,1B,65,SIMPLE ROBBERY,1B,3682262,532168,06/14/2014 09:27:11 AM,06/14/2014 11:12:44 AM,06/14/2014 11:17:58 AM,06/14/2014 12:01:57 PM,RTF,REPORT TO FOLLOW,N,8D05,007XX Toulouse St,70130,8,"(29.95725608, -90.06564083)",VIOLENT CRIME,SIMPLE ROBBERY,2014-06-14,29.95725608,-90.06564083,8D05
F2039214,65,SIMPLE ROBBERY,1B,60,AGGRAVATED BURGLARY,2A,3698822,534071,06/16/2014 03:29:48 AM,06/16/2014 03:32:13 AM,06/16/2014 03:39:21 AM,06/16/2014 08:47:50 AM,RTF,REPORT TO FOLLOW,N,5E03,012XX Charbonnet St,70117,5,"(29.96197456, -90.01327854)",VIOLENT CRIME,SIMPLE ROBBERY,2014-06-16,29.96197456,-90.01327854,5E03
F2216514,65,SIMPLE ROBBERY,1B,65,SIMPLE ROBBERY,1B,3686766,534918,06/17/2014 12:45:51 PM,,06/17/2014 12:45:51 PM,06/17/2014 02:35:02 PM,RTF,REPORT TO FOLLOW,Y,5C01,026XX Royal St,70117,5,"(29.96468081, -90.05132171)",VIOLENT CRIME,SIMPLE ROBBERY,2014-06-17,29.96468081,-90.05132171,5C01
F2413114,65,SIMPLE ROBBERY,1B,21,COMPLAINT OTHER,2A,3681953,541271,06/18/2014 08:06:24 PM,06/18/2014 08:43:06 PM,06/18/2014 08:48:48 PM,06/18/2014 10:11:16 PM,RTF,REPORT TO FOLLOW,N,5K02,025XX New Orleans St,70119,5,"(29.98229632, -90.06629646)",VIOLENT CRIME,SIMPLE ROBBERY,2014-06-18,29.98229632,-90.06629646,5K02
F3028214,65,SIMPLE ROBBERY,1B,103,DISTURBANCE (OTHER),2A,3684593,542203,06/23/2014 12:43:05 PM,06/23/2014 12:46:56 PM,06/23/2014 12:45:45 PM,06/23/2014 02:10:21 PM,RTF,REPORT TO FOLLOW,N,5L03,Elysian Fields Ave & Florida Ave,70117,5,"(29.98477688, -90.05792784)",VIOLENT CRIME,SIMPLE ROBBERY,2014-06-23,29.98477688,-90.05792784,5L03
F3177814,65,SIMPLE ROBBERY,1B,35,SIMPLE BATTERY,2A,3683090,531767,06/24/2014 01:59:03 PM,06/24/2014 02:00:03 PM,06/24/2014 02:05:58 PM,06/24/2014 03:13:09 PM,RTF,REPORT TO FOLLOW,N,8B02,006XX Decatur St,70130,8,"(29.95612873, -90.06303919)",VIOLENT CRIME,SIMPLE ROBBERY,2014-06-24,29.95612873,-90.06303919,8B02
F3207914,65,SIMPLE ROBBERY,1B,34,AGGRAVATED BATTERY,2B,3684842,537773,06/24/2014 05:43:39 PM,06/24/2014 05:45:10 PM,06/24/2014 05:53:54 PM,06/24/2014 08:02:24 PM,RTF,REPORT TO FOLLOW,N,5A04,N Robertson St & Elysian Fields Ave,70117,5,"(29.97258803, -90.05729655)",VIOLENT CRIME,SIMPLE ROBBERY,2014-06-24,29.97258803,-90.05729655,5A04
F3249714,65,SIMPLE ROBBERY,1B,,DOMESTIC DISTURBANCE,2B,3695712,533936,06/25/2014 12:11:10 AM,06/25/2014 12:12:28 AM,06/25/2014 12:31:15 AM,06/25/2014 06:35:47 AM,RTF,REPORT TO FOLLOW,N,5E01,049XX N Rampart St,70117,5,"(29.96170077, -90.02310510)",VIOLENT CRIME,SIMPLE ROBBERY,2014-06-25,29.96170077,-90.0231051,5E01
F3567714,65,SIMPLE ROBBERY,1B,65,SIMPLE ROBBERY,1B,3700259,534216,06/27/2014 10:42:56 AM,06/27/2014 10:44:13 AM,06/27/2014 11:00:51 AM,06/27/2014 02:09:11 PM,RTF,REPORT TO FOLLOW,N,5E03,St Maurice Ave & N Villere St,70117,5,"(29.96232783, -90.00873577)",VIOLENT CRIME,SIMPLE ROBBERY,2014-06-27,29.96232783,-90.00873577,5E03
G0274214,65,SIMPLE ROBBERY,2A,65,SIMPLE ROBBERY,1B,3685568,538946,07/02/2014 11:59:39 PM,07/03/2014 12:04:27 AM,07/03/2014 12:07:11 AM,07/03/2014 12:57:51 AM,RTF,REPORT TO FOLLOW,N,5G01,N Roman St & Mandeville St,70117,5,"(29.97579056, -90.05496208)",VIOLENT CRIME,SIMPLE ROBBERY,2014-07-02,29.97579056,-90.05496208,5G01
G0550614,65,SIMPLE ROBBERY,1B,21,COMPLAINT OTHER,1H,3682021,529980,07/05/2014 12:28:58 AM,07/05/2014 12:31:51 AM,07/05/2014 12:28:58 AM,07/05/2014 02:23:28 AM,RTF,REPORT TO FOLLOW,Y,8G02,004XX Canal St,70130,8,"(29.95124667, -90.06647843)",VIOLENT CRIME,SIMPLE ROBBERY,2014-07-05,29.95124667,-90.06647843,8G02
G2154614,65,SIMPLE ROBBERY,1B,65,SIMPLE ROBBERY,1B,3693694,534915,07/17/2014 09:16:12 AM,07/17/2014 09:16:41 AM,,07/17/2014 10:45:15 AM,RTF,REPORT TO FOLLOW,N,5D04,St Claude Ave & Japonica St,70117,5,"(29.96445493, -90.02944315)",VIOLENT CRIME,SIMPLE ROBBERY,2014-07-17,29.96445493,-90.02944315,5D04
G2243714,65,SIMPLE ROBBERY,2A,,FIGHT,2B,3695398,533912,07/17/2014 09:58:44 PM,07/17/2014 09:59:13 PM,07/17/2014 10:04:34 PM,07/18/2014 02:27:58 AM,RTF,REPORT TO FOLLOW,N,5E01,049XX N Rampart St,70117,5,"(29.96164464, -90.02409910)",VIOLENT CRIME,SIMPLE ROBBERY,2014-07-17,29.96164464,-90.0240991,5E01
